Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
300_hpopt_frozen_lake_det_dense,frozen_lake_(map=8x8,dense),0,0,100,0,10000,16,10000,1,1,10,1,200,10,20

hmcts params mins/maxs: 

bias - (min,max,log_scale) = (0.0001,10000,1)
uct_budget - (min,max,log_scale) = (1,5000,1)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,bias,uct_budget
0,-160,0,-160,0.046817,235
1,-160,0,-160,0.213036,2
2,-148.408,0.999174,-148.408,3.03176,1
3,-153.075,0.999655,-148.408,554.321,37
4,-152.058,0.998419,-148.408,1635.63,556
5,-152.172,0.998525,-148.408,16.2879,1357
6,-150.514,0.998699,-148.408,165.741,9
7,-76.6452,0.999883,-76.6452,0.000198558,108
8,-76.6407,0.999819,-76.6407,0.00135796,3272
9,-66.2498,0.999889,-66.2498,0.0114001,15
10,-77.019,0.999703,-66.2498,0.0001,1
11,-76.6653,0.999844,-66.2498,0.0001,4999
12,-76.7635,0.999882,-66.2498,0.0001,1
13,-76.1762,0.999292,-66.2498,0.0001,4999
14,-75.9868,0.99982,-66.2498,0.0001,1
15,-76.693,0.999993,-66.2498,0.0001,4999
16,-76.7841,0.99954,-66.2498,0.000347182,1
17,-77.3222,0.999483,-66.2498,0.0001,4999
18,-77.68,0.999965,-66.2498,0.0001,1
19,-77.4298,0.999514,-66.2498,0.000427018,1
20,-76.5645,0.999648,-66.2498,0.0001,4999
21,-78.028,0.999897,-66.2498,0.000388707,4999
22,-75.9659,0.999429,-66.2498,0.0001,1
23,-77.6092,0.999257,-66.2498,0.000449071,1
24,-75.1132,0.999954,-66.2498,0.0001,4999
25,-76.9295,0.9996,-66.2498,0.0001,1
26,-77.8159,0.999795,-66.2498,0.000398135,4999
27,-75.8839,0.999533,-66.2498,0.0001,1
28,-79.0519,0.999412,-66.2498,0.000502361,1
29,-77.6131,0.99956,-66.2498,0.0001,4999
30,-77.7996,0.999914,-66.2498,0.000553813,4999
31,-77.5416,0.999643,-66.2498,0.000667446,1
32,-77.2399,0.999607,-66.2498,0.000520565,4999
33,-75.9399,0.999712,-66.2498,0.000642146,1
34,-77.4614,0.99983,-66.2498,0.00049425,4999
35,-76.7211,0.999542,-66.2498,0.000613608,1
36,-78.6845,0.999238,-66.2498,0.00045853,4999
37,-76.0517,0.999331,-66.2498,0.0001,1
38,-78.1833,0.999879,-66.2498,0.000608645,1
39,-76.3856,0.99992,-66.2498,0.0001,4999
40,-76.2213,0.999289,-66.2498,0.0001,1
41,-76.6286,0.999686,-66.2498,0.000426826,4999
42,-77.256,0.999773,-66.2498,0.000553879,1
43,-75.8057,0.99948,-66.2498,0.0001,4999
44,-76.5381,0.999365,-66.2498,0.0001,1
45,-74.1541,0.999493,-66.2498,0.000443986,4999
46,-76.7621,0.999765,-66.2498,0.0001,4999
47,-76.8225,0.999378,-66.2498,0.00042052,1
48,-75.3649,0.999678,-66.2498,0.000594619,4999
49,-78.568,0.999738,-66.2498,0.0001,1
50,-76.4569,0.999883,-66.2498,0.00123687,1
51,-78.7784,0.999652,-66.2498,0.00104018,4999
52,-75.2298,0.999815,-66.2498,0.000319453,1
53,-76.3873,0.999928,-66.2498,0.00028031,4999
54,-75.3273,0.999706,-66.2498,0.00126958,1
55,-77.8273,0.999937,-66.2498,0.000307443,1
56,-77.8364,0.999633,-66.2498,0.00135707,1
57,-77.6815,0.99963,-66.2498,0.000316586,4999
58,-77.4004,0.999854,-66.2498,0.00121577,4999
59,-77.2033,0.999917,-66.2498,0.000297886,1
60,-77.3291,0.999385,-66.2498,0.000277227,4999
61,-76.8593,0.999521,-66.2498,0.00141081,1
62,-77.1132,0.999702,-66.2498,0.000290723,1
63,-76.3622,0.999953,-66.2498,0.001274,4999
64,-75.9353,0.999504,-66.2498,0.000283563,4999
65,-78.2821,0.999764,-66.2498,0.00145233,1
66,-76.5979,0.99946,-66.2498,0.0001,1
67,-76.3492,0.999343,-66.2498,0.000319179,1
68,-77.0738,0.999555,-66.2498,0.000292413,4999
69,-76.5275,0.999722,-66.2498,0.0001,4999
70,-75.6184,0.999677,-66.2498,0.00158444,4999
71,-77.4227,0.99941,-66.2498,0.00178178,1
72,-76.6031,0.999328,-66.2498,0.00154084,4999
73,-75.667,0.999356,-66.2498,0.00152473,4999
74,-76.2192,0.999328,-66.2498,0.00174214,1
75,-76.9854,0.999556,-66.2498,0.000393122,4999
76,-76.1696,0.999828,-66.2498,0.00163834,4998
77,-77.8743,0.999335,-66.2498,0.00171053,1
78,-76.7873,0.999301,-66.2498,0.000361274,1
79,-79.0833,0.999673,-66.2498,0.000389942,4998
80,-77.6484,0.999665,-66.2498,0.00178602,4983
81,-77.2235,0.999419,-66.2498,0.000373202,1
82,-77.4365,0.999609,-66.2498,0.0001,4999
83,-76.8649,0.999462,-66.2498,0.00191442,1
84,-76.1625,0.999803,-66.2498,0.000609746,4998
85,-75.2695,0.999711,-66.2498,0.000361292,1
86,-76.2943,0.999679,-66.2498,0.0001,1
87,-77.2759,0.999791,-66.2498,0.00194682,1
88,-77.026,0.99949,-66.2498,0.00189753,4994
89,-77.2641,0.999464,-66.2498,0.000540904,1
90,-74.5302,0.999924,-66.2498,0.00249989,4998
91,-75.9374,0.999523,-66.2498,0.00264634,1
92,-77.3631,0.999884,-66.2498,0.00246659,4994
93,-76.8523,0.999305,-66.2498,0.00261462,1
