Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
300_hpopt_frozen_lake_det_dense,frozen_lake_(map=8x8,dense),0,0,100,0,10000,16,10000,1,1,10,1,200,10,20

maxuct params mins/maxs: 

bias - (min,max,log_scale) = (0.0001,10000,1)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,bias
0,-133.758,0.999732,-133.758,13.4444
1,-52.0662,0.999069,-52.0662,0.000947404
2,-52.7928,0.99837,-52.0662,0.000433421
3,-48.4919,0.995882,-48.4919,0.253259
4,-142.287,0.999893,-48.4919,86.6562
5,-160,0,-48.4919,595.899
6,-52.7753,0.997678,-48.4919,0.0132555
7,-81.5832,0.99998,-48.4919,2.51978
8,-160,0,-48.4919,3997.99
9,-51.2066,0.998786,-48.4919,0.0373097
10,-51.8561,0.998966,-48.4919,0.0047357
11,-51.7481,0.997256,-48.4919,0.00491556
12,-53.5421,0.999099,-48.4919,0.00509299
13,-51.7736,0.996739,-48.4919,0.00532155
14,-52.3521,0.998386,-48.4919,0.00555814
15,-52.6208,0.999302,-48.4919,0.000167192
16,-52.6066,0.999109,-48.4919,0.00198427
17,-53.7571,0.998857,-48.4919,0.0028971
18,-53.1822,0.997959,-48.4919,0.00665092
19,-53.1719,0.99743,-48.4919,0.000671674
20,-52.2457,0.998411,-48.4919,0.00698884
21,-52.1556,0.997154,-48.4919,0.00129163
22,-53.8161,0.99769,-48.4919,0.00780291
23,-54.3891,0.998441,-48.4919,0.0001
24,-52.004,0.996709,-48.4919,0.00128452
25,-52.6765,0.99834,-48.4919,0.00143441
26,-52.6397,0.996607,-48.4919,0.00187932
27,-54.129,0.997401,-48.4919,0.00761075
28,-51.1832,0.99882,-48.4919,0.000715635
29,-53.1142,0.999717,-48.4919,0.00106878
30,-54.1283,0.998305,-48.4919,0.0103478
31,-52.8597,0.999854,-48.4919,0.00940874
32,-52.5131,0.998681,-48.4919,0.00102864
33,-52.4175,0.997724,-48.4919,0.0018807
34,-55.026,0.999395,-48.4919,0.0001
35,-53.3505,0.999319,-48.4919,0.00124202
36,-51.626,0.999205,-48.4919,0.00996893
37,-52.8172,0.999609,-48.4919,0.00165153
38,-53.0528,0.99791,-48.4919,0.010429
