Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
300_hpopt_frozen_lake_det_dense,frozen_lake_(map=8x8,dense),0,0,100,0,10000,16,10000,1,1,10,1,200,10,20

uct params mins/maxs: 

bias - (min,max,log_scale) = (0.0001,10000,1)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,bias
0,-152.642,0.999681,-152.642,13.4444
1,-76.7218,0.99997,-76.7218,0.000947404
2,-76.3252,0.999842,-76.3252,0.000433421
3,-160,0,-76.3252,0.253259
4,-160,0,-76.3252,86.6562
5,-154.057,0.998051,-76.3252,595.899
6,-61.8857,0.999282,-61.8857,0.0132555
7,-148.795,0.999549,-61.8857,2.51978
8,-152.254,0.998896,-61.8857,3997.99
9,-126.883,0.999946,-61.8857,0.0373097
10,-100,0,-61.8857,0.0001
11,-76.698,0.999905,-61.8857,0.0001
12,-77.4902,0.999519,-61.8857,0.0001
13,-77.6025,0.999686,-61.8857,0.0001
14,-75.6463,0.999612,-61.8857,0.000838873
15,-76.3096,0.999917,-61.8857,0.0001
16,-77.9201,0.999851,-61.8857,0.000896815
17,-77.702,0.999779,-61.8857,0.0001
18,-76.3267,0.999788,-61.8857,0.000955842
19,-77.4125,0.999637,-61.8857,0.0001
20,-78.5722,0.99989,-61.8857,0.000996091
21,-76.3843,0.999428,-61.8857,0.0001
22,-77.3792,0.999626,-61.8857,0.0010109
23,-76.8169,0.999804,-61.8857,0.0001
24,-76.1672,0.999955,-61.8857,0.00103041
25,-75.7912,0.999554,-61.8857,0.0001
26,-77.0114,0.99953,-61.8857,0.00102959
27,-79.3075,0.999207,-61.8857,0.0001
28,-77.8901,0.999235,-61.8857,0.00109447
29,-76.3588,0.99976,-61.8857,0.0001
30,-76.4334,0.999265,-61.8857,0.00153763
31,-75.4802,0.999439,-61.8857,0.00149245
32,-76.8153,0.999697,-61.8857,0.000570764
33,-78.6476,0.999857,-61.8857,0.0020521
34,-77.3697,0.999767,-61.8857,0.000459799
35,-76.6135,0.999625,-61.8857,0.00235035
36,-77.7342,0.999773,-61.8857,0.000426819
37,-77.339,0.999721,-61.8857,0.0001
38,-75.1244,0.999627,-61.8857,0.00252125
39,-78.1275,0.999307,-61.8857,0.000458653
