Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

ments params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
0,0,0,0,484.905,1.04038e-05,-76.0389
1,0.555608,0.0149115,0.555608,0.00409749,0.0120815,-7.98455
2,0,0,0.555608,0.000368834,3.37078e-06,-44.6068
3,0,0,0.555608,1.18411,0.0193456,-36.4677
4,0,0,0.555608,0.0315385,3.24624e-05,-17.6336
5,0,0,0.555608,1722.12,0.34626,-92.3917
6,0,0,0.555608,0.448958,0.00203805,-83.108
7,0,0,0.555608,62.4883,0.000197026,-63.7837
8,0,0,0.555608,14.9458,0.000688664,-53.2406
9,0.682389,0.0147696,0.682389,0.00133925,0.0645857,-21.873
10,0.781236,0.0134224,0.781236,0.000196462,0.686085,-0.000639098
11,0.684482,0.0284936,0.781236,0.0001,0.116817,0
12,0.81181,0.00910598,0.81181,0.000595589,1,-0.0128719
13,0.797655,0.0121976,0.81181,0.000264285,1,-99.9907
14,0.8045,0.00884195,0.81181,0.000474073,0.999637,-45.1676
15,0.801273,0.00889917,0.81181,0.00114008,0.99984,-99.9906
16,0.804118,0.0123736,0.81181,0.00158843,0.999802,0
17,0.796594,0.0102181,0.81181,0.000586435,0.999825,-99.9906
18,0.799416,0.0133373,0.81181,0.00108521,0.999714,-33.0763
19,0.825497,0.0133136,0.825497,0.00069232,1,0
20,0.692555,0.0212138,0.825497,0.000100161,0.0983588,-99.9906
21,0.80891,0.0120638,0.825497,0.00682347,0.999801,-99.9906
22,0.792764,0.0113354,0.825497,0.00390334,0.366184,-99.9902
23,0.824888,0.00827269,0.825497,0.00392798,0.999825,-75.685
24,0.808652,0.00988629,0.825497,0.00557482,0.999681,-61.8644
25,0.807922,0.0105641,0.825497,0.0001,1,0
26,0.811056,0.00966309,0.825497,0.00835104,0.992895,-0.0831714
27,0.799446,0.0131994,0.825497,0.00431109,0.988406,-0.0454981
28,0.790243,0.01031,0.825497,0.016531,0.999739,-37.9988
29,0.794647,0.0135811,0.825497,0.000379521,1,-0.0024522
30,0,0,0.825497,10000,1e-06,0
31,0,0,0.825497,100,1e-05,-4.16667
32,0.822279,0.00680464,0.825497,0.00334274,0.999802,-92.8706
33,0.812403,0.0134022,0.825497,0.00337523,0.999578,-100
34,0.818236,0.00769858,0.825497,0.00309355,0.999805,-78.3638
35,0.80539,0.00973973,0.825497,0.00460268,0.999809,-81.4236
36,0.798061,0.00883651,0.825497,0.0187138,0.999777,-99.9914
37,0.786061,0.0144487,0.825497,0.00202719,0.999794,-72.8535
38,0.814708,0.0126883,0.825497,0.000958325,0.999655,0
39,0.823223,0.00825057,0.825497,0.000951509,1,-0.00697989
