Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

rents params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
0,0,0,0,484.905,1.04038e-05,-76.0389
1,0.548851,0.0149377,0.548851,0.00409749,0.0120815,-7.98455
2,0,0,0.548851,0.000368834,3.37078e-06,-44.6068
3,0,0,0.548851,1.18411,0.0193456,-36.4677
4,0,0,0.548851,0.0315385,3.24624e-05,-17.6336
5,0,0,0.548851,1722.12,0.34626,-92.3917
6,0.128529,0.0856913,0.548851,0.448958,0.00203805,-83.108
7,0,0,0.548851,62.4883,0.000197026,-63.7837
8,0,0,0.548851,14.9458,0.000688664,-53.2406
9,0.685343,0.0147905,0.685343,0.00133925,0.0645857,-21.873
10,0.735497,0.0148788,0.735497,0.000100161,0.230041,-13.4172
11,0.754471,0.0143929,0.754471,0.000117169,0.150644,-99.9903
12,0.822187,0.00537164,0.822187,0.000191971,1,-88.2793
13,0.808513,0.0143931,0.822187,0.000558047,0.999726,-99.9907
14,0.807124,0.0106158,0.822187,0.0001,1,-100
15,0.781443,0.014726,0.822187,0.000274509,0.999994,-63.7685
16,0.815696,0.00665616,0.822187,0.000232786,0.999903,-100
17,0.792112,0.0148963,0.822187,0.000231324,0.98998,-100
18,0.719852,0.0223151,0.822187,0.0018805,0.165489,-99.9911
19,0.248198,0.0859061,0.822187,0.000100181,0.0055901,0
20,0.779491,0.0203192,0.822187,0.00357708,0.999803,-0.00199329
21,0.813379,0.0145606,0.822187,0.0001,0.988166,-45.993
22,0.799914,0.0111685,0.822187,0.0001,0.999449,-74.1625
23,0,0,0.822187,1.74052,1.00131e-06,-99.9903
24,0,0,0.822187,9997.5,0.00127043,-0.0016418
25,0.812418,0.00662965,0.822187,0.0001,1,-1.27676e-12
26,0.811766,0.00860653,0.822187,0.00750513,0.999718,-100
27,0.800245,0.00629461,0.822187,0.00375715,0.999679,-72.4515
28,0.787245,0.0165028,0.822187,0.0001,1,-100
29,0.794638,0.0134081,0.822187,0.00282574,0.995256,-100
30,0.777813,0.0115515,0.822187,0.00040314,0.979141,0
31,0.779398,0.011684,0.822187,0.0247304,0.984039,-87.5625
32,0.805561,0.0112229,0.822187,0.0102593,1,-48.4033
