Hpopt Xpr level params:

xpr_name,env_id,mcts_mode,graph_search,max_trial_length,runtime_bounded,term_bound,search_threads,eval_delta,eval_rollouts,eval_threads,min_repeats,conf_thresh,bayesopt_total_samples,bayesopt_init_rand_samples,bayesopt_relearn_freq
310_hpopt_frozen_lake_det_sparse,frozen_lake_(map=8x8,sparse),0,0,100,0,10000,16,10000,1,1,10,0.015,200,10,20

tents params mins/maxs: 

temp - (min,max,log_scale) = (0.0001,10000,1)
epsilon - (min,max,log_scale) = (1e-06,1,1)
default_q_value - (min,max,log_scale) = (-100,0,0)

Evaluations:

hp_opt_iter,mean_eval,std_mean_eval,best_eval_so_far,temp,epsilon,default_q_value
0,0,0,0,484.905,1.04038e-05,-76.0389
1,0.575715,0.0149816,0.575715,0.00409749,0.0120815,-7.98455
2,0.0592966,0.0592966,0.575715,0.000368834,3.37078e-06,-44.6068
3,0.242923,0.101493,0.575715,1.18411,0.0193456,-36.4677
4,0.0581166,0.0581166,0.575715,0.0315385,3.24624e-05,-17.6336
5,0,0,0.575715,1722.12,0.34626,-92.3917
6,0.713908,0.0138535,0.713908,0.448958,0.00203805,-83.108
7,0,0,0.713908,62.4883,0.000197026,-63.7837
8,0,0,0.713908,14.9458,0.000688664,-53.2406
9,0.642626,0.0216715,0.713908,0.00133925,0.0645857,-21.873
10,0.820276,0.0112951,0.820276,0.0007496,1,-100
11,0.245516,0.101968,0.820276,0.0236238,0.0050267,-99.991
12,0.80338,0.0128625,0.820276,0.00893308,0.999763,-71.2255
13,0.807625,0.00776309,0.820276,0.000100214,0.999776,-83.1249
14,0.790909,0.0148312,0.820276,0.360893,0.999777,-84.7807
15,0.815857,0.0146937,0.820276,0.0001,1,-1.11022e-14
16,0.816519,0.00681011,0.820276,0.0001,0.999736,-99.9142
17,0.768035,0.0176973,0.820276,0.000100168,0.999855,-42.713
18,0.800916,0.0125082,0.820276,0.00677512,0.999848,-0.000333576
19,0.805888,0.0141865,0.820276,0.0028005,0.999977,-86.6745
20,0.809261,0.00788202,0.820276,0.100654,0.999758,-73.802
21,0.82312,0.00692421,0.82312,0.00427027,0.999824,-45.5495
22,0.790215,0.0152575,0.82312,0.000751573,0.999839,0
23,0.823145,0.00724977,0.823145,0.00466043,0.999839,-22.0565
24,0.785781,0.0183806,0.823145,0.0001,1,-15.8977
25,0.813518,0.00963123,0.823145,0.0034102,0.998521,-33.7925
26,0,0,0.823145,7.49854,1.00121e-06,-99.9908
27,0,0,0.823145,10000,1,0
28,0.805177,0.0144228,0.823145,0.00700275,1,-14.2705
29,0.792779,0.0115631,0.823145,0.00194663,0.998364,-55.2181
30,0.805067,0.00614475,0.823145,0.00937362,0.831076,-48.378
