env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,76.1466,23,-2.70963,-2.70963
1,86.0093,73,-2.60158,-2.60158
2,38.1253,39,-2.71101,-2.60158
3,91.5908,91,-2.681,-2.60158
4,1.6997,62,-2.3306,-2.3306
5,63.8818,55,-2.57692,-2.3306
6,28.8133,41,-2.51021,-2.3306
7,47.6815,3,-2.81371,-2.3306
8,55.3277,20,-2.50425,-2.3306
9,15.4461,82,-2.28345,-2.28345
10,0.01,99,-2.82416,-2.28345
11,0.01,1,-2.54187,-2.28345
12,38.0651,99,-2.4983,-2.28345
13,0.0190069,36,-2.50381,-2.28345
14,100,1,-2.70497,-2.28345
15,37.0691,99,-2.61808,-2.28345
16,0.01,1,-2.44556,-2.28345
17,0.0191956,51,-2.75036,-2.28345
18,0.01,99,-2.86785,-2.28345
19,100,99,-2.63617,-2.28345
20,15.8651,81,-2.2344,-2.2344
21,17.1851,81,-2.35493,-2.2344
22,14.024,81,-2.13782,-2.13782
23,13.0463,80,-2.37433,-2.13782
24,13.2804,82,-2.23016,-2.13782
25,14.6741,83,-2.45157,-2.13782
26,15.1984,79,-2.46992,-2.13782
27,11.1683,82,-2.11594,-2.11594
28,10.6621,82,-2.41954,-2.11594
29,10.447,84,-2.46015,-2.11594
30,1.948,81,-2.1638,-2.11594
31,0.01,81,-2.57192,-2.11594
32,89.6382,31,-2.8789,-2.11594
33,0.789859,81,-2.46347,-2.11594
34,29.5472,82,-2.35527,-2.11594
35,16.7075,63,-2.48124,-2.11594
36,36.1593,79,-2.49913,-2.11594
37,34.854,84,-2.5236,-2.11594
38,12.5576,67,-2.40296,-2.11594
39,0.01,79,-2.79069,-2.11594
40,34.3365,67,-2.67213,-2.11594
41,27.9007,60,-2.68448,-2.11594
