env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,76.1466,23,-1.22006,-1.22006
1,86.0093,73,-1.59679,-1.22006
2,38.1253,39,-1.34637,-1.22006
3,91.5908,91,-1.31972,-1.22006
4,1.6997,62,-1.12205,-1.12205
5,63.8818,55,-1.70496,-1.12205
6,28.8133,41,-0.944257,-0.944257
7,47.6815,3,-1.27178,-0.944257
8,55.3277,20,-1.91226,-0.944257
9,15.4461,82,-1.15127,-0.944257
10,0.01,1,-0.366811,-0.366811
11,0.01,1,-0.643291,-0.366811
12,0.01,1,-0.638695,-0.366811
13,0.01,1,-0.643421,-0.366811
14,10.8339,1,-1.08555,-0.366811
15,0.01,99,-0.0986741,-0.0986741
16,0.01,99,-0.348445,-0.0986741
17,0.01,99,-0.153942,-0.0986741
18,0.01,99,-0.408881,-0.0986741
19,0.01,99,-0.678731,-0.0986741
20,0.581936,99,-0.733454,-0.0986741
21,70.3486,1,-1.73157,-0.0986741
22,100,1,-1.63505,-0.0986741
23,27.046,99,-1.18663,-0.0986741
24,51.0424,99,-2.12848,-0.0986741
25,0.527956,99,-0.77135,-0.0986741
26,8.63864,2,-1.30312,-0.0986741
27,95.4536,1,-3.11106,-0.0986741
28,78.682,8,-1.41581,-0.0986741
29,3.93504,99,-0.421377,-0.0986741
30,0.01,99,-0.681239,-0.0986741
31,7.64297,99,-0.230055,-0.0986741
32,7.63621,99,-0.736798,-0.0986741
33,0.01,99,-0.606191,-0.0986741
34,18.2142,99,-1.06273,-0.0986741
35,0.01,1,-0.129247,-0.0986741
36,0.01,1,-0.397598,-0.0986741
37,0.01,1,-0.164224,-0.0986741
38,0.01,1,-0.741885,-0.0986741
39,0.01,99,-0.399359,-0.0986741
40,6.28166,99,-0.789889,-0.0986741
41,0.01,1,-0.720078,-0.0986741
42,0.01,99,-0.734145,-0.0986741
43,22.4203,1,-1.51997,-0.0986741
44,0.01,1,-1.0094,-0.0986741
45,0.01,99,-0.29555,-0.0986741
46,0.01,99,-0.073015,-0.073015
47,0.01,99,-0.708897,-0.073015
48,34.6614,99,-1.63241,-0.073015
49,7.03929,99,-0.73646,-0.073015
50,77.182,9,-2.9415,-0.073015
51,0.01,99,-0.772238,-0.073015
52,0.01,1,-0.542889,-0.073015
53,0.01,1,-0.35449,-0.073015
