env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.380745,23,35.712,0.181472,1,88.6158,-2.99704,-2.99704
1,0.430053,73,25.0012,0.321807,0,47.5504,-4.55558,-2.99704
2,0.190658,39,86.8364,0.379858,1,29.656,-4.03248,-2.99704
3,0.457958,91,43.938,0.287461,0,57.8717,-3.53801,-2.99704
4,0.00854766,62,74.3068,0.0653019,1,35.27,-2.76207,-2.76207
5,0.319427,55,50.9949,0.114635,0,63.3191,-2.72401,-2.72401
6,0.144102,41,62.7848,0.439755,1,76.925,-3.5114,-2.72401
7,0.238434,3,5.26604,0.229567,0,93.2154,-3.31095,-2.72401
8,0.276661,20,11.9425,0.00345945,1,4.33376,-1.95378,-1.95378
9,0.0772726,82,97.9118,0.488768,0,17.7984,-4.00606,-1.95378
10,0.5,1,0.01,0.0001,1,0.01,-2.82666,-1.95378
11,0.0001,99,0.01,0.0001,0,100,-2.57387,-1.95378
12,0.5,1,100,0.0001,0,0.012949,-4.52841,-1.95378
13,0.0001,99,0.01,0.0001,1,100,-3.40906,-1.95378
14,0.000143185,99,0.0181259,0.103553,1,0.0188668,-1.94968,-1.94968
15,0.000137893,99,0.0178714,0.103797,1,0.0179319,-1.05207,-1.05207
16,0.000202681,99,0.0732044,0.14278,1,0.0338772,-0.753274,-0.753274
17,0.499992,99,0.02104,0.125611,1,0.0222056,-1.03433,-0.753274
18,0.499995,99,0.0201426,0.125605,1,0.0202487,-1.00321,-0.753274
19,0.499993,99,99.9969,0.133915,1,0.0225683,-3.81775,-0.753274
20,0.5,99,0.01,0.5,0,0.01,-2.18057,-0.753274
21,0.000142262,99,16.397,0.000140314,1,0.0195241,-3.59634,-0.753274
22,0.499998,99,0.0177954,0.499999,1,12.3524,-2.03773,-0.753274
23,0.000135502,71,0.0207882,0.499998,0,9.63589,-2.01099,-0.753274
24,0.000146119,1,0.0173373,0.499996,1,18.7191,-2.21201,-0.753274
25,0.000145627,1,36.926,0.499988,0,0.0195894,-4.35132,-0.753274
26,0.5,99,100,0.0001,0,100,-3.24654,-0.753274
27,0.0001,99,0.01,0.0001,1,0.01,-2.06958,-0.753274
28,0.0001,99,0.01,0.5,1,0.01,-1.82898,-0.753274
29,0.499996,1,99.9977,0.000149571,0,66.3987,-3.64822,-0.753274
30,0.000156096,1,61.3472,0.000159783,1,0.0229765,-3.95518,-0.753274
31,0.0001,99,6.61518,0.0001,1,2.17219,-1.91717,-0.753274
32,0.000198652,99,0.01,0.0001,1,0.01,-1.45127,-0.753274
33,0.000201131,99,52.1642,0.499974,1,0.0328139,-3.87943,-0.753274
34,0.0001,99,0.01,0.0001,1,0.0135337,-2.6648,-0.753274
35,0.000175984,1,16.9865,0.0001865,1,99.996,-0.961567,-0.753274
36,0.000143286,1,16.7512,0.499989,1,99.9978,-2.43976,-0.753274
37,0.000145354,99,14.5621,0.000150057,1,99.9976,-3.23984,-0.753274
38,0.000131873,99,3.76418,0.000171259,1,34.4288,-2.35809,-0.753274
39,0.000148609,1,9.04221,0.000154142,1,38.0739,-1.83049,-0.753274
40,0.499993,1,13.8688,0.000149039,1,60.0219,-1.61042,-0.753274
41,0.00015042,1,14.3381,0.000153768,0,56.6459,-3.48167,-0.753274
42,0.499993,99,76.1706,0.000153601,0,99.9975,-2.70435,-0.753274
43,0.000176013,1,76.9944,0.000192807,0,99.9956,-3.42749,-0.753274
44,0.00017915,1,23.7366,0.000172444,1,99.9957,-1.95915,-0.753274
45,0.000164961,1,48.4429,0.000177464,1,100,-2.21425,-0.753274
46,0.499989,1,20.2196,0.499978,1,99.9972,-2.45469,-0.753274
47,0.49999,1,51.9614,0.49998,0,100,-3.08842,-0.753274
48,0.499985,61,0.0183615,0.000153382,1,0.01,-1.30895,-0.753274
49,0.499996,65,0.0209903,0.000150676,1,29.4751,-0.667055,-0.667055
50,0.499994,60,0.01,0.499997,1,0.0217793,-2.47616,-0.667055
51,0.49999,1,12.9296,0.499986,1,0.0213005,-3.43098,-0.667055
52,0.5,1,0.01,0.000133643,1,91.3682,-2.11594,-0.667055
53,0.49998,59,0.01,0.000142333,1,39.5853,-2.88001,-0.667055
54,0.49999,1,10.3446,0.000145571,1,99.9976,-1.53416,-0.667055
55,0.5,99,0.01,0.0001,1,0.01,-2.42428,-0.667055
56,0.499997,27,10.2666,0.000159883,1,100,-2.60345,-0.667055
57,0.000156349,49,0.0188056,0.000143397,1,0.01,-2.60417,-0.667055
58,0.000159312,1,6.98253,0.000134341,1,100,-2.34373,-0.667055
59,0.000157148,1,19.7924,0.000151998,1,50.2105,-4.51356,-0.667055
60,0.0001,1,100,0.5,1,100,-1.76822,-0.667055
61,0.000175706,1,90.8255,0.000181472,1,99.9984,-1.83446,-0.667055
62,0.000135849,99,88.8471,0.499989,1,99.9985,-3.05693,-0.667055
63,0.49991,99,0.0151869,0.000678381,1,31.2777,-1.89886,-0.667055
64,0.499992,1,88.0424,0.000160208,1,99.9991,-1.79938,-0.667055
65,0.5,1,100,0.5,1,100,-3.58762,-0.667055
66,0.499992,1,79.53,0.499987,1,99.9969,-3.38933,-0.667055
67,0.0001,1,60.4829,0.0001,1,100,-3.37846,-0.667055
68,0.499601,99,0.0867503,0.00169694,1,54.4665,-1.81067,-0.667055
69,0.499935,1,71.2642,0.000386136,1,48.0702,-1.6408,-0.667055
70,0.499992,99,66.7781,0.000157677,0,42.2032,-2.68616,-0.667055
71,0.499994,99,80.4567,0.000153617,0,62.4163,-3.66142,-0.667055
72,0.00020165,1,60.8489,0.000211369,1,47.7114,-1.60863,-0.667055
73,0.499503,2,0.0637271,0.000486553,1,37.5106,-2.32759,-0.667055
74,0.49993,99,0.0287594,0.000826793,1,27.7973,-1.11952,-0.667055
75,0.000178393,1,53.6104,0.000185858,1,50.2193,-1.09961,-0.667055
76,0.499983,1,57.9101,0.000173744,1,47.1206,-3.37622,-0.667055
77,0.000201004,1,48.8257,0.499974,1,62.8269,-1.54707,-0.667055
78,0.000184143,1,46.2208,0.000204177,0,67.1726,-4.04251,-0.667055
79,0.499979,1,73.3592,0.383845,0,0.01,-4.30002,-0.667055
80,0.000145559,99,45.3941,0.000150257,1,99.9975,-2.72164,-0.667055
81,0.000147082,99,59.6364,0.000142315,1,55.4011,-1.91523,-0.667055
82,0.499517,99,0.164726,0.000580493,1,27.6572,-4.27598,-0.667055
83,0.000154936,99,63.465,0.499987,1,48.4441,-1.95809,-0.667055
84,0.000147709,99,53.1366,0.499987,1,65.261,-2.27542,-0.667055
85,0.499991,52,0.0848784,0.000766732,1,68.3248,-2.48051,-0.667055
86,0.000143138,99,53.6807,0.000135569,1,42.6562,-2.11558,-0.667055
87,0.00014733,1,65.6243,0.499989,1,51.3126,-2.16177,-0.667055
88,0.000155282,1,52.3842,0.499986,1,44.2752,-2.24041,-0.667055
89,0.499987,99,7.34189,0.499956,1,62.7074,-1.33469,-0.667055
