env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-vamplew-stoch,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.380745,23,35.712,0.181472,1,88.6158,73.018,33.5372,-1.95968,-1.95968
1,0.430053,73,25.0012,0.321807,0,47.5504,28.3836,21.1033,-3.18187,-1.95968
2,0.190658,39,86.8364,0.379858,1,29.656,85.8825,94.2176,-4.30234,-1.95968
3,0.457958,91,43.938,0.287461,0,57.8717,45.449,49.5682,-3.3279,-1.95968
4,0.00854766,62,74.3068,0.0653019,1,35.27,56.9368,1.78596,-2.36016,-1.95968
5,0.319427,55,50.9949,0.114635,0,63.3191,1.22258,74.1985,-2.41348,-1.95968
6,0.144102,41,62.7848,0.439755,1,76.925,14.9782,87.4196,-2.15919,-1.95968
7,0.238434,3,5.26604,0.229567,0,93.2154,98.7363,11.3265,-4.65961,-1.95968
8,0.276661,20,11.9425,0.00345945,1,4.33376,39.7624,58.3713,-2.42164,-1.95968
9,0.0772726,82,97.9118,0.488768,0,17.7984,64.2121,65.9793,-3.19614,-1.95968
10,0.207517,1,58.7652,0.281083,1,63.464,0.00943682,18.1815,-2.80754,-1.95968
11,0.0414235,59,42.1016,0.111488,1,88.6548,9.85232,69.5064,-0.886346,-0.886346
12,0.00588443,65,30.8571,0.020534,1,100,1.72903,77.0224,-2.75369,-0.886346
13,0.0665148,99,0.0190557,0.000148126,0,0.0191494,17.5942,0.0197401,-2.42348,-0.886346
14,0.0744523,1,99.9991,0.499997,1,99.9982,0.0111009,99.9972,-3.1979,-0.886346
15,0.0387021,59,41.9438,0.110206,1,88.8858,24.8166,69.7692,-1.86405,-0.886346
16,0.0001,62,39.2044,0.10021,1,88.9643,36.6241,69.7076,-1.06105,-0.886346
17,0.0001,63,39.156,0.0968738,1,89.01,36.2189,70.0237,-1.76751,-0.886346
18,0.0001,62,39.5789,0.0993946,1,89.2743,36.4233,69.735,-1.37323,-0.886346
19,0.0541646,58,42.2878,0.11103,1,88.6837,30.0056,69.5722,-1.0381,-0.886346
20,0.348852,66,21.9703,0.123537,1,67.268,0.0106402,99.9959,-1.51704,-0.886346
