env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,76.1466,23,-21.1967,-21.1967
1,86.0093,73,-21.3607,-21.1967
2,38.1253,39,-21.1007,-21.1007
3,91.5908,91,-21.3136,-21.1007
4,1.6997,62,-20.9478,-20.9478
5,63.8818,55,-21.095,-20.9478
6,28.8133,41,-20.9583,-20.9478
7,47.6815,3,-21.7234,-20.9478
8,55.3277,20,-21.1465,-20.9478
9,15.4461,82,-20.3797,-20.3797
10,0.01,99,-20.5385,-20.3797
11,0.01,99,-20.4915,-20.3797
12,18.1063,99,-20.2599,-20.2599
13,24.2106,99,-20.5958,-20.2599
14,0.01,99,-20.851,-20.2599
15,31.8488,99,-20.8527,-20.2599
16,0.01,99,-21.4092,-20.2599
17,0.01,1,-20.6282,-20.2599
18,42.7593,99,-20.6497,-20.2599
19,0.01,1,-20.747,-20.2599
20,19.7342,99,-20.9566,-20.2599
21,11.9214,1,-20.5747,-20.2599
22,0.01,1,-21.0981,-20.2599
23,100,1,-20.6013,-20.2599
24,100,1,-20.7974,-20.2599
25,19.6638,99,-20.9842,-20.2599
26,17.557,1,-20.5119,-20.2599
27,17.5079,1,-20.3041,-20.2599
28,17.5136,1,-21.4229,-20.2599
29,52.4896,99,-21.3319,-20.2599
30,13.3078,99,-20.6526,-20.2599
31,100,1,-21.308,-20.2599
32,13.3547,99,-20.8238,-20.2599
33,15.0172,1,-20.4926,-20.2599
34,20.9261,1,-20.3466,-20.2599
35,12.8429,1,-20.0413,-20.0413
36,0.01,1,-21.0852,-20.0413
37,24.8263,1,-20.9124,-20.0413
38,100,1,-20.3587,-20.0413
39,100,1,-20.7373,-20.0413
40,10.6729,1,-21.8705,-20.0413
41,100,99,-20.9342,-20.0413
42,72.0422,99,-21.8194,-20.0413
43,30.3646,1,-21.3608,-20.0413
44,27.0689,99,-21.273,-20.0413
45,87.0369,1,-20.9613,-20.0413
46,10.4569,99,-19.74,-19.74
47,100,99,-20.9608,-19.74
48,100,99,-20.3993,-19.74
49,10.3761,99,-20.4534,-19.74
50,0.01,99,-20.4611,-19.74
51,84.0498,99,-21.3743,-19.74
52,9.60422,99,-20.4729,-19.74
53,1.4615,99,-20.0214,-19.74
54,9.55208,99,-21.239,-19.74
55,0.01,99,-20.688,-19.74
56,50.005,98,-21.3435,-19.74
