env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,76.1466,23,-18.1617,-18.1617
1,86.0093,73,-15.8556,-15.8556
2,38.1253,39,-12.6761,-12.6761
3,91.5908,91,-17.8458,-12.6761
4,1.6997,62,-18.5321,-12.6761
5,63.8818,55,-14.4439,-12.6761
6,28.8133,41,-14.8532,-12.6761
7,47.6815,3,-16.3767,-12.6761
8,55.3277,20,-15.8112,-12.6761
9,15.4461,82,-15.7614,-12.6761
10,44.7572,51,-17.7562,-12.6761
11,25.4077,21,-13.513,-12.6761
12,12.6913,10,-17.4339,-12.6761
13,35.4251,27,-15.19,-12.6761
14,44.6724,99,-16.2819,-12.6761
15,99.9982,48,-17.3355,-12.6761
16,21.1857,33,-14.7214,-12.6761
17,61.2205,77,-15.4909,-12.6761
18,0.01,99,-10.733,-10.733
19,0.01,99,-10.6544,-10.6544
20,0.01,98,-10.611,-10.611
21,3.50897,98,-17.1102,-10.611
22,0.01,94,-14.442,-10.611
23,51.8927,37,-17.5687,-10.611
24,5.1901,25,-16.578,-10.611
25,0.01,99,-16.1514,-10.611
26,0.0194869,40,-15.2408,-10.611
27,76.8921,62,-14.7097,-10.611
28,100,1,-17.5036,-10.611
29,52.2419,65,-16.6262,-10.611
30,0.394012,99,-12.3602,-10.611
31,0.57201,99,-15.2771,-10.611
32,77.6505,6,-17.0777,-10.611
33,63.2339,5,-17.0408,-10.611
34,64.5474,7,-20.1532,-10.611
35,0.23484,99,-12.9469,-10.611
36,60.1352,6,-16.6324,-10.611
37,70.3471,6,-13.9143,-10.611
38,37.7735,67,-14.5219,-10.611
39,69.7622,6,-16.1236,-10.611
40,39.0145,47,-15.5394,-10.611
41,37.6397,24,-14.6471,-10.611
42,24.0475,24,-18.0033,-10.611
43,26.7411,27,-15.3483,-10.611
44,0.01,82,-12.3182,-10.611
45,0.01,74,-16.0389,-10.611
46,39.094,20,-15.0728,-10.611
47,71.8913,3,-18.3674,-10.611
48,26.0603,1,-14.5507,-10.611
49,27.9228,1,-12.8016,-10.611
50,27.8395,31,-15.0065,-10.611
51,82.5352,1,-17.4177,-10.611
52,20.022,2,-17.1889,-10.611
53,63.2802,99,-15.7091,-10.611
54,38.5329,99,-15.6331,-10.611
55,25.7884,96,-14.9558,-10.611
56,27.3356,98,-16.0406,-10.611
