env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.129801,17,20.7273,0.29871,0,25.1736,-23.5026,-23.5026
1,0.047315,32,46.7428,0.172235,1,12.2612,-21.1283,-21.1283
2,0.420256,47,67.1183,0.12476,1,7.32464,-16.9631,-16.9631
3,0.056862,25,52.5079,0.218267,1,79.6554,-18.319,-16.9631
4,0.296716,87,2.518,0.474852,1,37.0718,-19.5511,-16.9631
5,0.202727,52,80.6414,0.0303325,0,59.2537,-23.2481,-16.9631
6,0.463979,75,77.7855,0.054425,0,89.7841,-21.9012,-16.9631
7,0.176779,63,13.273,0.331407,1,46.4935,-17.4984,-16.9631
8,0.313474,96,90.5148,0.408273,0,69.2647,-22.3968,-16.9631
9,0.360784,4,37.854,0.391944,0,93.9791,-21.2478,-16.9631
10,0.499994,1,99.9981,0.000149631,1,0.0195495,-21.3138,-16.9631
11,0.000143933,99,0.0184931,0.499995,1,99.9978,-18.3911,-16.9631
12,0.0001,99,100,0.5,1,100,-16.7962,-16.7962
13,0.0001,99,100,0.5,1,100,-24.2676,-16.7962
14,0.499993,99,0.018466,0.000143027,1,99.9976,-19.3223,-16.7962
15,0.000143514,1,0.0192794,0.499991,1,0.0198762,-20.0998,-16.7962
16,0.499999,99,99.9983,0.499995,1,99.9977,-18.2076,-16.7962
17,0.499993,99,0.0187044,0.000143981,1,99.9981,-17.4411,-16.7962
18,0.000143444,99,99.9987,0.000150013,1,99.9983,-19.6209,-16.7962
19,0.499989,99,0.0181302,0.499996,1,0.0187815,-19.8421,-16.7962
20,0.5,1,0.01,0.0001,1,100,-15.4169,-15.4169
21,0.5,1,0.01,0.0001,1,100,-20.9386,-15.4169
22,0.499996,1,99.998,0.499997,1,99.999,-19.2514,-15.4169
23,0.0001,1,0.01,0.0001,1,0.01,-26.1515,-15.4169
24,0.499994,99,0.0180276,0.499991,1,99.9953,-21.069,-15.4169
25,0.5,99,99.9984,0.499994,1,99.9977,-17.6346,-15.4169
26,0.499995,99,99.9987,0.499989,1,0.0194096,-21.6516,-15.4169
27,0.499993,1,0.0186003,0.499995,1,99.9983,-19.4734,-15.4169
28,0.000147525,1,99.9982,0.499994,1,99.9974,-22.6916,-15.4169
29,0.5,99,0.0220786,0.000152259,1,99.9988,-21.2171,-15.4169
30,0.305145,61,10.1697,0.307801,1,58.9306,-19.2799,-15.4169
31,0.0488889,68,26.0124,0.340374,1,55.1633,-20.4849,-15.4169
32,0.477128,1,48.1573,0.499989,1,67.4459,-22.7279,-15.4169
33,0.00014825,1,0.018249,0.000139872,1,87.4981,-15.5153,-15.4169
34,0.000146651,1,3.40719,0.000145261,0,88.1395,-16.4167,-15.4169
35,0.130071,1,0.0196262,0.000142922,1,83.2643,-22.5819,-15.4169
36,0.000138912,1,5.25848,0.000139944,0,96.5211,-15.0703,-15.0703
37,0.0001,1,7.30291,0.000136936,0,96.4543,-21.589,-15.0703
38,0.0884123,1,70.5233,0.326601,1,1.95284,-20.2006,-15.0703
39,0.000134344,99,14.0835,0.000141147,1,86.6678,-18.7664,-15.0703
40,0.00791712,1,0.01,0.00057504,1,100,-14.3691,-14.3691
41,0.413353,94,51.6836,0.482825,0,10.3158,-20.0299,-14.3691
42,0.425571,21,89.2138,0.00014147,1,0.883769,-19.4841,-14.3691
43,0.0107314,1,0.0207711,0.000477361,1,99.9468,-15.532,-14.3691
44,0.426934,25,60.2235,0.000148163,1,38.4693,-12.8519,-12.8519
45,0.425871,14,61.3324,0.000142064,1,47.2516,-12.9962,-12.8519
46,0.428802,14,56.1419,0.000142089,1,42.7037,-17.6927,-12.8519
47,0.421347,35,70.0775,0.000138589,1,46.2343,-16.5803,-12.8519
48,0.419169,1,51.7228,0.00014154,1,43.7599,-14.3925,-12.8519
49,0.421773,98,53.4392,0.000142122,1,57.3222,-18.477,-12.8519
50,0.425436,1,63.8248,0.000146024,0,41.5024,-20.1255,-12.8519
51,0.419653,1,45.1644,0.000141485,1,21.641,-14.8311,-12.8519
52,0.431443,1,46.1358,0.000143065,1,18.3914,-24.2523,-12.8519
53,0.410587,1,60.8951,0.475158,1,40.3586,-20.7614,-12.8519
54,0.407069,1,30.1413,0.000141204,1,46.276,-18.1271,-12.8519
55,0.432999,25,86.7464,0.00105538,1,56.0142,-19.4298,-12.8519
56,0.196193,61,0.0206786,0.499988,1,10.4621,-18.9421,-12.8519
57,0.419805,1,51.2305,0.000146962,1,89.0655,-18.9865,-12.8519
58,0.388794,22,60.141,0.00092521,1,33.8053,-22.9011,-12.8519
59,0.240498,3,0.0185824,0.499988,1,6.53212,-18.056,-12.8519
60,0.421822,1,59.7951,0.00013378,1,32.2114,-13.9636,-12.8519
61,0.421833,1,59.3463,0.000156121,1,32.6953,-15.1779,-12.8519
62,0.421485,1,39.1812,0.000135765,1,38.6931,-25.5443,-12.8519
63,0.422769,99,74.8547,0.000131257,1,31.7115,-13.4167,-12.8519
64,0.4214,25,87.665,0.000618665,1,38.2553,-17.7468,-12.8519
65,0.421232,99,67.8823,0.000145843,1,25.5366,-13.4568,-12.8519
66,0.42004,99,67.9293,0.000144386,1,24.4595,-19.1107,-12.8519
67,0.250064,89,16.1803,0.277187,0,0.0274312,-22.8154,-12.8519
68,0.00632856,1,0.01,0.000125519,1,99.9311,-16.5858,-12.8519
69,0.0079389,1,23.259,0.000155804,1,99.4472,-10.0019,-10.0019
70,0.0100433,1,24.0308,0.000397101,1,99.5371,-17.2846,-10.0019
71,0.00402153,1,32.8634,0.000682432,1,99.4933,-22.2882,-10.0019
72,0.0191814,1,14.0275,0.000653873,1,99.5417,-20.3751,-10.0019
73,0.426459,99,71.0486,0.479841,1,88.978,-18.4604,-10.0019
74,0.416985,99,87.1447,0.000183208,0,79.1306,-20.4333,-10.0019
75,0.00946398,1,8.20723,0.000857648,1,99.4552,-25.674,-10.0019
76,0.262573,1,99.9768,0.499753,1,99.9704,-21.4264,-10.0019
77,0.0719983,29,61.8984,0.225823,1,99.8505,-20.1969,-10.0019
78,0.176523,1,20.2806,0.000185258,0,99.9946,-21.7467,-10.0019
79,0.237449,1,64.2247,0.000188421,0,99.996,-20.261,-10.0019
