env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-improved-stoch,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.401119,50,25.6787,0.132623,0,25.0597,75.1712,78.8667,-21.4401,-21.4401
1,0.171752,94,55.9899,0.435802,1,1.98919,63.0228,48.6902,-21.0454,-21.0454
2,0.373217,59,72.8143,0.461214,0,76.1024,87.4367,10.8365,-21.9395,-21.0454
3,0.0807493,32,80.3383,0.0251639,0,58.6454,8.77394,66.3377,-22.594,-21.0454
4,0.328416,21,13.2891,0.307889,1,40.449,57.56,7.76802,-22.8752,-21.0454
5,0.47751,72,5.00676,0.193687,1,16.8148,23.1282,35.3857,-16.485,-16.485
6,0.0421712,63,30.1837,0.391921,1,69.7304,39.8522,87.4145,-20.9267,-16.485
7,0.254314,87,63.6363,0.239671,0,96.5529,48.2204,56.4717,-21.4151,-16.485
8,0.106524,4,45.4663,0.262537,1,36.4546,14.7224,25.6539,-23.1219,-16.485
9,0.240031,13,93.7612,0.0928726,0,83.9346,95.0088,99.0415,-22.0361,-16.485
10,0.499992,74,0.0195357,0.000144151,0,0.0195391,0.0098533,0.0197557,-20.4801,-16.485
11,0.499986,81,0.0205019,0.000128579,1,31.5046,0.00897098,99.9962,-16.3544,-16.3544
12,0.499987,82,0.0199054,0.000129639,1,34.0917,0.00890349,99.9966,-17.9583,-16.3544
13,0.499992,84,0.0214549,0.000141652,1,39.4201,0.0107915,0.0194342,-17.7034,-16.3544
14,0.499992,77,99.999,0.000142877,1,21.2706,99.9979,99.9975,-18.6558,-16.3544
15,0.499995,82,0.020215,0.499992,0,32.1124,0.00984985,99.998,-17.797,-16.3544
16,0.499767,99,0.143905,0.000140424,1,41.0832,0.0226366,99.9616,-24.5319,-16.3544
17,0.00014145,72,99.9977,0.499991,1,11.7667,0.0110116,84.1705,-17.5823,-16.3544
18,0.000145344,75,99.9987,0.499996,1,23.6585,0.00966835,0.0199913,-21.7698,-16.3544
19,0.000158243,72,0.0220109,0.000153036,1,0.0217806,99.9991,99.9993,-29.2599,-16.3544
20,0.499974,77,82.8583,0.441068,1,53.6946,25.979,99.9985,-17.5829,-16.3544
