env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,66.2625,82,4.81815,4.81815
1,37.941,91,4.83271,4.83271
2,15.3234,71,4.8339,4.8339
3,29.6376,66,4.84676,4.84676
4,49.5284,6,4.66476,4.84676
5,71.4195,34,4.80009,4.84676
6,50.57,14,4.74082,4.84676
7,92.7086,29,4.79427,4.84676
8,2.67715,52,4.86668,4.86668
9,89.8736,49,4.80741,4.86668
10,0.01,99,4.28803,4.86668
11,99.9981,59,4.81833,4.86668
12,0.01,54,4.44227,4.86668
13,99.9981,70,4.82435,4.86668
14,99.9981,70,4.80233,4.86668
15,99.9977,70,4.81016,4.86668
16,99.9982,40,4.80878,4.86668
17,99.9983,67,4.81558,4.86668
18,99.9984,59,4.80635,4.86668
19,99.9981,73,4.81843,4.86668
20,3.24751,6,4.79252,4.86668
21,28.884,64,4.82684,4.86668
22,16.2198,97,4.85277,4.86668
23,16.797,1,4.67008,4.86668
24,2.32103,75,4.89114,4.89114
25,2.22598,99,4.89295,4.89295
26,2.29993,99,4.87489,4.89295
27,2.4981,99,4.87984,4.89295
28,2.07773,99,4.89872,4.89872
29,38.9774,1,4.6502,4.89872
30,2.0129,99,4.88837,4.89872
31,2.09712,99,4.86104,4.89872
32,95.8922,99,4.80371,4.89872
33,2.0914,99,4.9007,4.9007
34,2.04099,99,4.88863,4.9007
35,2.28376,99,4.89767,4.9007
36,2.27595,99,4.88339,4.9007
37,1.97438,99,4.90765,4.90765
38,1.87173,99,4.89923,4.90765
39,1.90925,99,4.91097,4.91097
40,1.8556,99,4.91548,4.91548
41,1.78427,98,4.88811,4.91548
42,1.9486,13,4.84821,4.91548
43,2.09132,99,4.87419,4.91548
44,1.70552,99,4.87248,4.91548
45,2.10992,99,4.8936,4.91548
46,30.4243,96,4.83413,4.91548
47,2.10152,99,4.88339,4.91548
48,31.3493,65,4.81547,4.91548
49,27.8604,99,4.85326,4.91548
50,98.7622,94,4.83143,4.91548
51,94.432,1,4.6566,4.91548
52,97.7027,72,4.81278,4.91548
53,88.4883,48,4.8138,4.91548
54,62.3847,19,4.74892,4.91548
55,2.39678,99,4.88646,4.91548
56,88.5163,53,4.80725,4.91548
57,87.1296,78,4.81855,4.91548
58,85.9349,79,4.83326,4.91548
59,84.9244,95,4.83655,4.91548
60,83.9408,93,4.82679,4.91548
