env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,85.211,82,5.11943,5.11943
1,58.3179,26,5.12789,5.12789
2,39.7439,48,5.12965,5.12965
3,95.1426,93,5.12453,5.12965
4,29.2473,64,5.12513,5.12965
5,6.66507,3,5.124,5.12965
6,18.0207,79,5.12002,5.12965
7,60.871,37,5.11264,5.12965
8,79.3312,15,5.13194,5.13194
9,42.1367,51,5.12446,5.13194
10,61.9003,18,5.11517,5.13194
11,99.9987,46,5.12232,5.13194
12,0.019664,57,4.47928,5.13194
13,60.8501,70,5.13061,5.13194
14,99.9981,9,5.12507,5.13194
15,0.01,99,4.35655,5.13194
16,99.9981,74,5.12342,5.13194
17,0.0202974,42,4.38704,5.13194
18,0.0194018,67,4.3574,5.13194
19,21.1461,87,5.12739,5.13194
20,35.0705,15,5.11745,5.13194
21,82.1952,1,5.1294,5.13194
22,25.0058,3,5.12622,5.13194
23,90.3348,9,5.11648,5.13194
24,97.022,9,5.12842,5.13194
25,54.6322,71,5.1246,5.13194
26,46.8862,46,5.11307,5.13194
27,51.021,99,5.11658,5.13194
28,75.8722,99,5.11825,5.13194
29,66.5086,99,5.12219,5.13194
30,12.798,1,5.12201,5.13194
31,71.2425,1,5.11565,5.13194
32,68.3955,22,5.11972,5.13194
33,72.6497,1,5.11842,5.13194
34,15.6198,1,5.12443,5.13194
35,25.2498,99,5.11696,5.13194
36,80.5399,99,5.12653,5.13194
37,93.6876,1,5.12593,5.13194
38,77.1668,1,5.12315,5.13194
39,32.3326,99,5.11518,5.13194
40,86.9042,1,5.11962,5.13194
41,37.6306,99,5.12597,5.13194
42,14.1622,99,5.10969,5.13194
43,54.8523,1,5.12377,5.13194
44,91.3295,99,5.13431,5.13431
45,71.4941,99,5.11244,5.13431
46,95.7459,99,5.119,5.13431
47,82.8408,99,5.12591,5.13431
48,20.6249,1,5.1158,5.13431
49,88.5874,99,5.11886,5.13431
50,29.0731,1,5.13348,5.13431
51,43.6249,1,5.12564,5.13431
52,38.3975,1,5.11031,5.13431
53,50.3326,1,5.11877,5.13431
54,33.1301,28,5.13079,5.13431
55,50.3502,1,5.11088,5.13431
56,27.3738,1,5.13183,5.13431
57,28.2084,99,5.11719,5.13431
58,81.1562,1,5.13199,5.13431
59,78.6734,99,5.1106,5.13431
