env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.322296,26,56.0285,0.0717915,1,23.7228,4.82758,4.82758
1,0.110373,18,36.1877,0.388032,0,60.6327,4.86825,4.86825
2,0.388238,4,80.1241,0.218264,0,44.821,4.89103,4.89103
3,0.0583061,33,14.9087,0.423387,0,70.4003,4.86349,4.89103
4,0.284092,87,90.585,0.472985,1,53.4255,4.80407,4.89103
5,0.212596,65,45.3375,0.00174848,0,2.94416,4.86358,4.89103
6,0.413287,92,6.257,0.289235,1,16.7131,4.80966,4.89103
7,0.186377,78,72.6104,0.323845,0,30.0148,4.82818,4.89103
8,0.0310689,53,64.1385,0.141081,1,96.4675,4.8214,4.89103
9,0.460944,46,26.7268,0.188127,1,81.3819,4.83189,4.89103
10,0.5,1,100,0.0001,0,0.01,4.89156,4.89156
11,0.5,1,99.9977,0.0001,0,0.0184682,4.8976,4.8976
12,0.5,1,100,0.0001,0,0.01,4.90215,4.90215
13,0.5,1,0.01,0.0001,0,0.01,4.22279,4.90215
14,0.000143132,1,99.998,0.499998,1,99.9987,4.87902,4.90215
15,0.000145103,23,99.9991,0.499991,0,0.0201289,4.87236,4.90215
16,0.499998,26,99.9993,0.499988,0,99.9957,4.87213,4.90215
17,0.000145981,51,99.9994,0.499997,0,99.998,4.82059,4.90215
18,0.0001,1,100,0.0001,1,100,4.85481,4.90215
19,0.000142592,1,99.9989,0.000142246,1,99.9978,4.86349,4.90215
20,0.499994,12,84.447,0.499992,0,0.0194963,4.89029,4.90215
21,0.0001,1,84.0609,0.499977,0,0.0257275,4.88488,4.90215
22,0.5,1,93.5969,0.5,1,0.0169986,4.88809,4.90215
23,0.5,1,87.4437,0.499997,0,99.9922,4.88772,4.90215
24,0.499837,20,88.1575,0.00292289,0,0.366332,4.88648,4.90215
25,0.5,1,100,0.5,0,0.0133113,4.89886,4.90215
26,0.499994,14,87.5784,0.499998,1,0.0194568,4.90019,4.90215
27,0.499994,10,100,0.499992,0,0.0170364,4.8837,4.90215
28,0.0001,16,80.7998,0.499989,0,0.0187714,4.87394,4.90215
29,0.499993,1,88.7418,0.499993,1,0.019764,4.88612,4.90215
30,0.499995,10,93.5138,0.499992,0,0.0192368,4.88543,4.90215
31,0.499982,13,90.1508,0.0001,1,48.8948,4.83432,4.90215
32,0.198235,82,35.3504,0.142004,0,49.1735,4.84589,4.90215
33,0.499995,13,85.9521,0.499996,1,99.9971,4.85861,4.90215
34,0.499995,9,90.1588,0.000145499,0,0.0184095,4.8816,4.90215
35,0.0001,2,99.9046,0.5,0,0.01,4.87756,4.90215
36,0.5,13,99.9967,0.0001,1,0.0194556,4.87753,4.90215
37,0.000147668,10,89.3984,0.000149813,0,0.0200334,4.88913,4.90215
38,0.499969,10,91.6697,0.0167397,0,99.9945,4.88514,4.90215
39,0.499993,1,88.9926,0.499989,0,0.0194559,4.88974,4.90215
40,0.499991,10,100,0.499991,0,0.0203736,4.88438,4.90215
41,0.499663,1,88.3162,0.00057008,0,0.01,4.86634,4.90215
42,0.0001,10,89.8848,0.499982,1,0.0175698,4.87469,4.90215
43,0.037232,12,88.4187,0.499988,0,99.9974,4.87658,4.90215
44,0.499995,11,93.018,0.499988,0,0.0195289,4.89113,4.90215
45,0.499994,15,99.9988,0.000154804,0,0.0197404,4.89516,4.90215
46,0.499994,22,81.5603,0.499992,0,0.0193569,4.90054,4.90215
47,0.499994,13,89.7104,0.499994,0,0.0192765,4.88949,4.90215
48,0.0130148,14,93.5722,0.000148083,0,0.0196281,4.86668,4.90215
49,0.499984,11,88.7105,0.0292255,1,0.0190868,4.87685,4.90215
50,0.5,7,99.9978,0.499996,0,100,4.88085,4.90215
51,0.499995,9,81.274,0.499992,0,0.0194563,4.89375,4.90215
52,0.499996,6,92.1452,0.499995,0,0.0189078,4.8787,4.90215
53,0.499994,26,78.7274,0.499992,0,0.0200782,4.89317,4.90215
54,0.340982,8,41.7347,0.445321,0,73.4481,4.89721,4.90215
55,0.479189,12,66.8714,0.499998,0,99.9972,4.88475,4.90215
56,0.39743,6,68.4942,0.499992,0,99.9983,4.88419,4.90215
57,0.499995,21,68.1269,0.499996,0,99.9974,4.8759,4.90215
58,0.499994,1,72.2927,0.499989,0,0.01,4.86738,4.90215
59,0.000142308,14,66.0649,0.499989,0,0.0200914,4.87764,4.90215
60,0.499995,12,83.2433,0.499997,0,99.9976,4.90037,4.90215
61,0.499993,12,79.8579,0.0001,0,99.997,4.89499,4.90215
62,0.499995,1,81.6554,0.000150602,0,99.9981,4.89646,4.90215
63,0.499995,15,82.9358,0.000141056,0,99.9976,4.88318,4.90215
64,0.499995,1,85.7004,0.499993,0,99.9982,4.89274,4.90215
65,0.499996,10,86.519,0.499996,0,99.9952,4.89796,4.90215
66,0.499978,1,81.1212,0.499974,0,99.9993,4.89152,4.90215
67,0.499991,14,84.6718,0.5,0,99.9977,4.8953,4.90215
68,0.499996,3,91.0304,0.499987,0,100,4.87945,4.90215
69,0.499991,10,78.2199,0.000145944,0,0.0193868,4.89008,4.90215
70,0.499994,15,80.0868,0.499993,0,0.0194467,4.8803,4.90215
71,0.000145117,2,73.1575,0.0391674,0,99.9975,4.90204,4.90215
72,0.000144396,7,76.4017,0.131688,0,99.9954,4.88818,4.90215
73,0.000144117,1,65.0425,0.0361088,0,99.9977,4.88843,4.90215
74,0.0001,1,74.9347,0.5,0,99.9983,4.89321,4.90215
75,0.00693134,10,78.4981,0.158657,0,99.9956,4.87788,4.90215
76,0.243736,73,77.3669,0.171754,0,17.2504,4.84314,4.90215
77,0.0217575,10,78.1764,0.0673603,0,99.9971,4.8999,4.90215
78,0.5,1,75.0293,0.000124516,0,99.9949,4.89643,4.90215
79,0.120376,1,81.7405,0.000150996,0,99.9975,4.89195,4.90215
80,0.0001,8,75.5458,0.5,0,100,4.89224,4.90215
81,0.10919,1,78.49,0.0001,0,15.8298,4.87363,4.90215
82,0.117898,13,73.4404,0.000136394,0,99.9974,4.88459,4.90215
83,0.5,7,77.21,0.268953,0,99.9967,4.88081,4.90215
84,0.0930518,3,69.2092,0.5,1,99.9977,4.87141,4.90215
85,0.168308,8,85.1253,0.21805,0,99.9968,4.89819,4.90215
86,0.5,5,87.7412,0.0001,0,99.994,4.88216,4.90215
87,0.00015454,9,80.659,0.499998,0,99.9974,4.88651,4.90215
88,0.499993,5,77.3182,0.0377992,1,99.9976,4.85519,4.90215
89,0.000142242,1,83.4832,0.5,0,87.8199,4.90527,4.90527
90,0.000143796,1,83.5518,0.499995,0,99.9978,4.88763,4.90527
91,0.000148393,10,57.1723,0.499992,0,99.9979,4.8926,4.90527
92,0.000150709,16,55.8174,0.499978,0,99.999,4.89307,4.90527
93,0.000143735,1,61.2535,0.499983,0,99.9976,4.86112,4.90527
94,0.000143617,17,74.5459,0.499997,0,99.9976,4.8656,4.90527
95,0.00016138,1,86.5449,0.168546,0,0.01,4.87813,4.90527
