env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-depth-7,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.261774,66,29.5845,0.230625,1,62.5688,6.09774,62.4123,4.81185,4.81185
1,0.34071,73,47.5975,0.0873852,0,91.383,72.3285,2.5159,4.85551,4.85551
2,0.023029,32,8.19618,0.398038,0,14.3238,45.4889,89.2893,4.85745,4.85745
3,0.227393,49,62.0245,0.283515,1,25.0692,90.7463,41.2446,4.80137,4.85745
4,0.107895,53,30.6771,0.0493327,1,52.9676,57.5844,54.0548,4.80977,4.85745
5,0.414145,17,79.9328,0.330638,0,31.6251,16.7481,17.6524,4.87786,4.87786
6,0.383973,9,11.1579,0.162509,1,75.7466,28.0008,76.5944,4.82152,4.87786
7,0.487917,89,84.9151,0.472291,1,48.761,32.2283,98.4033,4.82577,4.87786
8,0.180408,97,54.7722,0.423413,0,0.637083,83.3346,21.2018,4.81355,4.87786
9,0.0846485,25,93.9696,0.126397,0,82.0511,66.5436,38.2144,4.87003,4.87786
10,0.499997,1,99.9984,0.000135729,0,99.9948,80.1615,0.0215338,4.89158,4.89158
11,0.499968,1,100,0.00013349,0,100,100,99.9991,4.87716,4.89158
12,0.000137554,1,99.9993,0.000160574,0,99.999,99.999,0.0200555,4.85771,4.89158
13,0.5,1,100,0.0001,0,100,0.001,100,4.88447,4.89158
14,0.499993,1,99.9976,0.000146528,0,99.997,0.00896071,99.9982,4.89621,4.89621
15,0.499995,1,99.9975,0.000150159,0,99.9969,0.00978025,99.998,4.89168,4.89621
16,0.499986,1,0.0192391,0.000151675,0,99.9984,0.00840082,99.998,4.3959,4.89621
17,0.499989,1,100,0.499992,0,0.0188012,100,0.017762,4.88631,4.89621
18,0.499991,1,99.9982,0.499992,0,99.9994,99.9974,0.0198663,4.89947,4.89947
19,0.00016886,1,99.9991,0.49998,0,0.0148296,99.9989,0.0169525,4.88254,4.89947
20,0.000147043,99,18.2884,0.499987,0,0.0201028,99.9976,0.0200585,4.81771,4.89947
21,0.104662,1,42.4226,0.499996,1,0.0200935,0.0136305,99.9987,4.89575,4.89947
22,0.295724,7,40.0648,0.481431,1,5.95197,63.6713,62.5567,4.89076,4.89947
