env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-5,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,37.5888,10,3.54536,3.54536
1,72.0523,60,3.56106,3.56106
2,51.041,24,3.53431,3.56106
3,60.1986,88,3.52253,3.56106
4,81.6126,16,3.52151,3.56106
5,24.7949,74,3.51384,3.56106
6,99.9792,43,3.52391,3.56106
7,4.71651,93,3.52067,3.56106
8,14.5846,30,3.50902,3.56106
9,45.8887,56,3.53014,3.56106
10,70.7874,99,3.52793,3.56106
11,74.4615,1,3.53969,3.56106
12,34.5482,99,3.55739,3.56106
13,34.5667,99,3.54033,3.56106
14,39.2903,99,3.54154,3.56106
15,90.9413,99,3.52957,3.56106
16,33.1085,1,3.51323,3.56106
17,67.7079,1,3.51053,3.56106
18,41.0957,99,3.52574,3.56106
19,75.9706,99,3.53813,3.56106
20,73.2726,66,3.52426,3.56106
21,36.6445,70,3.50349,3.56106
22,71.809,13,3.52391,3.56106
23,53.5136,99,3.51924,3.56106
24,40.1732,1,3.51565,3.56106
25,93.5786,1,3.56642,3.56642
26,94.2714,1,3.5331,3.56642
27,91.9246,1,3.53173,3.56642
28,94.1812,57,3.54702,3.56642
29,95.7454,99,3.55027,3.56642
30,100,1,3.53434,3.56642
31,0.01,1,3.41462,3.56642
32,84.451,78,3.54925,3.56642
33,0.01,1,3.41864,3.56642
34,100,99,3.53834,3.56642
35,100,99,3.5122,3.56642
36,100,99,3.53007,3.56642
37,100,99,3.53236,3.56642
38,100,1,3.54093,3.56642
39,100,99,3.53785,3.56642
40,100,1,3.534,3.56642
41,100,1,3.55266,3.56642
42,100,1,3.54931,3.56642
43,100,1,3.51658,3.56642
44,77.993,99,3.53893,3.56642
45,85.1192,49,3.53932,3.56642
46,61.6248,99,3.52475,3.56642
47,59.0392,1,3.53906,3.56642
48,81.465,1,3.51092,3.56642
49,81.3577,99,3.53339,3.56642
50,99.959,49,3.51392,3.56642
51,83.335,54,3.53382,3.56642
52,17.898,99,3.55407,3.56642
53,0.01,99,3.43873,3.56642
54,32.1894,90,3.52269,3.56642
55,55.1107,1,3.56621,3.56642
56,0.01,99,3.43462,3.56642
57,54.6568,1,3.53496,3.56642
58,54.718,1,3.50788,3.56642
59,59.5026,53,3.53294,3.56642
60,51.2286,99,3.53748,3.56642
61,83.7465,54,3.52842,3.56642
