env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-7,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,62.6368,87,4.14726,4.14726
1,21.6706,20,4.04672,4.14726
2,57.538,46,4.11761,4.14726
3,97.1761,33,4.08491,4.14726
4,16.5318,58,4.11506,4.14726
5,84.3758,11,4.02804,4.14726
6,6.89714,66,4.10234,4.14726
7,35.3,80,4.11573,4.14726
8,72.3745,8,4.01224,4.14726
9,46.4262,98,4.12475,4.14726
10,100,99,4.14277,4.14726
11,100,99,4.13873,4.14726
12,0.01,99,3.67263,4.14726
13,100,66,4.102,4.14726
14,100,66,4.12805,4.14726
15,100,57,4.09879,4.14726
16,100,74,4.10567,4.14726
17,0.0194793,49,3.65685,4.14726
18,100,79,4.14331,4.14726
19,100,79,4.11766,4.14726
20,60.7284,5,4.00289,4.14726
21,49.6674,87,4.12738,4.14726
22,52.9822,20,4.03151,4.14726
23,43.6355,29,4.07891,4.14726
24,12.3333,87,4.13552,4.14726
25,10.3096,83,4.12382,4.14726
26,13.8711,87,4.13933,4.14726
27,13.4225,87,4.12629,4.14726
28,11.5809,91,4.12885,4.14726
29,14.6746,89,4.14607,4.14726
30,12.8648,1,3.95515,4.14726
31,30.9688,99,4.12536,4.14726
32,2.07026,47,4.04554,4.14726
33,30.7932,99,4.13759,4.14726
34,32.0765,1,3.96421,4.14726
35,39.3121,99,4.15946,4.15946
36,39.3405,99,4.12585,4.15946
37,39.1722,1,3.96609,4.15946
38,92.5336,99,4.12851,4.15946
39,90.8819,1,3.94646,4.15946
40,65.9767,99,4.13817,4.15946
41,14.4156,99,4.12505,4.15946
42,13.6559,99,4.15968,4.15968
43,62.4309,97,4.14633,4.15968
44,13.6942,99,4.1499,4.15968
45,62.8013,95,4.1646,4.1646
46,62.9018,99,4.12651,4.1646
47,62.6679,98,4.14902,4.1646
48,62.561,99,4.13153,4.1646
49,62.7587,80,4.12258,4.1646
50,92.8081,92,4.14532,4.1646
51,93.9499,99,4.13463,4.1646
52,93.8779,28,4.07599,4.1646
53,48.0838,7,4.0094,4.1646
54,73.4661,79,4.11667,4.1646
55,48.0824,7,4.00613,4.1646
56,29.3747,99,4.15497,4.1646
57,28.584,99,4.13132,4.1646
58,29.2815,31,4.07865,4.1646
59,27.3182,99,4.12685,4.1646
60,27.0905,11,4.03199,4.1646
61,15.379,12,4.06109,4.1646
62,20.0082,99,4.12631,4.1646
63,19.5816,99,4.13613,4.1646
64,56.3733,99,4.11671,4.1646
65,18.7996,99,4.12749,4.1646
66,68.7386,99,4.1446,4.1646
67,34.8812,99,4.12031,4.1646
68,68.4234,99,4.1167,4.1646
69,83.4709,99,4.14058,4.1646
70,78.572,99,4.12406,4.1646
71,87.5568,99,4.12884,4.1646
72,21.7744,99,4.17134,4.17134
73,22.3097,99,4.1292,4.17134
74,54.8417,99,4.13332,4.17134
75,18.7669,99,4.13461,4.17134
76,13.9277,48,4.08299,4.17134
77,18.7933,99,4.14766,4.17134
78,43.8736,99,4.12844,4.17134
79,23.522,99,4.15526,4.17134
80,18.5612,99,4.13572,4.17134
81,74.5303,99,4.13076,4.17134
82,86.6136,99,4.12745,4.17134
83,21.1224,81,4.12261,4.17134
84,55.0744,99,4.13159,4.17134
85,94.7033,99,4.13629,4.17134
86,24.8395,99,4.13116,4.17134
87,49.776,99,4.13597,4.17134
88,80.6707,99,4.14169,4.17134
89,71.6207,99,4.15607,4.17134
90,71.4111,99,4.14508,4.17134
91,77.3759,99,4.14944,4.17134
92,82.3258,99,4.12673,4.17134
93,69.5563,99,4.13598,4.17134
94,41.9001,99,4.13897,4.17134
95,18.1284,99,4.13074,4.17134
96,34.4599,99,4.14398,4.17134
97,90.4595,99,4.14304,4.17134
98,95.9053,60,4.13449,4.17134
99,90.8248,99,4.13619,4.17134
100,96.1276,99,4.11937,4.17134
101,58.3026,99,4.14279,4.17134
102,75.2424,99,4.14336,4.17134
103,45.4261,99,4.1438,4.17134
