env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-7,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.384535,13,13.2432,0.101311,0,73.5319,3.8324,3.8324
1,0.311884,71,36.1246,0.310206,0,53.236,3.83193,3.8324
2,0.212584,21,92.6857,0.0267995,0,61.6859,3.87802,3.87802
3,0.455349,9,24.1086,0.369301,1,13.1131,3.84672,3.87802
4,0.415344,66,86.9555,0.46302,1,89.2809,3.82543,3.87802
5,0.157117,33,42.0772,0.196818,1,40.4169,3.84584,3.87802
6,0.273688,49,76.1473,0.241447,1,91.0866,3.83183,3.87802
7,0.121539,97,52.008,0.412333,0,27.5419,3.80635,3.87802
8,0.0684443,51,68.6848,0.0968386,1,37.7621,3.82676,3.87802
9,0.0448249,83,7.52416,0.29471,0,6.1056,3.812,3.87802
10,0.0001,1,100,0.0001,0,100,3.77527,3.87802
11,0.499991,35,0.0192704,0.000150875,0,0.0196811,3.51533,3.87802
12,0.0001,99,100,0.0001,1,100,3.81329,3.87802
13,0.0001,1,100,0.5,1,100,3.80386,3.87802
14,0.5,99,100,0.5,1,100,3.85962,3.87802
15,0.000142087,70,99.9998,0.499991,1,99.998,3.8395,3.87802
16,0.5,99,100,0.0001,1,0.01,3.85086,3.87802
17,0.499997,81,100,0.000147752,1,99.9965,3.83739,3.87802
18,0.0001,99,100,0.5,0,100,3.83272,3.87802
19,0.5,99,100,0.5,1,0.01,3.85629,3.87802
20,0.5,17,92.8882,0.0265729,0,53.0816,3.85954,3.87802
21,0.0001,99,91.0404,0.0392336,1,2.4321,3.81277,3.87802
22,0.000144173,99,29.2147,0.499989,1,0.0195437,3.79562,3.87802
23,0.000144238,99,18.325,0.499989,1,0.0198664,3.76301,3.87802
24,0.00014704,1,81.8538,0.000149515,0,0.0199056,3.78732,3.87802
25,0.5,1,92.3137,0.5,0,100,3.83713,3.87802
26,0.499994,1,61.3359,0.000149372,1,99.9975,3.81474,3.87802
27,0.499986,1,45.5247,0.000143754,1,99.9954,3.80881,3.87802
28,0.49999,1,39.2715,0.000150004,0,0.019973,3.8541,3.87802
29,0.5,99,91.8322,0.0001,0,100,3.80906,3.87802
30,0.116294,23,92.4883,0.0268421,0,62.6933,3.85396,3.87802
31,0.207297,18,99.9988,0.5,1,22.2133,3.82454,3.87802
32,0.115544,46,33.7286,0.0725544,1,78.7332,3.80342,3.87802
33,0.207165,18,99.9987,0.5,1,26.1518,3.85176,3.87802
34,0.188595,18,0.0185908,0.000140527,0,99.9974,3.50768,3.87802
35,0.420903,91,99.9994,0.5,1,81.1257,3.85643,3.87802
36,0.325735,84,99.999,0.499989,1,99.998,3.87518,3.87802
37,0.35206,86,99.9978,0.00016022,0,0.645016,3.86773,3.87802
38,0.382331,84,0.0182375,0.499998,1,0.0180909,3.8525,3.87802
39,0.311692,90,99.9988,0.000151479,0,99.9982,3.83354,3.87802
40,0.283103,81,99.9989,0.499994,1,0.0192353,3.81299,3.87802
41,0.220808,19,100,0.0737271,0,60.3405,3.88807,3.88807
42,0.5,18,99.9816,0.0830265,0,60.5807,3.85591,3.88807
43,0.116176,14,99.895,0.116127,0,61.1639,3.87063,3.88807
44,0.077671,18,99.9708,0.0717834,0,60.3934,3.87196,3.88807
45,0.0001,1,99.9789,0.0992389,1,100,3.83238,3.88807
46,0.184653,19,99.9701,0.0505774,0,11.5028,3.78793,3.88807
47,0.238543,19,99.9036,0.165662,0,61.6671,3.7946,3.88807
48,0.499989,1,51.1602,0.246759,0,0.0195614,3.90345,3.90345
49,0.157198,1,51.2889,0.250087,0,99.9973,3.91601,3.91601
50,0.0124324,99,51.6682,0.250507,0,88.6927,3.84042,3.91601
51,0.499993,1,55.1453,0.26959,1,0.0200298,3.86197,3.91601
52,0.499993,1,56.5998,0.212703,1,99.999,3.84717,3.91601
53,0.35382,1,40.2807,0.249898,0,0.0198371,3.8901,3.91601
54,0.397689,52,81.6004,0.323776,0,82.6796,3.83397,3.91601
55,0.116673,1,39.1666,0.246124,0,99.9786,3.84777,3.91601
56,0.000144253,1,57.5969,0.298336,0,69.2961,3.80163,3.91601
57,0.499993,1,22.0647,0.196433,0,99.998,3.88415,3.91601
58,0.499989,1,28.0117,0.23362,1,46.0312,3.87394,3.91601
59,0.499994,1,10.0166,0.199288,0,99.9973,3.86314,3.91601
60,0.124041,1,22.3053,0.168888,0,99.8941,3.85522,3.91601
61,0.499991,1,18.4258,0.24117,1,99.9983,3.81798,3.91601
62,0.499991,99,36.8443,0.210803,0,0.0186526,3.81481,3.91601
63,0.499994,99,84.0988,0.100282,0,99.9984,3.82358,3.91601
64,0.499993,1,43.5204,0.251169,1,0.0201374,3.8421,3.91601
65,0.499991,1,60.7761,0.179152,0,0.0192378,3.89477,3.91601
66,0.49999,1,49.7808,0.149948,0,0.0195502,3.87179,3.91601
67,0.499999,1,61.6263,0.213288,0,0.0196946,3.86092,3.91601
68,0.49999,1,35.3441,0.15057,0,0.0202595,3.84506,3.91601
69,0.124544,1,53.4968,0.151976,0,99.8201,3.89644,3.91601
70,0.488985,1,61.3146,0.158015,0,99.9519,3.83592,3.91601
71,0.49999,1,52.4162,0.104226,0,0.0208453,3.83901,3.91601
72,0.000151094,11,21.3637,0.438406,1,43.0662,3.84784,3.91601
73,0.00014532,81,0.0187309,0.499991,0,81.7832,3.82973,3.91601
74,0.499991,99,99.9935,0.000201246,1,64.5002,3.86607,3.91601
75,0.499993,88,99.999,0.000144127,1,60.4466,3.84146,3.91601
76,0.322489,32,30.5148,0.38494,1,54.928,3.83531,3.91601
77,0.499993,88,99.999,0.00014419,1,60.4667,3.84069,3.91601
78,0.000145345,21,0.0187192,0.000150145,1,45.8614,3.47635,3.91601
79,0.000142414,99,0.0225191,0.499983,0,67.7979,3.86071,3.91601
80,0.000145318,95,0.0195303,0.499987,0,53.2962,3.82303,3.91601
81,0.499997,45,0.0203749,0.499987,0,54.2734,3.8228,3.91601
82,0.370722,68,0.0179557,0.318346,1,27.4513,3.84793,3.91601
83,0.0364021,99,99.9987,0.37921,1,0.0203124,3.82269,3.91601
84,0.169245,1,45.3742,0.144472,0,99.9805,3.87029,3.91601
85,0.499996,1,65.9726,0.499984,0,0.0200721,3.86996,3.91601
86,0.0001,1,42.2292,0.194287,0,99.9031,3.82166,3.91601
87,0.49999,1,73.4952,0.419572,0,0.0200798,3.87223,3.91601
88,0.000146499,1,71.2971,0.49999,1,0.0207988,3.83627,3.91601
89,0.499996,1,74.4812,0.384568,1,0.0208156,3.88837,3.91601
90,0.499993,1,83.6984,0.406335,1,0.0208114,3.89859,3.91601
91,0.000148676,1,80.7648,0.398374,0,0.0195312,3.84262,3.91601
92,0.499993,99,74.6526,0.412377,1,99.9979,3.81498,3.91601
93,0.499994,1,99.998,0.316042,0,0.0210827,3.85328,3.91601
94,0.499989,1,96.571,0.409087,1,0.0198489,3.83783,3.91601
95,0.499981,1,73.1325,0.332975,1,0.0201517,3.84329,3.91601
