env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
fruit-tree-stoch-depth-7,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.236723,43,48.9633,0.282898,0,25.2637,85.1245,48.6671,3.81837,3.81837
1,0.467579,55,99.3988,0.145396,1,34.9207,63.4943,78.1514,3.82016,3.82016
2,0.339151,72,54.1966,0.0186727,0,89.9887,33.7167,63.7301,3.81398,3.82016
3,0.407698,84,79.7177,0.249596,1,14.3525,56.7473,58.0869,3.85479,3.85479
4,0.0983202,34,22.2359,0.314766,1,7.36658,44.953,5.76388,3.82245,3.85479
5,0.163618,62,30.1609,0.429602,0,65.8237,74.2513,12.3659,3.83606,3.85479
6,0.28057,9,1.36793,0.0636379,0,49.5614,16.3091,33.1819,3.83908,3.85479
7,0.11226,29,68.5925,0.492833,0,95.7308,94.7563,91.5641,3.7966,3.85479
8,0.0267592,98,16.9144,0.398974,1,52.9156,24.0218,27.7182,3.79705,3.85479
9,0.372098,18,86.283,0.171197,1,78.6134,0.638308,86.8525,3.84137,3.85479
10,0.462896,99,65.8088,0.311204,1,0.0275916,67.0749,37.1729,3.83514,3.85479
11,0.000151479,99,0.0195239,0.000147507,1,0.0200645,89.9758,0.0202798,3.46218,3.85479
12,0.499991,36,99.9987,0.499996,1,0.0181272,16.8711,99.9975,3.85353,3.85479
13,0.000154548,39,0.0210278,0.0427252,0,0.0184156,10.6032,0.0195717,3.71617,3.85479
14,0.499989,74,99.9982,0.499989,0,99.9975,52.7241,0.0200924,3.81509,3.85479
15,0.499965,6,99.9975,0.499987,1,99.9961,27.5488,99.9972,3.85521,3.85521
16,0.499988,1,99.9983,0.499999,0,100,15.6552,99.9962,3.83604,3.85521
17,0.499991,8,99.9984,0.499986,0,44.2207,37.3417,99.9982,3.84321,3.85521
18,0.499999,19,99.9991,0.000125285,1,99.9951,29.2697,99.9937,3.86153,3.86153
19,0.49997,1,99.9952,0.00013529,1,99.9938,30.0584,99.9993,3.85793,3.86153
20,0.375129,1,0.0194658,0.379179,1,58.7782,0.0108077,88.3636,3.84847,3.86153
21,0.499998,1,0.0196411,0.233788,1,99.9959,0.00889433,100,3.82381,3.86153
