env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
breakable-bottles-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,60.2314,20,-3.69526,-3.69526
1,7.47784,52,1.93425,1.93425
2,14.5744,97,5.27146,5.27146
3,73.9803,74,2.58488,5.27146
4,99.2236,8,-5.71088,5.27146
5,41.7855,81,4.84412,5.27146
6,82.3987,23,-4.37015,5.27146
7,50.8925,61,2.68973,5.27146
8,39.7938,38,2.25693,5.27146
9,23.9949,46,2.41694,5.27146
10,0.01,99,3.46777,5.27146
11,73.1929,99,3.23468,5.27146
12,0.01,84,3.29594,5.27146
13,0.01,99,2.06353,5.27146
14,100,99,3.01141,5.27146
15,0.0193892,76,2.05072,5.27146
16,51.4336,99,4.83236,5.27146
17,51.2014,99,4.56216,5.27146
18,50.9342,99,4.19936,5.27146
19,100,99,3.82416,5.27146
20,99.9981,87,3.43487,5.27146
21,99.9982,87,3.17139,5.27146
22,0.01,89,3.37208,5.27146
23,99.9983,87,3.08043,5.27146
24,0.01,99,3.50438,5.27146
25,99.998,69,2.06392,5.27146
26,0.01,99,3.55327,5.27146
27,0.01,88,1.43754,5.27146
28,100,99,3.02733,5.27146
29,100,99,3.82379,5.27146
30,99.9982,91,4.0744,5.27146
31,0.0201945,65,3.16623,5.27146
32,99.9979,59,1.2983,5.27146
33,99.9984,91,2.18979,5.27146
34,0.01,99,2.48751,5.27146
35,0.01,75,1.74758,5.27146
36,0.01,99,1.9322,5.27146
37,99.9976,82,2.89818,5.27146
38,100,99,3.59702,5.27146
39,100,99,3.08507,5.27146
40,50.6884,90,4.71391,5.27146
41,50.6953,90,4.08124,5.27146
42,50.9552,99,4.92723,5.27146
43,50.7123,90,3.70343,5.27146
44,51.0095,99,4.74925,5.27146
45,51.0159,99,3.6124,5.27146
46,50.5333,88,4.84121,5.27146
47,50.5413,88,3.2523,5.27146
48,51.1011,99,4.01783,5.27146
49,51.1132,99,5.09661,5.27146
50,45.9393,99,3.98728,5.27146
51,48.0644,85,4.01056,5.27146
52,46.0969,99,4.91726,5.27146
53,46.1503,99,5.5633,5.5633
54,41.0831,99,5.52058,5.5633
55,40.8281,99,4.73777,5.5633
56,40.9065,99,5.04289,5.5633
57,60.3886,99,4.42812,5.5633
58,39.0512,99,3.99096,5.5633
59,45.8309,85,4.01476,5.5633
60,64.6177,99,4.282,5.5633
61,34.6937,99,5.068,5.5633
