env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
breakable-bottles-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,60.2314,20,6.26182,6.26182
1,7.47784,52,4.86918,6.26182
2,14.5744,97,5.97427,6.26182
3,73.9803,74,5.83856,6.26182
4,99.2236,8,5.19983,6.26182
5,41.7855,81,5.16249,6.26182
6,82.3987,23,6.463,6.463
7,50.8925,61,6.95837,6.95837
8,39.7938,38,6.82428,6.95837
9,23.9949,46,5.7898,6.95837
10,63.2767,62,5.08428,6.95837
11,47.4265,35,5.98007,6.95837
12,17.7089,38,5.55941,6.95837
13,61.2891,41,7.1124,7.1124
14,69.8515,41,6.14218,7.1124
15,49.2219,41,6.24649,7.1124
16,23.0293,62,5.36709,7.1124
17,90.9521,29,5.74075,7.1124
18,75.9648,46,6.11676,7.1124
19,100,20,6.65059,7.1124
20,34.8437,1,5.86993,7.1124
21,100,99,4.32998,7.1124
22,0.01,1,5.09261,7.1124
23,64.842,1,5.66019,7.1124
24,99.9981,48,5.655,7.1124
25,56.5335,24,6.38021,7.1124
26,76.4803,1,6.2644,7.1124
27,58.7985,25,5.94257,7.1124
28,0.01,99,2.97589,7.1124
29,46.504,1,6.12878,7.1124
30,100,1,6.10771,7.1124
31,62.9593,1,6.8496,7.1124
32,56.0514,1,6.58129,7.1124
33,72.4331,1,4.31095,7.1124
34,32.3297,1,5.33655,7.1124
35,58.7335,99,6.4479,7.1124
36,58.7139,99,5.77958,7.1124
37,55.9621,47,7.55702,7.55702
38,100,99,4.7925,7.55702
39,46.3539,99,5.01586,7.55702
40,48.7706,50,5.00543,7.55702
41,100,47,5.54224,7.55702
42,0.01,1,4.34483,7.55702
43,38.895,6,6.02146,7.55702
44,71.5511,99,6.43781,7.55702
45,72.225,50,5.15485,7.55702
46,71.9229,99,4.52656,7.55702
47,100,1,3.76526,7.55702
48,47.5361,1,7.4325,7.55702
49,47.3372,1,6.49555,7.55702
50,43.4106,1,6.50575,7.55702
51,40.0159,99,4.71212,7.55702
52,55.6853,1,6.66115,7.55702
53,55.5924,1,5.78056,7.55702
54,43.0336,1,6.65399,7.55702
55,42.8634,1,6.27381,7.55702
56,43.1586,1,6.28486,7.55702
57,50.005,98,6.49041,7.55702
58,42.8956,1,6.95799,7.55702
59,42.9124,1,6.46113,7.55702
60,38.9359,99,4.79213,7.55702
61,56.1308,1,6.0394,7.55702
