env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
breakable-bottles-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.301177,20,98.3062,0.16012,0,70.9224,-1.63035,-1.63035
1,0.0374355,52,34.5778,0.101286,1,45.1289,4.63885,4.63885
2,0.0729148,97,48.9091,0.337344,0,82.1706,-2.54369,4.63885
3,0.369914,74,78.3653,0.290637,1,37.143,4.07361,4.63885
4,0.496118,8,58.7542,0.43637,1,20.3102,3.79785,4.63885
5,0.208957,81,88.9971,0.224261,1,53.3872,3.16117,4.63885
6,0.412002,23,28.2908,0.477028,0,69.6492,-2.06541,4.63885
7,0.254487,61,14.7579,0.392883,0,3.78675,-2.03015,4.63885
8,0.198999,38,62.3904,0.0611529,0,15.8777,-2.55394,4.63885
9,0.120012,46,8.06897,0.0116171,1,95.5655,4.91102,4.91102
10,0.499993,1,0.0185219,0.000142922,1,99.9981,-3.14213,4.91102
11,0.0001,99,100,0.5,1,0.01,-2.07095,4.91102
12,0.000143871,99,100,0.499993,1,0.0192554,-1.70307,4.91102
13,0.0001,1,0.01,0.00893335,1,100,3.40566,4.91102
14,0.0001,99,0.01,0.0001,1,100,-3.17149,4.91102
15,0.0001,1,4.98515,0.0001,1,95.5747,0.94768,4.91102
16,0.499994,1,99.9976,0.499989,1,0.0193911,2.92341,4.91102
17,0.499993,1,99.9977,0.000149727,1,0.0199504,3.16364,4.91102
18,0.5,1,0.01,0.5,1,0.01,4.77217,4.91102
19,0.5,1,0.01,0.5,1,0.01,3.7502,4.91102
20,0.0504177,50,18.5491,0.0307177,1,78.442,4.62116,4.91102
21,0.081364,53,81.4622,0.103597,1,78.5521,5.58159,5.58159
22,0.0545201,51,99.9982,0.413016,0,81.2467,-3.0623,5.58159
23,0.173382,58,0.0185416,0.000141259,1,77.9699,-2.75882,5.58159
24,0.411308,89,99.9997,0.21615,1,47.6574,1.66613,5.58159
25,0.0587866,27,81.3613,0.103009,1,79.2781,4.98521,5.58159
26,0.0600212,26,81.3608,0.103196,1,81.3793,4.92554,5.58159
27,0.0224011,33,0.0185185,0.000149462,1,87.4238,0.915259,5.58159
28,0.0822607,20,99.9993,0.424469,0,99.9972,-0.0828133,5.58159
29,0.000141478,35,65.2597,0.000141342,1,51.2364,5.92341,5.92341
30,0.0533466,28,68.4832,0.211027,1,2.45411,2.24377,5.92341
31,0.318875,40,91.9491,0.000153125,1,99.9977,6.89066,6.89066
32,0.5,38,100,0.000159479,1,99.8991,6.66193,6.89066
33,0.499994,38,99.9998,0.00012388,1,99.9997,5.99492,6.89066
34,0.499998,41,88.4663,0.000148523,1,99.9991,7.15069,7.15069
35,0.499993,42,87.4178,0.000147928,1,99.9975,7.5415,7.5415
36,0.499994,43,100,0.000150744,1,99.9977,7.40511,7.5415
37,0.499994,42,84.4478,0.000148497,1,99.9977,7.20447,7.5415
38,0.499993,43,100,0.000148606,1,99.9981,7.22111,7.5415
39,0.499994,42,82.5239,0.000151999,1,99.9974,7.46601,7.5415
40,0.176797,41,89.3617,0.0561235,1,99.9973,4.16218,7.5415
41,0.49999,43,97.1867,0.000153104,1,61.0571,5.571,7.5415
42,0.499993,41,85.7583,0.248631,1,99.9979,3.01528,7.5415
43,0.5,42,84.7289,0.000147406,1,56.4282,6.72191,7.5415
44,0.000149068,48,99.9928,0.000136186,1,100,7.03409,7.5415
45,0.000144061,43,99.9979,0.000143586,1,77.8224,7.86208,7.86208
46,0.00014415,39,99.9984,0.000148815,1,73.4795,5.99714,7.86208
47,0.499996,52,99.9976,0.000150376,1,77.5846,6.49447,7.86208
48,0.00014506,51,99.998,0.000137097,1,99.9991,4.78755,7.86208
49,0.499994,39,99.9984,0.000148353,1,47.3165,6.45962,7.86208
50,0.49999,49,85.0411,0.000143115,1,0.0200386,-1.95901,7.86208
51,0.000142702,27,99.9983,0.000140017,1,99.9977,6.7715,7.86208
52,0.400778,25,99.9987,0.000135845,1,99.9985,8.46106,8.46106
53,0.499994,20,99.9993,0.000146084,1,99.9979,8.86099,8.86099
54,0.499985,16,100,0.000140763,1,100,7.78654,8.86099
55,0.499993,18,99.9994,0.000147284,1,99.9975,7.06088,8.86099
56,0.499993,20,99.9919,0.000144326,1,99.9995,7.78421,8.86099
57,0.5,20,99.9987,0.000148412,1,99.9984,6.7308,8.86099
58,0.49997,24,100,0.0001,1,100,5.7762,8.86099
59,0.0001,18,99.9968,0.000164843,1,99.9961,7.23033,8.86099
60,0.499993,9,99.9982,0.00014505,1,77.4326,7.33837,8.86099
61,0.49999,13,86.958,0.00014907,1,78.8081,8.20885,8.86099
62,0.499999,10,99.9973,0.000143491,1,76.9073,7.19823,8.86099
63,0.499991,17,81.1285,0.000145161,1,80.4183,7.67354,8.86099
64,0.5,13,99.9995,0.000145575,1,86.3605,7.43789,8.86099
65,0.0556464,11,84.8936,0.000150889,1,78.9831,5.63176,8.86099
66,0.499994,12,99.9976,0.000149259,1,72.8919,5.50512,8.86099
67,0.499989,17,99.9974,0.113383,1,81.1859,4.18836,8.86099
68,0.49999,26,74.4683,0.000146199,1,83.7218,7.03215,8.86099
69,0.499994,1,86.2032,0.00014713,1,100,6.28063,8.86099
70,0.499998,27,76.607,0.000140291,1,84.839,5.58037,8.86099
71,0.499985,18,100,0.000139931,1,99.9973,6.22201,8.86099
72,0.499991,30,75.8656,0.000145892,1,80.4289,5.58899,8.86099
73,0.000130096,1,100,0.0001,1,99.9977,4.34058,8.86099
74,0.499955,1,100,0.0001,1,63.3688,7.20466,8.86099
75,0.499994,1,77.1275,0.0001,1,63.2119,7.09334,8.86099
76,0.499987,1,72.6744,0.107373,1,59.6705,5.06128,8.86099
77,0.499998,1,49.5627,0.375254,1,51.9963,5.47296,8.86099
78,0.499773,1,99.9816,0.000424568,1,99.9067,7.19972,8.86099
79,0.499905,1,99.9939,0.000111535,1,99.8994,6.9705,8.86099
80,0.000177767,1,33.396,0.499993,1,75.3388,4.41068,8.86099
81,0.000189345,1,76.7684,0.0001,1,76.413,5.60665,8.86099
82,0.000182223,1,56.7284,0.248608,1,64.0918,5.21854,8.86099
83,0.499985,1,15.6008,0.499982,1,56.6796,5.3979,8.86099
84,0.5,1,100,0.490969,1,99.3292,4.80799,8.86099
85,0.5,1,100,0.0001,1,100,5.96104,8.86099
86,0.499992,1,54.0639,0.499986,1,99.997,4.5211,8.86099
87,0.499987,1,69.0583,0.499982,1,43.2821,3.0854,8.86099
88,0.499989,1,100,0.175911,1,99.9975,4.64947,8.86099
89,0.499995,1,73.5326,0.0001,1,99.9988,6.46086,8.86099
90,0.499978,1,100,0.000152781,1,67.0314,6.03236,8.86099
91,0.499529,2,99.9525,0.000657074,1,99.8532,6.4936,8.86099
92,0.499962,1,73.222,0.000137839,1,100,7.12932,8.86099
93,0.499982,1,99.9977,0.253103,1,100,4.15482,8.86099
94,0.499977,1,61.2117,0.00017855,1,60.4939,6.43531,8.86099
95,0.499979,1,71.3523,0.000225931,1,63.555,7.76129,8.86099
