env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
breakable-bottles-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.180364,22,93.0011,0.179658,1,37.8047,75.1946,68.5404,5.27085,5.27085
1,0.0810011,75,39.8512,0.255528,1,19.648,8.26291,48.4205,3.6655,5.27085
2,0.144626,37,27.6533,0.0351487,0,26.7676,66.7996,72.9711,-1.94575,5.27085
3,0.254991,46,6.10246,0.379053,0,66.1899,34.5251,5.94089,-3.29071,5.27085
4,0.46992,8,61.3683,0.0890834,1,45.766,52.4559,22.5322,3.87031,5.27085
5,0.316188,18,46.5248,0.34266,0,58.7132,92.4994,84.6521,-0.258488,5.27085
6,0.0125084,86,87.4647,0.472908,0,87.432,20.2788,90.727,-2.54984,5.27085
7,0.431265,62,51.7159,0.241544,1,97.7802,17.5308,32.4918,3.91667,5.27085
8,0.354172,51,73.3542,0.411011,1,3.19592,89.1423,54.974,-0.0607236,5.27085
9,0.23267,96,18.4313,0.147087,0,79.2965,44.2391,16.025,-2.6482,5.27085
10,0.00013664,1,99.9989,0.000155829,1,0.0233989,100,99.9982,1.18391,5.27085
11,0.000141144,99,0.0188482,0.499992,1,99.9978,0.0087733,0.0197581,0.41056,5.27085
12,0.499998,99,99.9986,0.000143197,1,0.0190606,0.00938342,99.9991,-1.78226,5.27085
13,0.5,1,0.01,0.5,1,100,100,0.01,5.12457,5.27085
14,0.5,1,0.01,0.5,1,100,100,0.01,4.44334,5.27085
15,0.499997,1,0.0193576,0.499994,1,99.9995,99.9999,0.0187719,5.43008,5.43008
16,0.499994,1,0.018534,0.499998,1,99.997,99.9978,0.0181104,3.8628,5.43008
17,0.0001,1,100,0.5,1,100,100,0.01,4.08332,5.43008
18,0.000143774,1,99.9993,0.499999,1,99.9984,100,0.0209321,3.46308,5.43008
19,0.5,1,0.01,0.5,1,100,100,100,5.19434,5.43008
20,0.499996,1,0.0159035,0.499998,1,100,0.00681956,75.1261,5.59211,5.59211
21,0.5,1,0.0161721,0.5,1,100,0.00632597,99.9983,4.52472,5.59211
22,0.5,1,0.01,0.5,1,100,0.001,0.01,4.5744,5.59211
