env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
resource-gathering-timed-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,36.0664,22,-3.41741,-3.41741
1,16.1918,75,-3.39338,-3.39338
2,28.918,37,-3.52647,-3.39338
3,50.9933,46,-3.4486,-3.39338
4,93.9834,8,-3.44998,-3.39338
5,63.234,18,-3.34723,-3.34723
6,2.49194,86,-3.3682,-3.34723
7,86.2517,62,-3.55399,-3.34723
8,70.8314,51,-3.36871,-3.34723
9,46.5286,96,-3.4745,-3.34723
10,65.6475,99,-3.42459,-3.34723
11,7.75775,1,-3.38385,-3.34723
12,0.01,1,-3.39496,-3.34723
13,8.86553,99,-3.35353,-3.34723
14,6.32706,99,-3.4374,-3.34723
15,60.316,1,-3.44141,-3.34723
16,12.2171,1,-3.29751,-3.29751
17,12.9369,1,-3.31817,-3.29751
18,12.9111,1,-3.42095,-3.29751
19,74.8205,1,-3.37892,-3.29751
20,18.5931,1,-3.57721,-3.29751
21,69.3449,1,-3.56796,-3.29751
22,100,1,-3.41692,-3.29751
23,0.01,1,-3.33542,-3.29751
24,0.01,1,-3.63464,-3.29751
25,9.79221,1,-3.41807,-3.29751
26,78.4718,1,-3.44523,-3.29751
27,40.9561,1,-3.40076,-3.29751
28,57.1741,99,-3.47946,-3.29751
29,39.2261,99,-3.32322,-3.29751
30,100,99,-3.28407,-3.28407
31,100,99,-3.53181,-3.28407
32,78.0469,83,-3.48911,-3.28407
33,100,99,-3.50632,-3.28407
34,0.01,99,-3.33348,-3.28407
35,0.01,99,-3.43747,-3.28407
36,100,99,-3.42374,-3.28407
37,0.01,99,-3.49427,-3.28407
38,100,99,-3.29133,-3.28407
39,100,99,-3.51128,-3.28407
40,100,99,-3.59257,-3.28407
41,0.01,99,-3.39613,-3.28407
42,0.01,99,-3.28963,-3.28407
43,0.01,99,-3.46161,-3.28407
44,100,2,-3.42206,-3.28407
45,0.01,99,-3.36516,-3.28407
46,0.01,99,-3.43347,-3.28407
47,100,1,-3.56498,-3.28407
48,0.01,99,-3.49,-3.28407
49,0.01,1,-3.3282,-3.28407
50,0.01,1,-3.46204,-3.28407
51,100,99,-3.42916,-3.28407
52,0.01,99,-3.51296,-3.28407
53,100,1,-3.50007,-3.28407
54,96.1709,28,-3.35461,-3.28407
55,100,1,-3.47839,-3.28407
56,0.01,1,-3.51661,-3.28407
