env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
resource-gathering-timed-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,55.9611,37,-0.22913,-0.22913
1,30.1717,84,-0.237433,-0.22913
2,14.9201,64,-0.2337,-0.22913
3,5.63156,12,-0.217704,-0.217704
4,81.3784,26,-0.220404,-0.217704
5,20.5298,8,-0.217255,-0.217255
6,68.9114,80,-0.228297,-0.217255
7,92.3919,47,-0.233929,-0.217255
8,46.9078,93,-0.229219,-0.217255
9,71.7188,52,-0.245591,-0.217255
10,100,1,-0.214877,-0.214877
11,100,1,-0.214433,-0.214433
12,0.01,1,-0.227651,-0.214433
13,99.9982,10,-0.226324,-0.214433
14,100,1,-0.21763,-0.214433
15,100,1,-0.212248,-0.212248
16,100,1,-0.226531,-0.212248
17,0.0217862,18,-0.226153,-0.212248
18,99.9967,14,-0.222093,-0.212248
19,0.01,1,-0.22837,-0.212248
20,99.9976,13,-0.215505,-0.212248
21,100,1,-0.219023,-0.212248
22,99.9967,15,-0.22232,-0.212248
23,100,1,-0.218205,-0.212248
24,100,1,-0.218691,-0.212248
25,0.0264706,23,-0.226788,-0.212248
26,99.9864,12,-0.218676,-0.212248
27,99.9607,19,-0.212791,-0.212248
28,100,1,-0.21727,-0.212248
29,99.9869,18,-0.215685,-0.212248
30,61.3547,10,-0.216619,-0.212248
31,60.2285,63,-0.228891,-0.212248
32,61.2934,10,-0.215796,-0.212248
33,61.4227,10,-0.219605,-0.212248
34,57.1939,1,-0.216136,-0.212248
35,61.5634,10,-0.223354,-0.212248
36,99.9967,23,-0.213442,-0.212248
37,99.998,23,-0.222038,-0.212248
38,100,99,-0.233865,-0.212248
39,100,1,-0.217001,-0.212248
40,58.6461,17,-0.222913,-0.212248
41,99.9966,9,-0.216369,-0.212248
42,99.9966,9,-0.215842,-0.212248
43,100,1,-0.221585,-0.212248
44,100,24,-0.229897,-0.212248
45,51.9773,1,-0.207132,-0.207132
46,2.11274,1,-0.22107,-0.207132
47,2.54642,34,-0.227924,-0.207132
48,0.01,1,-0.221955,-0.207132
49,50.9568,1,-0.215633,-0.207132
50,50.5965,1,-0.218672,-0.207132
51,50.72,1,-0.218083,-0.207132
52,49.8333,1,-0.225027,-0.207132
53,24.5834,3,-0.219001,-0.207132
54,51.4327,1,-0.21486,-0.207132
55,16.675,17,-0.228534,-0.207132
