env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
resource-gathering-timed-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.384299,42,27.2238,0.107497,1,27.4619,-0.241208,-0.241208
1,0.207565,33,85.2702,0.456991,0,62.9926,-0.233157,-0.233157
2,0.423281,90,52.3955,0.282228,0,55.8144,-0.236632,-0.233157
3,0.475282,8,41.3737,0.384987,1,19.5554,-0.233565,-0.233157
4,0.25875,20,69.5719,0.224868,0,70.657,-0.235833,-0.233157
5,0.111488,80,77.7743,0.0478067,1,35.827,-0.239547,-0.233157
6,0.0215474,72,98.6696,0.43263,0,87.5685,-0.238166,-0.233157
7,0.312917,54,19.3787,0.310148,1,44.9182,-0.239225,-0.233157
8,0.0684559,23,9.07679,0.155319,1,97.9581,-0.235223,-0.233157
9,0.193561,69,37.5214,0.094693,0,9.52714,-0.239571,-0.233157
10,0.000144325,5,99.9991,0.5,0,99.9964,-0.287639,-0.233157
11,0.499999,53,99.9988,0.49999,1,0.0191011,-0.233925,-0.233157
12,0.5,99,0.01,0.5,0,0.01,-0.241962,-0.233157
13,0.499997,52,0.0198015,0.499998,0,0.0198846,-0.240574,-0.233157
14,0.499966,12,0.01,0.000169677,1,0.01,-0.238383,-0.233157
15,0.499995,41,99.999,0.275646,1,99.9976,-0.240595,-0.233157
16,0.000143779,75,99.9991,0.499993,1,0.0197098,-0.232444,-0.232444
17,0.000137312,75,0.0169658,0.499988,1,99.9975,-0.236527,-0.232444
18,0.499998,74,99.9988,0.499989,1,0.0189665,-0.23815,-0.232444
19,0.0001,99,0.01,0.0001,1,0.01,-0.233243,-0.232444
20,0.000841254,99,99.9739,0.499585,1,0.127358,-0.235894,-0.232444
21,0.000143682,1,99.9974,0.499994,0,99.9976,-1.2734,-0.232444
22,0.34059,33,20.1712,0.319137,1,69.6236,-0.235044,-0.232444
23,0.493016,3,19.4667,0.493408,1,98.7108,-0.233994,-0.232444
24,0.481549,7,6.78805,0.481515,1,96.2883,-0.242739,-0.232444
25,0.000168831,99,99.9989,0.000172655,1,0.0197567,-0.241705,-0.232444
26,0.000141331,99,99.9939,0.00014623,1,0.0184107,-0.236541,-0.232444
27,0.000143093,99,99.9984,0.000150059,1,0.0168896,-0.240872,-0.232444
28,0.000146718,99,99.9975,0.000160053,1,0.0192081,-0.243734,-0.232444
29,0.000144236,99,99.9977,0.000150525,1,0.0200313,-0.239909,-0.232444
30,0.0752848,3,51.0381,0.229773,1,95.3381,-0.243469,-0.232444
31,0.295452,83,72.7741,0.287695,0,64.7293,-0.23213,-0.23213
32,0.499991,99,99.9979,0.168243,1,0.0194569,-0.241206,-0.23213
33,0.324922,73,57.6392,0.0779957,0,57.5608,-0.230965,-0.230965
34,0.124376,26,87.8105,0.121175,0,17.7994,-0.238423,-0.230965
35,0.499993,99,0.0189078,0.117486,0,99.9977,-0.237452,-0.230965
36,0.000148846,1,0.0216647,0.19335,0,0.0181274,-0.534867,-0.230965
37,0.000143976,99,99.9982,0.379574,1,0.0201108,-0.241666,-0.230965
38,0.499994,99,0.01943,0.169236,1,0.0195346,-0.238186,-0.230965
39,0.499994,99,0.0197085,0.304578,1,0.019366,-0.243129,-0.230965
40,0.367946,69,32.8316,0.499982,0,64.3191,-0.234261,-0.230965
41,0.247299,51,74.4262,0.499975,1,62.6418,-0.237616,-0.230965
42,0.448627,44,22.6451,0.499993,1,57.6603,-0.238526,-0.230965
43,0.312688,73,5.5034,0.0786685,0,65.2204,-0.235444,-0.230965
44,0.114999,56,37.2152,0.366584,0,39.5479,-0.234458,-0.230965
45,0.288586,58,43.8043,0.421172,0,49.15,-0.240065,-0.230965
46,0.000144537,1,22.2456,0.499988,0,59.482,-1.07268,-0.230965
47,0.499992,99,98.6131,0.00015139,0,64.0978,-0.237566,-0.230965
48,0.499993,99,90.7396,0.000147573,1,55.5247,-0.24488,-0.230965
49,0.499997,99,51.929,0.145199,1,66.2473,-0.244564,-0.230965
50,0.499986,99,60.0592,0.242609,1,42.267,-0.234588,-0.230965
51,0.0723001,99,33.1653,0.00249565,1,95.9678,-0.234543,-0.230965
52,0.166127,66,57.6496,0.0722239,1,57.5717,-0.240987,-0.230965
53,0.419968,87,99.998,0.0163959,1,30.9824,-0.238698,-0.230965
54,0.322955,25,0.019012,0.107706,0,0.018411,-0.23567,-0.230965
55,0.259585,43,0.0188648,0.000144624,0,0.0191005,-0.382924,-0.230965
56,0.121752,31,0.0187233,0.000139498,1,99.9972,-0.335324,-0.230965
57,0.451266,73,57.7547,0.078051,0,57.7499,-0.234166,-0.230965
58,0.151296,89,56.0039,0.0804826,0,56.7418,-0.241802,-0.230965
59,0.430158,41,99.9967,0.000145961,1,0.0194703,-0.237954,-0.230965
60,0.343208,99,99.9973,0.000163947,1,99.9975,-0.238924,-0.230965
61,0.219099,89,99.9983,0.341296,1,0.0196272,-0.237754,-0.230965
62,0.337125,50,99.9986,0.291619,0,99.9977,-0.236278,-0.230965
63,0.241092,87,20.6984,0.364434,1,77.0524,-0.243138,-0.230965
64,0.200841,83,0.0186255,0.292438,0,99.9981,-0.24414,-0.230965
65,0.263248,56,99.997,0.197433,0,0.0189929,-0.24493,-0.230965
66,0.284696,81,2.29762,0.262776,0,87.5258,-0.242702,-0.230965
67,0.271727,54,99.9982,0.184886,0,0.0205577,-0.238846,-0.230965
68,0.482331,59,99.9988,0.249507,1,99.9969,-0.234567,-0.230965
69,0.498891,24,99.9979,0.167109,1,28.4741,-0.2365,-0.230965
70,0.372883,72,99.998,0.300895,1,0.0191058,-0.241201,-0.230965
71,0.482558,41,99.9968,0.358571,0,25.8046,-0.234818,-0.230965
72,0.350453,65,60.3462,0.0835761,1,59.6664,-0.241155,-0.230965
73,0.000143464,83,99.9976,0.000145082,1,0.0192898,-0.236437,-0.230965
74,0.000142423,65,99.9984,0.499991,1,0.0194737,-0.237988,-0.230965
75,0.000143894,81,99.9993,0.49999,1,0.0200546,-0.235427,-0.230965
76,0.499985,85,0.0192516,0.000142401,1,0.0199826,-0.238556,-0.230965
77,0.000144242,57,99.9983,0.368746,1,0.0200636,-0.234577,-0.230965
78,0.385335,65,99.9988,0.499998,1,99.9976,-0.241142,-0.230965
79,0.000146014,72,0.0192704,0.221095,1,0.0195322,-0.228745,-0.228745
80,0.000147443,41,99.9982,0.388662,1,0.0199482,-0.239976,-0.228745
81,0.499993,81,0.0185527,0.499993,1,0.0196853,-0.237924,-0.228745
82,0.000139156,55,99.9965,0.000149405,1,0.0180466,-0.237381,-0.228745
83,0.000144469,48,99.999,0.499989,1,99.998,-0.239728,-0.228745
84,0.114405,32,69.1051,0.000157742,0,99.9978,-0.237495,-0.228745
85,0.000140166,87,0.0172962,0.000149338,1,99.9954,-0.247165,-0.228745
86,0.000145218,54,0.0187106,0.000150219,1,99.9979,-0.239411,-0.228745
87,0.499993,67,99.9981,0.000148245,1,0.0191498,-0.243395,-0.228745
88,0.00392042,92,89.1494,0.40269,1,79.6527,-0.239326,-0.228745
