env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
resource-gathering-timed-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.384299,42,27.2238,0.107497,1,27.4619,34.2763,34.8597,-0.234624,-0.234624
1,0.207565,33,85.2702,0.456991,0,62.9926,66.2087,18.801,-0.240204,-0.234624
2,0.423281,90,52.3955,0.282228,0,55.8144,49.3664,27.4721,-0.238798,-0.234624
3,0.475282,8,41.3737,0.384987,1,19.5554,14.1288,3.19011,-0.23743,-0.234624
4,0.25875,20,69.5719,0.224868,0,70.657,81.806,81.0101,-0.233526,-0.233526
5,0.111488,80,77.7743,0.0478067,1,35.827,6.70551,62.7855,-0.23484,-0.233526
6,0.0215474,72,98.6696,0.43263,0,87.5685,97.184,96.9416,-0.234235,-0.233526
7,0.312917,54,19.3787,0.310148,1,44.9182,70.3768,73.3221,-0.23883,-0.233526
8,0.0684559,23,9.07679,0.155319,1,97.9581,27.4272,45.959,-0.233462,-0.233462
9,0.193561,69,37.5214,0.094693,0,9.52714,55.3605,57.9783,-0.237814,-0.233462
10,0.4243,23,75.5675,0.000145192,0,15.1891,89.9503,95.9315,-0.23603,-0.233462
11,0.0001,99,0.01,0.5,1,100,100,0.01,-0.241005,-0.233462
12,0.0678958,23,9.10686,0.155224,1,97.9013,27.4952,70.8939,-0.23827,-0.233462
13,0.0338151,26,8.30178,0.0001,0,98.097,0.001,0.01,-0.239736,-0.233462
14,0.000147835,99,99.9989,0.499989,0,99.9994,85.1628,99.9976,-0.23569,-0.233462
15,0.000148703,1,99.9987,0.000149068,1,0.0195384,84.1534,0.0190921,-1.68529,-0.233462
16,0.000146765,99,99.998,0.000146019,0,99.9975,17.5702,99.9975,-0.238739,-0.233462
17,0.000146708,1,99.9989,0.49999,1,99.9975,42.3424,99.9975,-0.320202,-0.233462
18,0.5,99,0.01,0.5,0,0.01,0.001,100,-0.239973,-0.233462
19,0.499989,99,0.019224,0.499989,0,0.0199858,21.7496,99.9975,-0.239553,-0.233462
20,0.247319,99,0.0196898,0.000148076,0,48.0087,0.00937238,99.9975,-0.236283,-0.233462
21,0.158973,99,21.5754,0.0958689,0,79.8209,0.010608,100,-0.236517,-0.233462
