env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
four-room-timed-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,34.3407,53,-12.2721,-12.2721
1,65.6688,22,-12.1238,-12.1238
2,96.8975,30,-12.5308,-12.1238
3,18.6144,5,-12.4288,-12.1238
4,55.4172,77,-12.383,-12.1238
5,24.1237,82,-12.4159,-12.1238
6,72.3546,97,-12.2399,-12.1238
7,5.80139,67,-12.5394,-12.1238
8,43.0045,41,-12.2267,-12.1238
9,86.0305,13,-12.4771,-12.1238
10,65.2366,1,-12.3177,-12.1238
11,47.1081,1,-12.3762,-12.1238
12,67.1419,99,-12.2759,-12.1238
13,71.8484,1,-12.3804,-12.1238
14,39.517,99,-12.3436,-12.1238
15,60.8483,99,-12.5404,-12.1238
16,34.7908,1,-12.327,-12.1238
17,77.027,99,-12.6098,-12.1238
18,52.4195,1,-12.1965,-12.1238
19,44.146,1,-12.5541,-12.1238
20,66.0714,38,-12.5051,-12.1238
21,51.8819,1,-12.5248,-12.1238
22,42.3562,23,-12.3941,-12.1238
23,73.0672,99,-12.2599,-12.1238
24,68.0103,99,-12.2404,-12.1238
25,91.398,21,-12.401,-12.1238
26,12.3757,23,-12.4172,-12.1238
27,81.6657,99,-12.2436,-12.1238
28,82.3918,99,-12.4518,-12.1238
29,33.4977,89,-12.4583,-12.1238
30,65.6389,21,-12.4555,-12.1238
31,65.9301,22,-12.5694,-12.1238
32,69.5623,59,-12.5417,-12.1238
33,65.8061,25,-12.3838,-12.1238
34,65.0353,8,-12.4524,-12.1238
35,65.7121,5,-12.6921,-12.1238
36,40.0041,99,-12.24,-12.1238
37,40.1804,96,-12.5158,-12.1238
38,72.6691,98,-12.1841,-12.1238
39,72.6302,93,-12.2896,-12.1238
40,72.3405,93,-12.3398,-12.1238
41,65.5624,23,-12.2867,-12.1238
42,66.0058,23,-12.4027,-12.1238
43,65.1012,22,-12.37,-12.1238
44,35.334,50,-12.3713,-12.1238
45,34.8763,54,-12.6778,-12.1238
46,44.6966,35,-12.1553,-12.1238
47,50.005,72,-12.3057,-12.1238
48,72.4644,99,-12.5386,-12.1238
49,72.765,96,-12.4694,-12.1238
50,50.005,78,-12.2904,-12.1238
51,0.01,99,-12.071,-12.071
52,0.01,99,-12.13,-12.071
53,0.01,99,-12.2775,-12.071
54,41.9493,48,-12.1251,-12.071
55,0.01,99,-12.327,-12.071
