env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
four-room-timed-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,19.5321,17,-11.9177,-11.9177
1,32.1306,64,-11.5672,-11.5672
2,7.88449,57,-12.1727,-11.5672
3,43.2822,96,-11.8319,-11.5672
4,58.8772,74,-12.1731,-11.5672
5,91.5635,86,-12.1612,-11.5672
6,88.6218,21,-11.9883,-11.5672
7,24.2748,6,-11.9739,-11.5672
8,76.0005,36,-12.081,-11.5672
9,62.0534,40,-11.4368,-11.4368
10,60.4614,37,-11.3759,-11.3759
11,61.1003,34,-11.8714,-11.3759
12,59.947,45,-12.0704,-11.3759
13,34.1267,73,-11.7216,-11.3759
14,35.6282,57,-11.8995,-11.3759
15,27.7026,68,-11.9404,-11.3759
16,55.4355,31,-12.2854,-11.3759
17,40.4345,75,-12.0996,-11.3759
18,28.6943,51,-11.9389,-11.3759
19,30.6029,88,-11.8643,-11.3759
20,61.9417,39,-11.7231,-11.3759
21,59.1481,39,-10.7775,-10.7775
22,57.2971,39,-11.768,-10.7775
23,100,55,-11.9574,-10.7775
24,0.01,99,-11.3361,-10.7775
25,1.16962,95,-11.1686,-10.7775
26,3.71092,97,-11.8041,-10.7775
27,0.370411,92,-10.8039,-10.7775
28,0.0191133,92,-10.6486,-10.6486
29,0.01,91,-10.7138,-10.6486
30,0.0100135,93,-10.8167,-10.6486
31,0.0195125,90,-8.42312,-8.42312
32,0.0216367,86,-9.48017,-8.42312
33,0.026355,84,-11.2436,-8.42312
34,16.8747,95,-11.7587,-8.42312
35,83.335,61,-11.6656,-8.42312
36,0.0146997,88,-9.71404,-8.42312
37,16.675,39,-10.5748,-8.42312
38,17.9094,46,-11.5703,-8.42312
39,75.0025,97,-11.9832,-8.42312
40,100,1,-11.8607,-8.42312
41,60.0816,1,-11.7619,-8.42312
42,0.0210266,75,-9.96183,-8.42312
43,11.3257,79,-11.6885,-8.42312
44,65.8035,12,-11.7517,-8.42312
45,46.3017,21,-11.6523,-8.42312
46,61.115,83,-11.6542,-8.42312
47,97.5025,71,-11.5497,-8.42312
48,95.8337,46,-11.4553,-8.42312
49,69.7656,56,-11.9947,-8.42312
50,0.0281291,99,-9.67965,-8.42312
51,81.7212,2,-11.8683,-8.42312
52,0.01,2,-10.6021,-8.42312
53,0.01,2,-12.0414,-8.42312
54,0.01,14,-9.92015,-8.42312
