env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,91.8021,5,-1.08547,-1.08547
1,28.0308,70,-1.06528,-1.06528
2,40.3015,69,-1.09341,-1.06528
3,86.1087,29,-1.08586,-1.06528
4,73.3874,36,-1.08802,-1.06528
5,31.7303,85,-1.07956,-1.06528
6,13.8844,14,-1.09745,-1.06528
7,3.00138,59,-1.07991,-1.06528
8,53.6253,42,-1.0837,-1.06528
9,62.6479,96,-1.10312,-1.06528
10,26.3198,26,-1.09773,-1.06528
11,0.01,99,-0.8204,-0.8204
12,0.01,99,-0.852317,-0.8204
13,47.0856,99,-1.1041,-0.8204
14,0.01,99,-0.862101,-0.8204
15,0.01,99,-0.831803,-0.8204
16,100,99,-1.10307,-0.8204
17,79.7841,99,-1.06319,-0.8204
18,0.01,99,-0.842969,-0.8204
19,0.01,99,-0.915761,-0.8204
20,8.0107,99,-1.08351,-0.8204
21,0.0204611,87,-0.885959,-0.8204
22,0.0184362,87,-0.851945,-0.8204
23,0.018093,88,-0.855928,-0.8204
24,0.017386,88,-0.922727,-0.8204
25,0.01,99,-0.860241,-0.8204
26,0.01,99,-0.901942,-0.8204
27,52.7255,1,-1.09449,-0.8204
28,99.9958,61,-1.06983,-0.8204
29,0.0156375,86,-0.921642,-0.8204
30,95.7886,95,-1.10266,-0.8204
31,0.675252,99,-1.04289,-0.8204
32,20.9961,60,-1.09881,-0.8204
33,0.670139,99,-1.04807,-0.8204
34,82.7756,98,-1.09364,-0.8204
35,17.419,99,-1.0962,-0.8204
36,43.6096,98,-1.09944,-0.8204
37,57.9963,98,-1.0734,-0.8204
38,49.9802,98,-1.09147,-0.8204
39,35.8491,18,-1.0851,-0.8204
40,29.8202,22,-1.10486,-0.8204
41,0.159546,1,-1.03435,-0.8204
42,0.01,1,-1.05548,-0.8204
43,5.48302,15,-1.08541,-0.8204
44,0.224358,99,-0.907834,-0.8204
45,0.206322,99,-0.935844,-0.8204
46,4.18372,17,-1.05635,-0.8204
47,11.2067,16,-1.08968,-0.8204
48,9.65668,11,-1.07196,-0.8204
49,23.6027,17,-1.08214,-0.8204
50,18.8145,17,-1.0881,-0.8204
51,0.170107,99,-0.919476,-0.8204
52,0.19297,99,-0.939314,-0.8204
53,0.01,99,-0.88281,-0.8204
54,1.61812,51,-1.07919,-0.8204
