env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,5,MIN
MAX,100,100,MAX
0,60.6107,77,5.81657,5.81657
1,49.2111,68,5.87,5.87
2,70.9583,57,5.45131,5.87
3,25.2555,39,5.03017,5.87
4,4.58002,89,3.97873,5.87
5,39.6807,15,5.68928,5.87
6,81.3521,31,5.82233,5.87
7,13.4396,14,5.18324,5.87
8,90.1408,95,5.34179,5.87
9,53.2501,50,4.91187,5.87
10,100,5,5.557,5.87
11,100,5,5.15959,5.87
12,69.4562,5,5.82914,5.87
13,69.4603,5,5.26457,5.87
14,100,99,5.5412,5.87
15,72.8786,99,5.57919,5.87
16,100,99,5.10878,5.87
17,65.5511,5,5.16651,5.87
18,65.1444,99,5.11161,5.87
19,100,5,5.44479,5.87
20,78.954,5,5.36738,5.87
21,52.1859,5,5.56833,5.87
22,54.2641,99,4.96989,5.87
23,100,5,5.80627,5.87
24,100,5,4.77938,5.87
25,100,99,3.85216,5.87
26,52.8445,5,5.90934,5.90934
27,50.8091,5,5.97718,5.97718
28,47.5402,5,5.98578,5.98578
29,47.1487,5,5.41171,5.98578
30,56.3344,5,5.40161,5.98578
31,39.9009,5,5.59712,5.98578
32,63.4042,5,6.20663,6.20663
33,0.01,5,3.64896,6.20663
34,69.5283,5,5.66622,6.20663
35,69.4361,5,5.59601,6.20663
36,41.7308,99,5.06042,6.20663
37,69.1787,5,5.33771,6.20663
38,46.2585,5,5.06015,6.20663
39,77.2848,5,5.63452,6.20663
40,70.1236,99,5.75606,6.20663
41,42.4823,99,4.94148,6.20663
42,79.5633,5,5.75914,6.20663
43,74.0572,99,5.34432,6.20663
44,79.6724,5,5.19678,6.20663
45,58.3553,5,5.44655,6.20663
46,35.8966,5,4.92304,6.20663
47,68.4264,99,4.95166,6.20663
48,61.5164,5,5.37359,6.20663
49,86.1132,5,5.99519,6.20663
50,77.8004,99,5.96041,6.20663
51,81.8906,5,5.4775,6.20663
52,100,5,6.10193,6.20663
53,100,5,5.60863,6.20663
54,100,5,5.14726,6.20663
55,79.9188,5,5.1894,6.20663
56,53.3045,85,4.89797,6.20663
57,85.8734,5,5.34212,6.20663
58,64.4222,5,5.65214,6.20663
59,83.335,96,5.78979,6.20663
60,80.7204,5,5.4688,6.20663
61,83.335,96,5.84449,6.20663
62,81.7436,99,4.85089,6.20663
63,100,99,4.77796,6.20663
64,30.7651,99,5.84327,6.20663
65,30.7651,99,5.72059,6.20663
66,32.6865,99,5.88441,6.20663
