env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,34.3208,23,-0.00600058,-0.00600058
1,6.54904,12,-0.0177213,-0.00600058
2,40.7211,58,0.0695806,0.0695806
3,87.229,39,0.0522467,0.0695806
4,14.5806,90,-0.00712141,0.0695806
5,23.2899,5,0.204197,0.204197
6,95.5731,61,-0.0238864,0.204197
7,58.0121,41,-0.00757037,0.204197
8,70.4729,82,0.0478845,0.204197
9,60.9603,72,0.0312085,0.204197
10,24.1175,1,0.0689426,0.204197
11,21.6883,8,0.0378333,0.204197
12,27.1084,13,0.093373,0.204197
13,46.6895,99,0.0963885,0.204197
14,50.3776,1,0.0130293,0.204197
15,79.1109,99,-0.0771566,0.204197
16,29.7423,14,-0.01461,0.204197
17,25.2354,12,-0.04466,0.204197
18,44.0487,9,0.140694,0.204197
19,43.1077,11,0.00922196,0.204197
20,23.1479,19,0.0165899,0.204197
21,23.6167,2,0.184927,0.204197
22,23.6171,2,0.0679303,0.204197
23,44.7298,8,0.0286601,0.204197
24,47.4272,6,0.088999,0.204197
25,85.698,18,0.0732404,0.204197
26,84.6824,18,0.0572558,0.204197
27,27.8654,99,0.131926,0.204197
28,83.1758,98,-0.0187809,0.204197
29,28.3112,1,0.140205,0.204197
30,8.8793,4,0.114615,0.204197
31,33.7969,51,0.0410151,0.204197
32,9.00307,4,0.0948698,0.204197
33,28.8874,4,0.0834531,0.204197
34,0.01,1,0.115885,0.204197
35,0.026562,63,0.109479,0.204197
36,0.0201943,69,0.0340529,0.204197
37,8.27829,58,-0.0572763,0.204197
38,99.9967,9,0.144182,0.204197
39,82.8428,9,0.054766,0.204197
40,99.9984,4,0.127702,0.204197
41,99.9981,28,0.0444077,0.204197
42,0.0194871,37,0.112203,0.204197
43,0.019664,43,0.0794532,0.204197
44,0.0201945,31,0.161641,0.204197
45,14.6515,32,0.0825991,0.204197
46,99.9979,48,-0.145766,0.204197
47,0.0201936,79,0.0319723,0.204197
48,99.998,76,0.0206185,0.204197
49,20.3885,38,-0.0074485,0.204197
50,0.0194865,28,0.174157,0.204197
51,44.9594,90,0.0779833,0.204197
52,31.5111,73,0.019532,0.204197
53,14.98,94,-0.039015,0.204197
54,0.0196477,26,0.0583976,0.204197
55,31.3924,73,-0.091256,0.204197
56,100,1,0.127184,0.204197
