env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.415614,59,51.6922,0.208025,0,96.451,-0.631554,-0.631554
1,0.151409,85,89.8438,0.0803425,1,46.2625,-0.605677,-0.605677
2,0.0676269,37,26.9635,0.0167403,1,14.175,-0.644173,-0.605677
3,0.477774,26,17.4231,0.364621,1,4.83179,-0.649437,-0.605677
4,0.332627,73,30.5215,0.460289,0,59.2433,-0.62243,-0.605677
5,0.1232,61,99.2529,0.200027,0,72.9815,-0.617125,-0.605677
6,0.382301,94,60.9692,0.115875,1,29.8942,-0.549841,-0.549841
7,0.0466722,1,2.22336,0.417129,0,39.7418,-0.669413,-0.549841
8,0.261815,16,43.4415,0.347157,1,61.7644,-0.544238,-0.544238
9,0.215385,45,76.4818,0.289676,0,80.9621,-0.606533,-0.544238
10,0.301337,99,80.0918,0.000154894,1,0.0203832,-0.612643,-0.544238
11,0.290171,1,0.0185021,0.499989,1,99.9975,-0.50933,-0.50933
12,0.31746,1,0.0187787,0.49999,1,99.998,-0.541492,-0.50933
13,0.252515,1,0.0191693,0.499988,1,99.9972,-0.523622,-0.50933
14,0.254349,1,0.0190626,0.499988,1,99.9974,-0.542948,-0.50933
15,0.290691,99,0.0181939,0.49999,1,99.9981,-0.481999,-0.481999
16,0.326972,99,0.0185536,0.499989,1,99.998,-0.611062,-0.481999
17,0.21467,99,0.0284288,0.499626,1,99.9156,-0.548516,-0.481999
18,0.236816,1,0.0205637,0.499987,1,0.0225138,-0.495568,-0.481999
19,0.236977,1,0.0236419,0.499987,1,0.0264742,-0.547185,-0.481999
20,0.263934,99,99.999,0.499988,1,0.020839,-0.593664,-0.481999
21,0.27419,1,0.0184264,0.499993,1,0.0204577,-0.596804,-0.481999
22,0.244224,1,0.0206799,0.203506,1,99.9987,-0.517699,-0.481999
23,0.268383,1,0.0244092,0.000172932,1,99.9965,-0.270048,-0.270048
24,0.278229,1,0.0249988,0.000184431,1,99.9965,-0.221099,-0.221099
25,0.283464,1,0.0249276,0.000184636,0,99.9965,-0.421332,-0.221099
26,0.259957,99,0.0311615,0.000191365,1,0.0308117,-0.082627,-0.082627
27,0.240516,99,0.021734,0.000162853,0,0.0218104,-0.0726534,-0.0726534
28,0.23814,99,0.0200732,0.000149861,0,0.0203294,-0.313801,-0.0726534
29,0.27006,99,99.998,0.000141048,0,0.0201612,-0.614469,-0.0726534
30,0.499287,1,64.3266,0.499468,1,0.194071,-0.663254,-0.0726534
31,0.112594,42,19.6268,0.303421,0,1.34606,-0.609372,-0.0726534
32,0.499428,1,63.6377,0.499602,1,0.206205,-0.692371,-0.0726534
33,0.499995,99,6.03147,0.000180405,0,0.0108127,-0.62452,-0.0726534
34,0.000164579,99,0.01,0.0577024,1,98.5731,-0.493164,-0.0726534
35,0.00107487,1,49.1432,0.000438359,0,0.216553,-0.700195,-0.0726534
36,0.0001,99,0.01,0.0001,1,0.01,-0.0490756,-0.0490756
37,0.0001,99,0.01,0.0001,1,0.01,-0.102955,-0.0490756
38,0.000980928,1,84.0007,0.499941,0,0.211479,-0.740963,-0.0490756
39,0.000492576,99,47.8565,0.499996,0,99.9713,-0.633075,-0.0490756
40,0.400255,80,76.639,0.166113,1,13.0759,-0.653517,-0.0490756
41,0.46337,20,90.3614,0.305623,1,78.8042,-0.660021,-0.0490756
42,0.0666476,64,83.7884,0.221966,0,80.8688,-0.603797,-0.0490756
43,0.406908,51,73.7867,0.486207,1,16.4119,-0.584991,-0.0490756
44,0.384403,47,55.6129,0.411908,1,20.0078,-0.577834,-0.0490756
45,0.391197,14,50.6376,0.394834,1,53.0447,-0.593061,-0.0490756
46,0.331252,90,1.06133,0.0001,1,96.1108,-0.183333,-0.0490756
47,0.368008,78,0.834277,0.0161068,1,95.1029,0.0597195,0.0597195
48,0.287243,99,1.114,0.0193935,1,58.4011,-0.23879,0.0597195
49,0.389136,75,1.78411,0.0001,1,73.0668,-0.0690409,0.0597195
50,0.37807,71,1.96668,0.0173323,1,72.9738,-0.326646,0.0597195
51,0.5,99,0.01,0.0001,1,100,-0.0641177,0.0597195
52,0.5,99,0.01,0.0137421,1,100,-0.115473,0.0597195
53,0.177868,73,22.563,0.297252,1,71.3355,-0.522283,0.0597195
54,0.5,99,0.01,0.0110038,1,100,-0.0122869,0.0597195
55,0.5,99,0.01,0.0001,1,100,-0.110922,0.0597195
56,0.467932,99,0.01,0.0194263,1,94.7638,-0.00385398,0.0597195
57,0.5,99,0.01,0.0173779,1,94.5766,-0.304585,0.0597195
58,0.0001,99,0.01,0.0001,1,100,-0.164634,0.0597195
59,0.5,40,0.01,0.0256068,1,95.6748,-0.304213,0.0597195
60,0.0001,99,1.451,0.0001,1,96.4364,-0.114546,0.0597195
61,0.0001,99,0.01,0.0001,1,100,-0.102439,0.0597195
62,0.0001,99,0.01,0.0001,1,100,-0.16168,0.0597195
63,0.5,99,1.89272,0.0001,1,94.8052,-0.281352,0.0597195
64,0.253974,80,0.01,0.0149944,1,94.9629,-0.133232,0.0597195
65,0.340641,64,8.11886,0.169074,1,98.6522,-0.610797,0.0597195
66,0.394319,45,16.9221,0.0839137,1,74.9434,-0.510357,0.0597195
67,0.444794,98,36.4389,0.169152,1,70.1628,-0.599671,0.0597195
68,0.395266,98,44.2736,0.111678,1,75.0357,-0.594429,0.0597195
69,0.414297,95,29.1312,0.250049,1,77.3345,-0.574682,0.0597195
70,0.396508,99,20.9109,0.16641,1,79.8466,-0.603704,0.0597195
71,0.391997,50,83.0565,0.114299,0,79.7677,-0.683386,0.0597195
72,0.251306,78,0.755283,0.0001,1,95.0769,-0.135328,0.0597195
73,0.119418,80,0.740105,0.016444,1,95.2855,-0.269461,0.0597195
74,0.483194,80,0.620912,0.0001,1,95.1125,-0.0787242,0.0597195
75,0.0245326,33,21.0409,0.0704282,1,53.1962,-0.553257,0.0597195
76,0.483467,79,0.600825,0.0001,1,94.9974,-0.0914138,0.0597195
77,0.394662,95,74.9463,0.0833549,0,75.0025,-0.684234,0.0597195
78,0.394655,95,50.2511,0.0837721,1,75.0025,-0.643066,0.0597195
79,0.288199,94,0.710932,0.286385,1,72.6458,-0.613973,0.0597195
80,0.324375,96,10.5802,0.329791,1,76.8486,-0.552225,0.0597195
81,0.423549,95,13.8569,0.246849,1,67.4038,-0.549389,0.0597195
82,0.251367,24,63.8356,0.243274,1,14.9261,-0.619126,0.0597195
83,0.312557,29,44.8021,0.268636,1,16.5279,-0.618657,0.0597195
84,0.16016,16,26.6688,0.179919,1,73.0092,-0.575346,0.0597195
85,0.219152,15,22.1154,0.233392,1,75.1099,-0.519241,0.0597195
86,0.151083,5,7.83748,0.26219,1,72.9619,-0.592177,0.0597195
87,0.223407,16,14.6146,0.291419,1,78.3004,-0.58316,0.0597195
88,0.389044,8,37.534,0.000533679,1,9.57921,-0.5913,0.0597195
89,0.222202,6,66.1374,0.0259284,1,16.2658,-0.548276,0.0597195
