env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-deterministic-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.205942,50,10.7595,0.199235,0,40.4269,76.941,76.7009,-0.609757,-0.609757
1,0.476566,70,55.0015,0.261342,0,57.6352,99.096,92.2666,-0.613083,-0.609757
2,0.365956,23,43.6351,0.238089,1,36.8193,11.4824,5.1538,-0.667537,-0.609757
3,0.322808,52,29.6186,0.144841,1,7.32522,62.6343,31.3043,-0.564674,-0.564674
4,0.112668,17,78.7797,0.429981,0,84.3832,53.2276,21.8583,-0.618568,-0.564674
5,0.0283707,34,86.4013,0.329345,0,73.3104,9.98462,45.4507,-0.638383,-0.564674
6,0.178332,4,33.059,0.0565087,1,63.7485,21.7585,59.1074,-0.600432,-0.564674
7,0.449952,90,61.4512,0.0291934,1,91.7798,80.4698,16.5223,-0.572963,-0.564674
8,0.0571339,85,92.4208,0.488687,1,15.4085,42.6698,86.6196,-0.574474,-0.564674
9,0.279844,73,7.83873,0.38271,0,23.2762,34.3087,69.8298,-0.539161,-0.539161
10,0.499987,79,0.022451,0.000154098,0,11.4768,7.92686,0.020904,-0.113787,-0.113787
11,0.499991,93,0.0209057,0.00014939,0,0.01,0.001,0.0187433,-0.311496,-0.113787
12,0.499997,81,0.0222709,0.000154978,1,99.9968,0.00826719,0.023493,-0.0366881,-0.0366881
13,0.499999,81,99.9979,0.000147542,1,99.9975,0.00660947,0.0206575,-0.613308,-0.0366881
14,0.499988,64,0.0163167,0.000148315,1,99.9978,0.0117779,0.0216462,-0.10628,-0.0366881
15,0.499996,64,0.0159304,0.000145305,1,99.9978,0.00764094,0.0210603,-0.0241857,-0.0241857
16,0.499998,66,0.0166339,0.000154377,0,99.9955,0.0103639,0.0192201,-0.0940768,-0.0241857
17,0.499995,62,0.0192646,0.000145921,1,99.9976,0.00740782,0.0209565,-0.124367,-0.0241857
18,0.499996,66,0.0201719,0.000133383,1,0.01,0.0105464,0.0155634,-0.0750826,-0.0241857
19,0.499993,66,0.0161558,0.000149349,1,0.0202382,0.0086122,0.0194251,-0.0537811,-0.0241857
