env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,35.1348,29,-1.12386,-1.12386
1,61.2867,37,-1.10032,-1.10032
2,56.7998,51,-1.13155,-1.10032
3,81.0107,45,-1.10473,-1.10032
4,16.6828,71,-1.10604,-1.10032
5,3.09627,61,-1.1078,-1.10032
6,42.5263,95,-1.10703,-1.10032
7,73.7156,13,-1.10792,-1.10032
8,90.8875,10,-1.09317,-1.09317
9,24.6702,81,-1.11349,-1.09317
10,100,99,-1.11577,-1.09317
11,100,1,-1.10524,-1.09317
12,0.01,1,-1.10279,-1.09317
13,100,1,-1.11199,-1.09317
14,0.01,99,-1.12437,-1.09317
15,100,99,-1.11996,-1.09317
16,100,1,-1.111,-1.09317
17,74.1401,1,-1.12815,-1.09317
18,0.01,1,-1.11753,-1.09317
19,100,99,-1.1123,-1.09317
20,91.0745,12,-1.0925,-1.0925
21,93.8563,11,-1.10576,-1.0925
22,86.5055,11,-1.09866,-1.0925
23,88.0848,13,-1.12127,-1.0925
24,92.4602,8,-1.11692,-1.0925
25,69.7104,39,-1.09931,-1.0925
26,76.7392,40,-1.10015,-1.0925
27,70.9359,36,-1.10963,-1.0925
28,84.6473,40,-1.0942,-1.0925
29,84.1819,39,-1.12009,-1.0925
30,84.0734,10,-1.10033,-1.0925
31,66.1846,40,-1.11309,-1.0925
32,51.2993,59,-1.11374,-1.0925
33,67.1284,40,-1.10633,-1.0925
34,81.4285,11,-1.1169,-1.0925
35,97.1749,10,-1.11292,-1.0925
36,58.0647,39,-1.11442,-1.0925
37,99.0064,12,-1.10844,-1.0925
38,36.8376,71,-1.1065,-1.0925
39,11.2468,69,-1.11402,-1.0925
40,50.6475,72,-1.0945,-1.0925
41,89.387,11,-1.10061,-1.0925
42,88.4673,10,-1.11644,-1.0925
43,89.5852,11,-1.10805,-1.0925
44,47.9403,72,-1.09597,-1.0925
45,51.3934,72,-1.08555,-1.08555
46,52.6134,72,-1.10418,-1.08555
47,54.1036,73,-1.12159,-1.08555
48,27.1488,72,-1.1282,-1.08555
49,47.4308,71,-1.11205,-1.08555
50,51.4416,93,-1.1034,-1.08555
51,50.5319,72,-1.11298,-1.08555
52,71.3564,40,-1.09757,-1.08555
53,71.6853,39,-1.13375,-1.08555
54,26.7729,11,-1.10265,-1.08555
55,71.6989,39,-1.10238,-1.08555
