env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,1,MIN
MAX,100,100,MAX
0,29.5115,67,-0.497053,-0.497053
1,88.6468,29,-0.641824,-0.497053
2,15.2742,5,-0.49856,-0.497053
3,77.9472,44,-0.486642,-0.486642
4,96.1681,37,-0.49369,-0.486642
5,49.9421,20,-0.632437,-0.486642
6,4.45214,95,-0.743476,-0.486642
7,52.7693,79,-0.495678,-0.486642
8,34.0437,55,-0.358481,-0.358481
9,65.2471,86,-0.600198,-0.358481
10,99.9981,56,-0.642753,-0.358481
11,0.01,49,-0.468959,-0.358481
12,100,1,-0.574426,-0.358481
13,0.01,63,-0.45805,-0.358481
14,0.01,49,-0.434786,-0.358481
15,0.01,57,-0.748356,-0.358481
16,0.0196627,41,-0.626066,-0.358481
17,99.998,72,-0.894593,-0.358481
18,0.01,1,-0.426323,-0.358481
19,0.01,1,-0.454709,-0.358481
20,38.0399,54,-0.400554,-0.358481
21,35.1988,56,-0.596184,-0.358481
22,33.2414,53,-0.44161,-0.358481
23,42.2274,53,-0.765141,-0.358481
24,25.9043,54,-0.787645,-0.358481
25,11.2676,48,-0.789914,-0.358481
26,5.92704,2,-0.371301,-0.358481
27,0.751203,3,-0.397713,-0.358481
28,8.44305,2,-0.382643,-0.358481
29,7.39738,3,-0.450326,-0.358481
30,4.24312,1,-0.35933,-0.358481
31,10.3142,83,-0.37105,-0.358481
32,4.31656,1,-0.522663,-0.358481
33,3.66395,4,-0.524582,-0.358481
34,11.124,81,-0.618466,-0.358481
35,9.02859,85,-0.72754,-0.358481
36,10.9128,1,-0.488841,-0.358481
37,9.49672,4,-0.585141,-0.358481
38,83.5943,42,-0.596881,-0.358481
39,0.019428,66,-0.351511,-0.351511
40,1.29318,66,-0.383112,-0.351511
41,0.0194018,65,-0.454157,-0.351511
42,0.0295166,66,-0.373755,-0.351511
43,0.0191431,66,-0.507067,-0.351511
44,0.0550544,64,-0.35684,-0.351511
45,0.0484025,64,-0.481013,-0.351511
46,3.33343,65,-0.627698,-0.351511
47,0.0122676,63,-0.500791,-0.351511
48,0.0160052,67,-0.490681,-0.351511
49,13.5179,83,-0.747012,-0.351511
50,6.01729,83,-0.881697,-0.351511
51,35.3372,52,-0.763313,-0.351511
52,1.75729,1,-0.480151,-0.351511
53,13.0625,23,-0.622356,-0.351511
54,0.0188769,4,-0.49719,-0.351511
