env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.36802,93,52.7803,0.174867,0,70.2094,-1.05599,-1.05599
1,0.12466,53,36.5093,0.462916,1,13.9976,-1.01217,-1.01217
2,0.305345,78,62.1186,0.267581,0,35.1801,-1.03538,-1.01217
3,0.408342,46,4.32746,0.129273,0,21.0272,-1.05524,-1.01217
4,0.18308,34,48.3164,0.34523,1,47.6058,-1.02267,-1.01217
5,0.280212,25,98.5287,0.352285,0,66.5802,-1.07116,-1.01217
6,0.493432,84,10.7184,0.41396,0,96.2175,-1.00174,-1.00174
7,0.0723056,6,70.7042,0.205391,1,89.764,-1.00443,-1.00174
8,0.232169,66,26.5986,0.0685518,1,54.0382,-1.06673,-1.00174
9,0.0433874,17,80.8681,0.0204745,1,0.864989,-1.03963,-1.00174
10,0.5,99,0.01,0.5,0,100,-1.02017,-1.00174
11,0.0989225,99,0.0187719,0.499988,0,99.9975,-0.980275,-0.980275
12,0.09118,99,0.0181957,0.499989,0,99.9982,-0.985521,-0.980275
13,0.104211,99,0.0187478,0.499988,0,99.9976,-0.963923,-0.963923
14,0.114144,99,0.0192634,0.000143495,0,99.9986,-0.808484,-0.808484
15,0.5,1,100,0.0001,1,0.01,-1.04375,-0.808484
16,0.435882,64,96.0049,0.455305,1,98.8632,-1.04827,-0.808484
17,0.139882,99,100,0.0001,0,100,-1.03703,-0.808484
18,0.107488,99,0.124898,0.0001,1,0.01,-0.769478,-0.769478
19,0.0001,99,0.01,0.000110776,1,0.0134631,-0.57077,-0.57077
20,0.0001,1,0.01,0.0001,1,0.01,-0.966027,-0.57077
21,0.0001,99,0.01,0.0001,0,100,-0.840227,-0.57077
22,0.0001,99,27.2625,0.0001,1,0.01,-1.01377,-0.57077
23,0.0001,1,0.01,0.255875,1,100,-0.971694,-0.57077
24,0.311286,37,0.190598,0.498672,1,61.8444,-0.994651,-0.57077
25,0.0001,99,0.01,0.5,1,0.01,-1.04338,-0.57077
26,0.176605,99,0.01,0.0001,0,0.01,-0.577644,-0.57077
27,0.215527,99,0.01,0.0001,0,100,-0.970539,-0.57077
28,0.0001,99,0.01,0.0001,0,0.01,-0.738871,-0.57077
29,0.0961131,99,0.01,0.0001,0,0.01,-0.850021,-0.57077
30,0.499112,1,35.5516,0.00201736,0,0.644533,-1.065,-0.57077
31,0.498224,99,77.8508,0.0001,1,0.835506,-1.0339,-0.57077
32,0.405967,84,0.146958,0.110791,1,77.3759,-1.01235,-0.57077
33,0.494715,79,80.9956,0.00823341,1,1.54897,-1.08048,-0.57077
34,0.0316261,1,20.1613,0.0735336,1,100,-1.04207,-0.57077
35,0.446642,38,56.4478,0.0001,1,100,-1.06394,-0.57077
36,0.499037,1,62.9938,0.5,0,0.01,-1.05714,-0.57077
37,0.326761,99,83.9553,0.5,0,1.11141,-1.0368,-0.57077
38,0.228512,46,74.2859,0.499718,1,5.99456,-1.04293,-0.57077
39,0.210552,46,100,0.0298059,0,84.0016,-1.04124,-0.57077
40,0.447553,99,79.195,0.236739,0,99.5931,-1.06077,-0.57077
41,0.398289,98,16.7874,0.301202,1,46.8412,-1.00722,-0.57077
42,0.413253,13,26.323,0.240712,1,78.3387,-1.01431,-0.57077
43,0.294289,18,100,0.165554,0,31.0541,-1.03294,-0.57077
44,0.265439,6,43.6178,0.155078,1,39.4212,-1.01012,-0.57077
45,0.393154,99,62.3438,0.404828,1,82.539,-1.07874,-0.57077
46,0.375025,17,50.005,0.25005,1,16.675,-1.04248,-0.57077
47,0.12009,97,79.4551,0.141616,1,58.9003,-1.03172,-0.57077
48,0.166365,95,57.0416,0.0754262,0,89.4975,-1.04172,-0.57077
49,0.266827,47,32.717,0.385517,1,95.9491,-1.03469,-0.57077
50,0.322546,99,27.2533,0.174123,0,12.9323,-1.0489,-0.57077
51,0.394749,16,96.6543,0.248867,1,75.0025,-1.04321,-0.57077
52,0.175735,60,0.749026,0.348885,1,15.3719,-1.0308,-0.57077
53,0.432013,1,19.2151,0.5,1,0.01,-1.0512,-0.57077
54,0.0279314,75,33.6042,0.371849,0,68.0468,-1.00504,-0.57077
55,0.000764343,99,0.01,0.000218534,1,0.0792891,-0.654873,-0.57077
56,0.109582,30,0.01,0.224872,1,1.89584,-1.01955,-0.57077
57,0.283089,50,20.8734,0.499689,1,97.8459,-1.06296,-0.57077
58,0.225988,87,35.1532,0.28504,1,7.28915,-1.01561,-0.57077
59,0.000420999,99,0.01,0.000336637,1,0.080148,-0.593404,-0.57077
60,0.43051,12,74.4926,0.392997,1,77.4205,-1.0454,-0.57077
61,0.167049,99,11.5269,0.0001,1,97.7869,-0.976942,-0.57077
62,0.222222,45,80.2903,0.301909,1,11.3978,-1.02441,-0.57077
63,0.369673,1,16.5264,0.367283,1,16.4748,-1.02728,-0.57077
64,0.375101,17,49.9015,0.486648,1,99.8061,-1.01639,-0.57077
65,0.187399,97,0.0976009,0.237269,1,97.4848,-0.968899,-0.57077
66,0.243997,62,15.4537,0.237585,1,15.846,-1.05032,-0.57077
67,0.395521,51,66.3579,0.106876,1,13.527,-1.04487,-0.57077
68,0.23501,99,38.7002,0.251085,1,100,-1.02497,-0.57077
69,0.240132,32,0.01,0.0001,1,100,-0.902476,-0.57077
70,0.309729,10,11.559,0.00377238,0,99.9621,-1.01542,-0.57077
71,0.222099,1,35.4357,0.0001,1,100,-1.01706,-0.57077
72,0.230462,17,50.005,0.08406,0,75.0025,-1.04329,-0.57077
73,0.356204,99,52.4772,0.499222,1,1.07732,-1.00891,-0.57077
74,0.466808,2,56.9389,0.388725,0,40.0861,-1.01578,-0.57077
75,0.341212,12,66.4588,0.292264,0,100,-1.04868,-0.57077
76,0.48037,12,43.2975,0.192101,0,66.7165,-1.02535,-0.57077
77,0.132244,99,100,0.173063,1,100,-1.0544,-0.57077
78,0.0001,1,77.8856,0.0514263,0,100,-1.04589,-0.57077
79,0.00088863,99,0.01,0.000175285,1,0.076218,-0.972953,-0.57077
80,0.341213,13,85.0326,0.147025,0,69.3273,-1.04472,-0.57077
81,0.138676,5,64.4101,0.313216,0,92.8776,-1.03345,-0.57077
82,0.399155,99,100,0.316919,1,59.0375,-1.02419,-0.57077
83,0.5,99,0.01,0.0001,1,2.83841,-0.749285,-0.57077
84,0.5,62,0.01,0.0001,1,0.01,-0.524999,-0.524999
85,0.0001,62,0.01,0.0001,1,0.01,-0.716827,-0.524999
86,0.5,65,0.01,0.0001,1,0.01,-0.481175,-0.481175
87,0.5,99,0.01,0.0001,1,0.01,-0.636584,-0.481175
88,0.499788,46,0.0398187,0.000343281,1,0.0959162,-0.632455,-0.481175
89,0.499658,59,0.0237917,0.0001,1,0.0757382,-0.522302,-0.481175
90,0.5,64,0.01,0.0001,0,0.01,-0.479494,-0.479494
91,0.499951,62,0.01,0.000108766,0,0.0492687,-0.590105,-0.479494
92,0.499913,63,0.01,0.000193086,0,0.0734684,-0.414288,-0.414288
