env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
minecart-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.264455,42,27.0798,0.384413,0,49.0498,17.1109,50.324,-1.01574,-1.01574
1,0.0937555,20,38.157,0.16193,1,76.0527,74.6279,60.9131,-1.01022,-1.01022
2,0.146607,67,49.0052,0.125145,0,15.4694,2.12569,70.8667,-1.08527,-1.01022
3,0.328911,73,8.16827,0.405071,0,21.4576,41.89,42.2965,-1.06196,-1.01022
4,0.15617,92,58.1007,0.257436,1,36.7253,98.7694,0.680911,-1.0596,-1.01022
5,0.211704,28,85.4625,0.0134671,1,63.2629,50.1431,12.7698,-1.04608,-1.01022
6,0.404684,52,66.8479,0.320097,0,6.39585,25.7508,98.8732,-1.04102,-1.01022
7,0.377639,85,15.0578,0.215565,1,92.8161,88.8696,21.9323,-1.08571,-1.01022
8,0.00666476,5,97.2585,0.0699998,1,53.7157,68.5722,89.3473,-1.01667,-1.01022
9,0.497468,33,74.1026,0.497005,0,81.9403,38.2267,32.7586,-1.06979,-1.01022
10,0.0296326,4,92.7191,0.0511178,1,65.6163,73.9958,100,-1.04843,-1.01022
11,0.000148358,1,99.9989,0.000148242,1,99.9996,18.1118,0.0194058,-1.04374,-1.01022
12,0.265844,65,0.01,0.5,1,100,73.9849,0.01,-1.02675,-1.01022
13,0.0665933,10,0.01,0.0001,0,79.0856,72.9873,0.01,-0.991839,-0.991839
14,0.499992,99,0.0195814,0.499992,1,0.0203664,14.2077,99.9974,-0.956802,-0.956802
15,0.499991,99,0.0197178,0.499991,1,0.0202807,12.2462,99.9974,-0.958086,-0.956802
16,0.499991,99,0.0195181,0.499992,1,0.0199794,12.2376,99.9975,-0.961732,-0.956802
17,0.499991,99,0.0194978,0.499992,1,0.0200291,12.293,99.9975,-1.01557,-0.956802
18,0.499991,99,0.0197352,0.499992,1,0.0199104,15.9803,99.9974,-0.98015,-0.956802
19,0.49999,99,0.0195126,0.000151317,1,0.0201726,13.4285,99.9975,-0.881956,-0.881956
20,0.5,99,100,0.5,0,100,100,100,-1.02728,-0.881956
21,0.0001,99,0.01,0.0001,0,100,100,100,-0.569044,-0.569044
