env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
frozen_lake_(map=8x8,dense),uct,50000,10000,1,5,16

hp_opt_iter,adaptive_bias,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0,0.001,MIN
MAX,1,1000,MAX
0,1,787.202,-48,-48
1,0,0.363001,-23.2,-23.2
2,1,0.168496,-43.2,-23.2
3,0,6.36819,-39.4,-23.2
4,0,190.089,-44,-23.2
5,1,20.2366,-48,-23.2
6,1,0.00303193,-27,-23.2
7,0,0.00844911,-39.2,-23.2
8,0,1.7768,-24.2,-23.2
9,1,0.0177621,-20.8,-20.8
10,1,0.001,-34.2,-20.8
11,0,0.001,-33.8,-20.8
12,1,0.001,-29,-20.8
13,0,0.001,-34.4,-20.8
14,1,0.001,-31.8,-20.8
15,1,0.0485234,-29,-20.8
16,1,0.0476485,-35.4,-20.8
17,0,0.001,-32,-20.8
18,1,0.001,-28.4,-20.8
19,0,0.0566808,-23.8,-20.8
20,0,0.0989957,-26,-20.8
21,0,0.0958234,-30.4,-20.8
22,1,0.239078,-48,-20.8
23,0,0.0161897,-32.6,-20.8
24,0,0.0162817,-29,-20.8
25,0,0.570215,-19.8,-19.8
26,0,0.673195,-19.2,-19.2
27,0,0.740726,-17.8,-17.8
28,0,0.920266,-30.2,-17.8
29,0,0.894233,-22.6,-17.8
30,0,2.50333,-38.4,-17.8
31,0,0.301017,-22.6,-17.8
32,0,0.302283,-24,-17.8
33,0,0.373502,-23.4,-17.8
34,1,0.00715387,-25,-17.8
35,1,0.00828632,-25.2,-17.8
36,1,0.00100135,-33.6,-17.8
37,0,0.299866,-23.6,-17.8
38,0,0.446355,-23,-17.8
39,1,0.00718445,-25.6,-17.8
40,0,0.447197,-24.4,-17.8
41,1,0.0151104,-19.6,-17.8
42,1,0.0145163,-19.4,-17.8
43,1,0.0121523,-22.6,-17.8
44,1,0.0190677,-21.2,-17.8
45,1,0.0186022,-20,-17.8
46,1,0.0127885,-24.2,-17.8
47,1,0.0226986,-17.8,-17.8
48,1,0.0226464,-20.6,-17.8
49,1,0.0219567,-18.6,-17.8
50,1,0.0242773,-30.6,-17.8
51,1,0.0136751,-20.6,-17.8
52,0,0.029845,-28.8,-17.8
53,1,0.0153363,-21.8,-17.8
54,0,0.747229,-18.4,-17.8
55,0,0.737665,-19,-17.8
56,0,0.74135,-19.6,-17.8
57,0,0.740602,-20.4,-17.8
58,0,0.704012,-21.2,-17.8
59,0,0.833053,-20,-17.8
60,0,0.85537,-25.8,-17.8
61,0,0.57897,-22.8,-17.8
62,0,0.624632,-19.4,-17.8
63,0,0.628483,-21,-17.8
64,0,0.621027,-21.2,-17.8
65,0,0.575179,-21.8,-17.8
66,0,0.627364,-20.8,-17.8
67,1,0.0170776,-20.2,-17.8
68,1,0.0152854,-22.8,-17.8
69,1,0.0172641,-20.6,-17.8
70,1,0.0145645,-21.8,-17.8
71,1,0.01897,-21,-17.8
72,0,0.86126,-20.4,-17.8
73,0,0.623862,-20.2,-17.8
74,1,1.00064,-37.4,-17.8
75,0,0.58112,-19.2,-17.8
76,0,0.579799,-20.4,-17.8
77,0,0.578711,-28,-17.8
78,1,0.0188629,-18.2,-17.8
79,1,0.0188246,-21.2,-17.8
80,1,0.0132298,-23.6,-17.8
81,0,0.787346,-20,-17.8
82,0,0.782676,-19.8,-17.8
83,0,0.622352,-20,-17.8
84,1,0.012389,-20.2,-17.8
85,1,0.0203503,-25.8,-17.8
86,0,0.820678,-19.6,-17.8
87,0,0.601651,-20.4,-17.8
88,0,0.845533,-20.4,-17.8
89,1,0.0110171,-23.4,-17.8
90,0,0.596014,-21.4,-17.8
91,0,0.88355,-18.8,-17.8
92,0,0.881442,-19.6,-17.8
93,0,0.877661,-23.6,-17.8
94,1,0.0132313,-21.4,-17.8
95,0,0.57622,-19.8,-17.8
96,0,0.577346,-20.8,-17.8
97,1,0.0143003,-21.4,-17.8
98,0,0.579646,-20.2,-17.8
99,1,0.0134243,-22.6,-17.8
100,1,0.011475,-22.6,-17.8
101,0,0.884895,-20.2,-17.8
102,0,0.604783,-23.2,-17.8
103,0,0.953504,-20,-17.8
104,0,0.949607,-18.6,-17.8
105,0,0.947561,-19.8,-17.8
106,0,0.941202,-19.4,-17.8
107,0,0.75621,-21,-17.8
108,1,0.0198295,-20.2,-17.8
109,0,0.995271,-24.8,-17.8
110,1,0.0168353,-21.2,-17.8
111,1,0.0187803,-18.2,-17.8
112,1,0.0187445,-25,-17.8
113,1,0.0140521,-20,-17.8
114,1,0.0117655,-21.6,-17.8
115,1,0.0168931,-23,-17.8
116,1,0.00793021,-25,-17.8
117,0,0.0164018,-31.2,-17.8
118,0,0.584453,-21.8,-17.8
119,0,0.673408,-21.4,-17.8
120,1,0.0127405,-22.6,-17.8
121,0,0.577461,-19,-17.8
122,1,0.0239707,-19,-17.8
123,0,0.624101,-19.8,-17.8
124,0,0.578524,-20.6,-17.8
125,0,0.659184,-21.4,-17.8
126,1,0.0243029,-26.2,-17.8
127,1,0.0140099,-19.8,-17.8
128,1,0.0140173,-21.4,-17.8
129,0,0.970075,-19.4,-17.8
130,0,0.954059,-23,-17.8
131,1,0.0188647,-25.8,-17.8
132,1,0.0100211,-21.4,-17.8
133,1,0.00386965,-29,-17.8
134,0,0.580171,-22,-17.8
135,0,0.691957,-18.4,-17.8
136,0,0.691931,-21,-17.8
137,0,0.531434,-22,-17.8
138,1,0.0143694,-19.8,-17.8
139,1,0.014378,-22.2,-17.8
140,0,0.788305,-19.6,-17.8
141,0,1.02811,-18.4,-17.8
142,0,0.834529,-20.4,-17.8
143,0,0.773029,-16.8,-16.8
144,0,0.0481281,-32.8,-16.8
145,1,0.00519776,-27.4,-16.8
146,1,97.7678,-48,-16.8
147,0,1.2565,-30.2,-16.8
148,0,0.201837,-27.4,-16.8
149,1,0.0105175,-24.2,-16.8
150,1,0.00691081,-24.4,-16.8
151,0,0.901656,-18.6,-16.8
152,0,0.900441,-17.8,-16.8
153,0,0.899808,-20,-16.8
154,0,0.895142,-21,-16.8
155,0,0.62138,-19.6,-16.8
156,0,0.965528,-18.6,-16.8
157,0,0.715511,-19.2,-16.8
158,0,0.714055,-18.8,-16.8
159,0,0.997956,-19.2,-16.8
160,0,0.715345,-22.2,-16.8
161,0,1.04476,-24.6,-16.8
162,1,2.46785,-48,-16.8
163,0,0.526282,-21.8,-16.8
164,0,0.626647,-20.8,-16.8
165,0,0.474208,-22,-16.8
166,0,0.00258587,-34.6,-16.8
167,0,0.826468,-20.4,-16.8
168,0,1.10107,-21.4,-16.8
169,0,1000,-48,-16.8
170,1,0.01,-21.4,-16.8
171,1,0.0200784,-25.6,-16.8
172,1,0.01,-24,-16.8
173,1,0.030561,-29.6,-16.8
174,0,1.10683,-18.8,-16.8
175,0,0.620387,-21.6,-16.8
176,0,1.08852,-24.4,-16.8
177,1,0.01,-21.4,-16.8
178,1,0.01,-20.4,-16.8
179,1,0.00934149,-22,-16.8
180,1,0.0118597,-25.6,-16.8
181,0,0.0370426,-34.8,-16.8
182,0,0.767052,-18.6,-16.8
183,0,0.75892,-19.2,-16.8
184,0,0.755451,-21,-16.8
185,0,0.0118597,-32.8,-16.8
186,0,1,-24.8,-16.8
187,0,0.215443,-23.6,-16.8
188,1,0.00354811,-25.8,-16.8
189,1,0.01,-25.2,-16.8
190,0,0.215443,-27.6,-16.8
191,1,0.00455743,-30.8,-16.8
192,0,0.548016,-23,-16.8
193,0,0.599484,-22.2,-16.8
194,0,19.3202,-42.4,-16.8
195,0,0.756977,-20.4,-16.8
196,0,1,-23.6,-16.8
197,0,0.759807,-21.6,-16.8
198,0,0.754196,-21.2,-16.8
199,0,0.608114,-19.2,-16.8

Best eval with params:
eval (mc_estimate_expected_utility) = -16.8
bias = 0.773029
adaptive_bias = 0
