hp_opt_iter,replicate,adaptive_bias,bias,eval(mc_estimate_expected_utility)
0,0,0,0.0134513,-43
0,1,0,0.0134513,-34
0,2,0,0.0134513,-36
0,3,0,0.0134513,-21
0,4,0,0.0134513,-28
1,0,1,2.73322,-48
1,1,1,2.73322,-48
1,2,1,2.73322,-48
1,3,1,2.73322,-48
1,4,1,2.73322,-48
2,0,0,0.0373857,-32
2,1,0,0.0373857,-36
2,2,0,0.0373857,-26
2,3,0,0.0373857,-40
2,4,0,0.0373857,-29
3,0,1,0.672878,-48
3,1,1,0.672878,-48
3,2,1,0.672878,-48
3,3,1,0.672878,-48
3,4,1,0.672878,-48
4,0,1,0.00141684,-31
4,1,1,0.00141684,-26
4,2,1,0.00141684,-30
4,3,1,0.00141684,-32
4,4,1,0.00141684,-29
5,0,0,4.47901,-48
5,1,0,4.47901,-48
5,2,0,4.47901,-48
5,3,0,4.47901,-48
5,4,0,4.47901,-48
6,0,1,190.035,-48
6,1,1,190.035,-48
6,2,1,190.035,-48
6,3,1,190.035,-48
6,4,1,190.035,-48
7,0,1,0.0978214,-23
7,1,1,0.0978214,-48
7,2,1,0.0978214,-48
7,3,1,0.0978214,-48
7,4,1,0.0978214,-20
