env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
frozen_lake_(map=8x8,sparse),uct,50000,10000,1,5,16

hp_opt_iter,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,MIN
MAX,10000,MAX
0,4151.46,0,0
1,2029.63,0,0
2,9313.38,0,0
3,299.733,0,0
4,8067.49,0,0
5,1127.27,0,0
6,7230.8,0.143546,0.143546
7,5359.79,0,0.143546
8,6156.51,0,0.143546
9,3400,0.154009,0.154009
10,10000,0,0.154009
11,0.01,0.804514,0.804514
12,0.01,0.753255,0.804514
13,0.01,0.76114,0.804514
14,0.01,0.760512,0.804514
15,0.01,0.781439,0.804514
16,0.01,0.801742,0.804514
17,0.01,0.742599,0.804514
18,0.01,0.762824,0.804514
19,0.01,0.800222,0.804514
20,25.759,0,0.804514
21,0.01,0.778168,0.804514
22,0.01,0.767788,0.804514
23,0.01,0.800333,0.804514
24,0.01,0.780067,0.804514
25,0.01,0.814866,0.814866
26,0.01,0.742999,0.814866
27,0.01,0.790388,0.814866
28,0.01,0.770058,0.814866
29,0.01,0.792188,0.814866
30,0.01,0.78019,0.814866
31,4753.61,0.168589,0.814866
32,0.01,0.752185,0.814866
33,0.01,0.760751,0.814866
34,0.01,0.757424,0.814866
35,0.01,0.770823,0.814866
36,0.01,0.786477,0.814866
37,0.01,0.788661,0.814866
38,0.01,0.739895,0.814866
39,0.01,0.805553,0.814866
40,0.01,0.761958,0.814866
41,0.01,0.76464,0.814866
42,0.01,0.779248,0.814866
43,0.01,0.781438,0.814866
44,0.01,0.788132,0.814866
45,0.01,0.790826,0.814866
46,0.01,0.771645,0.814866
47,0.01,0.760248,0.814866
48,0.01,0.785982,0.814866
49,0.01,0.779183,0.814866
50,0.01,0.766439,0.814866
51,2777.79,0.127237,0.814866
52,0.01,0.795078,0.814866
53,4725.91,0,0.814866
54,0.01,0.763696,0.814866
55,0.01,0.761681,0.814866
56,0.01,0.791216,0.814866
57,0.01,0.756567,0.814866
58,0.01,0.785218,0.814866
59,0.01,0.754241,0.814866
60,0.01,0.771049,0.814866
61,0.01,0.777052,0.814866
62,0.01,0.796389,0.814866
63,0.01,0.810767,0.814866
64,0.01,0.761263,0.814866
65,0.01,0.766432,0.814866
66,0.01,0.800112,0.814866
67,0.01,0.799473,0.814866
68,0.01,0.761198,0.814866
69,0.01,0.797899,0.814866
70,0.01,0.798967,0.814866
71,0.01,0.773545,0.814866
72,0.01,0.791648,0.814866
73,0.01,0.778324,0.814866
74,0.01,0.782321,0.814866
75,6164.7,0,0.814866
76,0.01,0.795555,0.814866
77,0.01,0.778693,0.814866
78,0.01,0.809183,0.814866
79,0.01,0.755144,0.814866
80,4.63943,0,0.814866
81,0.01,0.780117,0.814866
82,0.01,0.766649,0.814866
83,0.01,0.75855,0.814866
84,0.01,0.794908,0.814866
85,0.01,0.773904,0.814866
86,0.01,0.765563,0.814866
87,0.01,0.784517,0.814866
88,0.01,0.800027,0.814866
89,0.01,0.778104,0.814866
90,5.00537,0.325856,0.814866
91,0.01,0.797179,0.814866
92,0.01,0.781324,0.814866
93,0.01,0.765685,0.814866
94,4986.29,0.163581,0.814866
95,0.01,0.761736,0.814866
96,0.01,0.752005,0.814866
97,6702.29,0,0.814866
98,0.01,0.776642,0.814866
99,0.01,0.787855,0.814866
100,0.01,0.812575,0.814866
101,0.01,0.791082,0.814866
102,0.01,0.801936,0.814866
103,0.01,0.790807,0.814866
104,0.01,0.772451,0.814866
105,0.01,0.769823,0.814866
106,0.01,0.761141,0.814866
107,0.01,0.760498,0.814866
108,0.01,0.780521,0.814866
109,0.01,0.805881,0.814866
110,0.01,0.729937,0.814866
111,0.01,0.774134,0.814866
112,0.01,0.765782,0.814866
113,0.01,0.763155,0.814866
114,0.01,0.791169,0.814866
115,0.01,0.795586,0.814866
116,0.01,0.805418,0.814866
117,0.01,0.763064,0.814866
118,0.01,0.768052,0.814866
119,1453.37,0,0.814866
120,8703.7,0,0.814866
121,8374.49,0,0.814866
122,555.565,0.154009,0.814866
123,0.01,0.737514,0.814866
124,0.01,0.767171,0.814866
125,0.01,0.762543,0.814866
126,0.01,0.798205,0.814866
127,0.01,0.818892,0.818892
128,0.01,0.802034,0.818892
129,0.01,0.775611,0.818892
130,0.01,0.78453,0.818892
131,0.01,0.786407,0.818892
132,0.01,0.770292,0.818892
133,0.01,0.795895,0.818892
134,0.01,0.805032,0.818892
135,0.01,0.761479,0.818892
136,0.01,0.761126,0.818892
137,0.01,0.79068,0.818892
138,0.01,0.777413,0.818892
139,0.01,0.771298,0.818892
140,0.01,0.78773,0.818892
141,2493.72,0,0.818892
142,0.01,0.755135,0.818892
143,0.01,0.783369,0.818892
144,0.01,0.750705,0.818892
145,0.01,0.779959,0.818892
146,0.01,0.750944,0.818892
147,3888.89,0,0.818892
148,0.01,0.788515,0.818892
149,0.01,0.799022,0.818892
150,0.01,0.789293,0.818892
151,0.01,0.782238,0.818892
152,0.01,0.782306,0.818892
153,0.01,0.780606,0.818892
154,0.01,0.805033,0.818892
155,0.01,0.742855,0.818892
156,0.01,0.766248,0.818892
157,0.01,0.726966,0.818892
158,0.01,0.770904,0.818892
159,3132.72,0,0.818892
160,0.01,0.777996,0.818892
161,0.01,0.783931,0.818892
162,0.01,0.803324,0.818892
163,3534.67,0.157136,0.818892
164,0.01,0.787014,0.818892
165,0.01,0.747414,0.818892
166,0.01,0.800613,0.818892
167,0.01,0.76955,0.818892
168,0.01,0.804996,0.818892
169,0.01,0.764555,0.818892
170,0.01,0.778183,0.818892
171,0.01,0.784139,0.818892
172,0.01,0.760707,0.818892
173,0.01,0.807601,0.818892
174,0.01,0.759649,0.818892
175,0.01,0.763443,0.818892
176,0.01,0.766994,0.818892
177,0.01,0.77526,0.818892
178,0.01,0.726518,0.818892
179,0.01,0.767335,0.818892
180,0.01,0.76422,0.818892
181,0.01,0.755897,0.818892
182,0.01,0.788365,0.818892
183,447.54,0.150944,0.818892
184,0.01,0.780074,0.818892
185,368.754,0.129821,0.818892
186,1790.13,0,0.818892
187,0.01,0.782124,0.818892
188,0.01,0.768845,0.818892
189,0.01,0.775206,0.818892
190,2268.53,0.160326,0.818892
191,1296.31,0,0.818892
192,0.01,0.774409,0.818892
193,0.01,0.784186,0.818892
194,9861.11,0,0.818892
195,0.01,0.751263,0.818892
196,0.01,0.789249,0.818892
197,0.01,0.775597,0.818892
198,0.01,0.783073,0.818892
199,0.01,0.79152,0.818892
200,0.01,0.781654,0.818892
201,0.01,0.752713,0.818892
202,0.01,0.776694,0.818892
203,0.01,0.76812,0.818892
204,5.55544,0.155564,0.818892
205,9027.78,0.154009,0.818892
206,9444.44,0,0.818892
207,7430.35,0,0.818892
208,9444.44,0,0.818892

Best eval with params:
eval (mc_estimate_expected_utility) = 0.818892
bias = 0.01
