env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
frozen_lake_(map=8x8,sparse),uct,50000,10000,1,5,16

hp_opt_iter,adaptive_bias,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0,0.001,MIN
MAX,1,1000,MAX
0,0,1.68519,0.461114,0.461114
1,1,0.0756656,0.730448,0.730448
2,0,19.7166,0,0.730448
3,0,0.00260859,0.754807,0.754807
4,1,9.14928,0.856704,0.856704
5,1,0.713348,0.754051,0.856704
6,1,376.81,0,0.856704
7,0,0.0426967,0.812348,0.856704
8,1,167.386,0,0.856704
9,0,0.00627905,0.778216,0.856704
10,1,0.001,0.712018,0.856704
11,1,0.0121942,0.717394,0.856704
12,0,0.001,0.71401,0.856704
13,1,0.0183526,0.768095,0.856704
14,0,0.0211253,0.793982,0.856704
15,1,0.001,0.692643,0.856704
16,0,0.0223422,0.826901,0.856704
17,0,0.0217522,0.803283,0.856704
18,1,0.0293882,0.710598,0.856704
19,0,0.0152734,0.778073,0.856704
20,0,0.0617524,0.677914,0.856704
21,0,0.00504252,0.721743,0.856704
22,1,0.0688323,0.737573,0.856704
23,1,0.00779021,0.688027,0.856704
24,0,0.001,0.708198,0.856704
25,0,0.0678379,0.504249,0.856704
26,1,0.00542733,0.723777,0.856704
27,0,0.001,0.671473,0.856704
28,1,0.111102,0.705268,0.856704
29,1,0.00719244,0.73698,0.856704
30,0,0.00743359,0.715265,0.856704
31,1,0.0623608,0.727771,0.856704
32,0,0.00725704,0.749028,0.856704
33,1,0.001,0.662589,0.856704
34,0,0.00799481,0.758721,0.856704
35,1,0.0135137,0.735315,0.856704
36,0,0.0078245,0.754198,0.856704
37,1,0.155202,0.739447,0.856704
38,1,0.0139828,0.717434,0.856704
39,0,0.00847039,0.773589,0.856704
40,0,0.001,0.673675,0.856704
41,0,0.00916287,0.735337,0.856704
42,0,0.00930727,0.764263,0.856704
43,0,0.00947832,0.771015,0.856704
44,0,0.0101008,0.754469,0.856704
45,1,0.597266,0.722676,0.856704
46,0,0.00351399,0.749301,0.856704
47,0,0.0237503,0.811773,0.856704
48,0,0.0234893,0.809924,0.856704
49,0,0.0231136,0.813131,0.856704
50,0,0.0223292,0.818223,0.856704
51,0,0.00832591,0.77517,0.856704
52,1,0.034045,0.706858,0.856704
53,1,8.10789,0.85839,0.85839
54,1,1.10267,0.753305,0.85839
55,1,1.093,0.741895,0.85839
56,1,1.06374,0.764239,0.85839
57,1,0.0547573,0.703761,0.85839
58,0,0.0033049,0.725885,0.85839
59,1,1.27368,0.746822,0.85839
60,1,0.341255,0.715399,0.85839
61,1,0.0010014,0.763021,0.85839
62,0,0.0130122,0.786175,0.85839
63,1,3.67544,0.816767,0.85839
64,1,3.6518,0.823014,0.85839
65,1,3.63231,0.808882,0.85839
66,0,0.0130311,0.767406,0.85839
67,1,3.60701,0.819945,0.85839
68,1,3.58862,0.829727,0.85839
69,1,3.57346,0.833063,0.85839
70,1,3.55921,0.838458,0.85839
71,1,3.54624,0.823246,0.85839
72,1,2.46264,0.751134,0.85839
73,1,5.05641,0.806843,0.85839
74,1,4.98933,0.854915,0.85839
75,1,98.9474,0.143546,0.85839
76,1,4.23023,0.799231,0.85839
77,1,0.0125918,0.748341,0.85839
78,0,0.0152782,0.777993,0.85839
79,1,2.2609,0.767037,0.85839
80,1,4.56663,0.826319,0.85839
81,0,0.00965966,0.76808,0.85839
82,1,4.50978,0.829675,0.85839
83,1,4.73804,0.826466,0.85839
84,1,4.67079,0.826785,0.85839
85,1,3.11551,0.789011,0.85839
86,1,5.38051,0.833146,0.85839
87,1,5.34055,0.840077,0.85839
88,1,3.04839,0.833182,0.85839
89,1,3.06322,0.813391,0.85839
90,1,5.59195,0.848223,0.85839
91,1,5.57102,0.816829,0.85839
92,1,2.87963,0.77361,0.85839
93,0,0.0245805,0.821859,0.85839
94,0,0.0244029,0.800587,0.85839
95,1,6.06464,0.838174,0.85839
96,1,6.03868,0.833575,0.85839
97,1,0.882834,0.776788,0.85839
98,1,5.96764,0.832878,0.85839
99,1,5.93641,0.843113,0.85839
100,1,5.91304,0.833146,0.85839
101,1,5.879,0.839741,0.85839
102,1,5.84903,0.849806,0.85839
103,1,5.82632,0.818107,0.85839
104,1,3.81966,0.826779,0.85839
105,1,3.82683,0.824865,0.85839
106,1,6.14485,0.854967,0.85839
107,1,6.129,0.83802,0.85839
108,1,6.09761,0.839656,0.85839
109,1,6.06329,0.828375,0.85839
110,1,3.99419,0.787538,0.85839
111,1,6.26512,0.83974,0.85839
112,1,3.71684,0.826285,0.85839
113,1,6.36066,0.841561,0.85839
114,1,6.5963,0.846435,0.85839
115,1,6.57517,0.834733,0.85839
116,1,6.54243,0.849858,0.85839
117,1,6.52187,0.831394,0.85839
118,1,4.088,0.831511,0.85839
119,1,119.528,0.149434,0.85839
120,1,4.00002,0.80567,0.85839
121,1,4.40048,0.826436,0.85839
122,1,4.40516,0.825452,0.85839
123,1,4.0055,0.818072,0.85839
124,1,4.43044,0.836284,0.85839
125,1,6.79099,0.841394,0.85839
126,1,6.77061,0.860093,0.860093
127,1,7.01258,0.83156,0.860093
128,1,6.98652,0.85323,0.860093
129,1,6.9734,0.849858,0.860093
130,1,6.95836,0.841426,0.860093
131,1,6.9368,0.831409,0.860093
132,1,6.90748,0.851527,0.860093
133,1,6.89154,0.833427,0.860093
134,1,6.86064,0.823327,0.860093
135,1,7.16073,0.846418,0.860093
136,1,7.13035,0.841325,0.860093
137,1,5.21029,0.841527,0.860093
138,1,7.06558,0.848138,0.860093
139,1,5.23919,0.826784,0.860093
140,1,7.06358,0.846537,0.860093
141,0,740.786,0,0.860093
142,1,5.26325,0.836369,0.860093
143,1,7.19733,0.838292,0.860093
144,1,7.1631,0.851527,0.860093
145,1,7.16961,0.853195,0.860093
146,1,4.30492,0.824866,0.860093
147,1,4.30991,0.836551,0.860093
148,1,4.31342,0.825127,0.860093
149,1,4.31521,0.821443,0.860093
150,1,4.33021,0.833113,0.860093
151,1,4.3229,0.834734,0.860093
152,1,4.34765,0.818022,0.860093
153,1,4.35324,0.794717,0.860093
154,1,4.37543,0.828431,0.860093
155,1,6.77964,0.834598,0.860093
156,1,6.89639,0.838306,0.860093
157,1,6.87647,0.848189,0.860093
158,1,4.3855,0.846383,0.860093
159,1,6.85705,0.846434,0.860093
160,1,6.83998,0.846434,0.860093
161,1,4.42893,0.829573,0.860093
162,1,6.9347,0.843212,0.860093
163,1,0.10189,0.697655,0.860093
164,1,6.92667,0.843212,0.860093
165,1,6.9115,0.841444,0.860093
166,1,4.43559,0.808206,0.860093
167,1,7.10749,0.838104,0.860093
168,1,7.17145,0.84652,0.860093
169,1,7.13987,0.842994,0.860093
170,1,7.12527,0.838359,0.860093
171,1,4.57217,0.838189,0.860093
172,1,7.14891,0.825059,0.860093
173,1,4.48066,0.808855,0.860093
174,1,7.05536,0.858373,0.860093
175,1,7.30208,0.846417,0.860093
176,0,0.0206842,0.81503,0.860093
177,1,7.37726,0.838189,0.860093
178,1,7.35424,0.843264,0.860093
179,1,7.3456,0.843181,0.860093
180,1,7.29347,0.841342,0.860093
181,1,4.8676,0.832878,0.860093
182,1,7.3399,0.855035,0.860093
183,1,7.38704,0.861813,0.861813
184,1,7.83899,0.844697,0.861813
185,1,381.607,0,0.861813
186,1,7.63999,0.851475,0.861813
187,1,5.26179,0.829624,0.861813
188,1,4.9358,0.834665,0.861813
189,1,4.93962,0.834982,0.861813
190,0,0.0211389,0.794265,0.861813
191,1,4.94406,0.809906,0.861813
192,1,7.3254,0.814963,0.861813
193,1,4.78222,0.831243,0.861813
194,1,4.79071,0.81981,0.861813
195,0,0.0176445,0.784312,0.861813
196,1,7.52506,0.861813,0.861813
197,1,7.52258,0.861813,0.861813
198,1,0.00331745,0.698004,0.861813
199,1,7.65732,0.846417,0.861813
200,1,7.6533,0.838071,0.861813
201,1,7.64352,0.843063,0.861813
202,1,7.63417,0.839605,0.861813
203,1,7.62194,0.838172,0.861813
204,1,7.60909,0.855001,0.861813
205,1,7.60329,0.848137,0.861813
206,1,5.23499,0.822003,0.861813
207,1,37.3286,0,0.861813
208,1,4.63106,0.833163,0.861813

Best eval with params:
eval (mc_estimate_expected_utility) = 0.861813
bias = 7.38704
adaptive_bias = 1
