env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
slippy_frozen_lake_(map=8x8,dense),uct,50000,10000,1024,5,16

hp_opt_iter,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,MIN
MAX,10000,MAX
0,1100.01,-47.9957,-47.9957
1,7226.79,-47.9902,-47.9902
2,5503.81,-47.9961,-47.9902
3,8645.52,-47.9918,-47.9902
4,3967.48,-47.9865,-47.9865
5,4480.05,-47.9797,-47.9797
6,6613.15,-47.9984,-47.9797
7,9158.5,-47.9949,-47.9797
8,292.761,-47.9857,-47.9797
9,2211.36,-47.9924,-47.9797
10,4495.06,-47.9936,-47.9797
11,3330.23,-47.9928,-47.9797
12,0.01,-47.9922,-47.9797
13,10000,-47.9787,-47.9787
14,10000,-47.9863,-47.9787
15,9782.36,-47.9781,-47.9781
16,9763.67,-47.9906,-47.9781
17,7902.27,-47.9961,-47.9781
18,10000,-47.9959,-47.9781
19,4895.72,-47.993,-47.9781
20,0.01,-47.9896,-47.9781
21,0.01,-47.9969,-47.9781
22,10000,-48,-47.9781
23,0.01,-47.9941,-47.9781
24,0.01,-47.9914,-47.9781
25,10000,-47.985,-47.9781
26,10000,-47.993,-47.9781
27,0.01,-47.9902,-47.9781
28,10000,-47.9842,-47.9781
29,10000,-47.9883,-47.9781
30,0.01,-47.9967,-47.9781
31,10000,-47.9855,-47.9781
32,6113.78,-47.9916,-47.9781
33,10000,-47.9855,-47.9781
34,10000,-47.9934,-47.9781
35,0.01,-47.99,-47.9781
36,10000,-47.9896,-47.9781
37,0.01,-47.9949,-47.9781
38,10000,-47.985,-47.9781
39,10000,-47.9902,-47.9781
40,10000,-47.993,-47.9781
41,0.01,-47.9857,-47.9781
42,0.01,-47.9871,-47.9781
43,0.01,-48,-47.9781
44,10000,-47.9979,-47.9781
45,10000,-47.9838,-47.9781
46,10000,-47.9973,-47.9781
47,0.01,-47.9963,-47.9781
48,10000,-47.9947,-47.9781
49,0.01,-47.9891,-47.9781
50,0.01,-47.9943,-47.9781
51,10000,-47.9934,-47.9781
52,0.01,-47.9969,-47.9781
53,10000,-47.9871,-47.9781
54,7216.45,-47.9928,-47.9781
55,10000,-47.999,-47.9781
56,0.01,-47.9906,-47.9781
57,0.01,-47.9961,-47.9781
58,10000,-47.9955,-47.9781
59,0.01,-47.9844,-47.9781
60,0.01,-47.9969,-47.9781
61,10000,-47.9916,-47.9781
62,10000,-47.9938,-47.9781
63,0.01,-47.9992,-47.9781
64,10000,-47.999,-47.9781
65,0.01,-47.9828,-47.9781
66,0.01,-47.9887,-47.9781
67,0.01,-47.9875,-47.9781
68,10000,-48,-47.9781
69,0.01,-47.9936,-47.9781
70,0.01,-47.9895,-47.9781
71,10000,-47.9824,-47.9781
72,10000,-47.9889,-47.9781
73,0.01,-47.9926,-47.9781
74,10000,-47.9924,-47.9781
75,0.01,-47.9809,-47.9781
76,7859.09,-47.9943,-47.9781
77,0.01,-47.9916,-47.9781
78,0.01,-48,-47.9781
79,10000,-47.9965,-47.9781
80,10000,-47.9814,-47.9781
81,10000,-47.9932,-47.9781
82,0.01,-47.9977,-47.9781
83,10000,-47.9998,-47.9781
84,0.01,-47.9955,-47.9781
85,10000,-47.9979,-47.9781
86,0.01,-47.9928,-47.9781
87,10000,-48,-47.9781
88,0.01,-47.9865,-47.9781
89,0.01,-47.9896,-47.9781
90,0.01,-47.99,-47.9781
91,0.01,-47.991,-47.9781
92,10000,-47.9938,-47.9781
93,0.01,-47.9809,-47.9781
94,0.01,-47.9861,-47.9781
95,0.01,-47.9949,-47.9781
96,10000,-47.9947,-47.9781
97,0.01,-48,-47.9781
98,6997.88,-47.9926,-47.9781
99,0.01,-47.9934,-47.9781
100,0.01,-47.9869,-47.9781
101,10000,-47.9945,-47.9781
102,0.01,-47.9867,-47.9781
103,0.01,-47.9906,-47.9781
104,10000,-47.9928,-47.9781
105,0.01,-47.9879,-47.9781
106,0.01,-47.9877,-47.9781
107,0.01,-47.9928,-47.9781
108,10000,-47.9963,-47.9781
109,0.01,-47.9996,-47.9781
110,10000,-47.9912,-47.9781
111,10000,-47.9951,-47.9781
112,0.01,-48,-47.9781
113,10000,-47.9904,-47.9781
114,10000,-47.9861,-47.9781
115,10000,-47.9889,-47.9781
116,0.01,-47.9885,-47.9781
117,10000,-47.9893,-47.9781
118,0.01,-47.9975,-47.9781
119,10000,-47.9916,-47.9781
120,4236.22,-47.9928,-47.9781
121,10000,-47.99,-47.9781
122,10000,-47.9988,-47.9781
123,0.01,-47.9924,-47.9781
124,0.01,-47.9854,-47.9781
125,0.01,-47.9826,-47.9781
126,0.01,-47.9867,-47.9781
127,0.01,-47.9863,-47.9781
128,10000,-47.9857,-47.9781
129,10000,-48,-47.9781
130,0.01,-47.9877,-47.9781
131,0.01,-47.9936,-47.9781
132,0.01,-47.99,-47.9781
133,10000,-47.9871,-47.9781
134,10000,-47.991,-47.9781
135,0.01,-47.9984,-47.9781
136,10000,-47.9898,-47.9781
137,10000,-47.9846,-47.9781
138,10000,-47.9959,-47.9781
139,0.01,-47.9848,-47.9781
140,0.01,-48,-47.9781
141,10000,-47.9908,-47.9781
142,1113.4,-47.9963,-47.9781
143,10000,-47.9908,-47.9781
144,10000,-47.9908,-47.9781
145,10000,-47.9955,-47.9781
146,0.01,-47.9891,-47.9781
147,0.01,-47.9953,-47.9781
148,10000,-47.9877,-47.9781
149,10000,-47.9932,-47.9781
150,0.01,-47.99,-47.9781
151,0.01,-47.9838,-47.9781
152,0.01,-47.9922,-47.9781
153,10000,-47.991,-47.9781
154,10000,-47.992,-47.9781
155,0.01,-47.992,-47.9781
156,10000,-47.9807,-47.9781
157,10000,-48,-47.9781
158,0.01,-47.9904,-47.9781
159,0.01,-47.9967,-47.9781
160,10000,-47.992,-47.9781
161,0.01,-47.9809,-47.9781
162,0.01,-47.9949,-47.9781
163,10000,-47.9924,-47.9781
164,856.408,-47.9912,-47.9781
165,10000,-47.9955,-47.9781
166,10000,-47.9957,-47.9781
167,0.01,-47.9795,-47.9781
168,0.01,-47.9902,-47.9781
169,0.01,-47.9916,-47.9781
170,10000,-47.9918,-47.9781
171,0.01,-47.9941,-47.9781
172,10000,-47.9941,-47.9781
173,0.01,-47.9955,-47.9781
174,10000,-47.9867,-47.9781
175,10000,-48,-47.9781
176,0.01,-47.9861,-47.9781
177,0.01,-47.992,-47.9781
178,0.01,-47.9977,-47.9781
179,10000,-47.9979,-47.9781
180,0.01,-47.9998,-47.9781
181,10000,-47.993,-47.9781
182,10000,-47.9873,-47.9781
183,10000,-48,-47.9781
184,0.01,-47.9881,-47.9781
185,10000,-47.9854,-47.9781
186,5810.16,-47.9992,-47.9781
187,10000,-47.9879,-47.9781
188,10000,-47.9896,-47.9781
189,10000,-47.9844,-47.9781
190,10000,-47.9932,-47.9781
191,10000,-47.9945,-47.9781
192,10000,-47.9937,-47.9781
193,10000,-48,-47.9781
194,515.3,-47.9984,-47.9781
195,10000,-47.9982,-47.9781
196,515.3,-48,-47.9781
197,9964.92,-47.9943,-47.9781
198,515.3,-47.9982,-47.9781
199,9962.59,-47.9957,-47.9781
200,515.3,-47.9859,-47.9781
201,515.3,-48,-47.9781
202,9966.43,-47.9998,-47.9781
203,515.3,-47.9943,-47.9781
204,9964.6,-47.992,-47.9781
205,515.3,-47.9896,-47.9781
206,9964.41,-47.9928,-47.9781
207,515.3,-47.985,-47.9781
208,240.681,-47.9885,-47.9781

Best eval with params:
eval (mc_estimate_expected_utility) = -47.9781
bias = 9782.36
