env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
slippy_frozen_lake_(map=4x4,dense),uct,50000,10000,1024,5,16

hp_opt_iter,adaptive_bias,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0,0.001,MIN
MAX,1,1000,MAX
0,1,1.36111,-23.8002,-23.8002
1,0,0.00431557,-23.7289,-23.7289
2,0,50.2793,-23.7586,-23.7289
3,1,73.5346,-23.7896,-23.7289
4,1,0.0551497,-23.6035,-23.6035
5,0,6.21693,-23.7424,-23.6035
6,1,0.339723,-23.6863,-23.6035
7,1,0.00169422,-23.7354,-23.6035
8,0,0.111695,-23.7049,-23.6035
9,0,566.615,-23.7715,-23.6035
10,1,0.0279702,-23.5865,-23.5865
11,1,0.0255418,-23.5922,-23.5865
12,1,0.0255865,-23.6295,-23.5865
13,0,0.0298495,-23.7361,-23.5865
14,1,0.0185304,-23.5809,-23.5809
15,1,0.0163621,-23.6506,-23.5809
16,1,0.0489573,-23.5402,-23.5402
17,1,0.0793887,-23.6209,-23.5402
18,1,0.0781058,-23.6221,-23.5402
19,1,0.001,-23.71,-23.5402
20,1,0.0237367,-23.5797,-23.5402
21,1,0.0239961,-23.6746,-23.5402
22,1,0.0628791,-23.5813,-23.5402
23,1,0.0959305,-23.6242,-23.5402
24,1,0.00866506,-23.75,-23.5402
25,0,0.530214,-23.6424,-23.5402
26,1,1000,-23.8203,-23.5402
27,1,0.0557478,-23.6381,-23.5402
28,1,0.0488598,-23.6336,-23.5402
29,0,0.208704,-23.6516,-23.5402
30,0,1.25256,-23.5965,-23.5402
31,0,1.24822,-23.5986,-23.5402
32,1,21.1766,-23.7926,-23.5402
33,0,1.20941,-23.5697,-23.5402
34,0,1.07916,-23.5678,-23.5402
35,0,1.59772,-23.6393,-23.5402
36,0,0.647575,-23.5777,-23.5402
37,0,0.655528,-23.627,-23.5402
38,0,0.993703,-23.6191,-23.5402
39,0,0.519403,-23.5562,-23.5402
40,0,0.521513,-23.5857,-23.5402
41,0,0.599484,-23.5508,-23.5402
42,0,0.599814,-23.6023,-23.5402
43,0,1.00806,-23.61,-23.5402
44,0,0.770055,-23.5555,-23.5402
45,0,0.770011,-23.5945,-23.5402
46,0,0.409932,-23.632,-23.5402
47,0,0.938385,-23.5551,-23.5402
48,0,0.935158,-23.6051,-23.5402
49,0,1.28153,-23.5996,-23.5402
50,0,1.59409,-23.5871,-23.5402
51,1,0.0396763,-23.5979,-23.5402
52,0,0.840199,-23.5709,-23.5402
53,0,0.767293,-23.6664,-23.5402
54,1,28.3636,-23.8066,-23.5402
55,0,0.768311,-23.5553,-23.5402
56,0,0.769461,-23.5629,-23.5402
57,0,0.772071,-23.5949,-23.5402
58,0,0.827596,-23.5648,-23.5402
59,0,1.18998,-23.6,-23.5402
60,0,0.465655,-23.6025,-23.5402
61,0,1.01653,-23.6154,-23.5402
62,0,0.618458,-23.6609,-23.5402
63,1,0.0392939,-23.5787,-23.5402
64,1,0.0393671,-23.5338,-23.5338
65,1,0.0393482,-23.7174,-23.5338
66,1,0.0402079,-23.5926,-23.5338
67,0,0.0138852,-23.7139,-23.5338
68,0,1.90474,-23.6187,-23.5338
69,0,0.124351,-23.6867,-23.5338
70,0,0.975695,-23.5934,-23.5338
71,0,2.03674,-23.6141,-23.5338
72,1,0.196608,-23.7338,-23.5338
73,0,2.0502,-23.6402,-23.5338
74,0,1.6681,-23.6178,-23.5338
75,0,0.672012,-23.6127,-23.5338
76,1,524.964,-23.81,-23.5338
77,0,0.708126,-23.6457,-23.5338
78,0,0.981227,-23.6357,-23.5338
79,0,0.049113,-23.6721,-23.5338
80,1,0.0392067,-23.5973,-23.5338
81,0,0.215443,-23.6867,-23.5338
82,0,2.35765,-23.707,-23.5338
83,1,0.0393326,-23.6068,-23.5338
84,0,0.840643,-23.5977,-23.5338
85,0,1,-23.5832,-23.5338
86,0,1,-23.6105,-23.5338
87,1,4.64159,-23.8482,-23.5338
88,1,0.0388085,-23.576,-23.5338
89,1,0.0389316,-23.5689,-23.5338
90,0,0.830363,-23.6104,-23.5338
91,0,0.001,-23.6818,-23.5338
92,0,0.00106279,-23.7365,-23.5338
93,1,0.0392899,-23.574,-23.5338
94,0,0.01,-23.7037,-23.5338
95,0,0.526833,-23.5895,-23.5338
96,0,1,-23.6559,-23.5338
97,0,0.001,-23.7346,-23.5338
98,1,0.0027569,-23.6748,-23.5338
99,1,0.03836,-23.5518,-23.5338
100,0,0.001,-23.743,-23.5338
101,1,0.0483562,-23.5791,-23.5338
102,1,0.039359,-23.5926,-23.5338
103,0,0.04169,-23.7305,-23.5338
104,1,0.0392639,-23.5664,-23.5338
105,1,0.038797,-23.6057,-23.5338
106,1,0.0394649,-23.6119,-23.5338
107,0,0.00711929,-23.7213,-23.5338
108,0,0.215443,-23.6662,-23.5338
109,1,0.476466,-23.7063,-23.5338
110,1,0.0286603,-23.6596,-23.5338
111,0,151.446,-23.7799,-23.5338
112,0,0.428406,-23.6547,-23.5338
113,0,0.615839,-23.525,-23.525
114,0,627.886,-23.8271,-23.525
115,0,19.3736,-23.7566,-23.525
116,0,0.594675,-23.6406,-23.525
117,0,0.538254,-23.6357,-23.525
118,1,1,-23.7979,-23.525
119,0,2.25823,-23.5873,-23.525
120,1,7.69602,-23.7826,-23.525
121,0,2.256,-23.6492,-23.525
122,1,0.132339,-23.7111,-23.525
123,1,0.00525402,-23.7449,-23.525
124,1,100,-23.8049,-23.525
125,0,2.2843,-23.7072,-23.525
126,0,0.0417401,-23.7555,-23.525
127,0,0.609101,-23.6475,-23.525
128,0,0.215443,-23.709,-23.525
129,0,0.543248,-23.5666,-23.525
130,0,1,-23.5742,-23.525
131,1,0.0464159,-23.6186,-23.525
132,1,0.0464159,-23.615,-23.525
133,1,0.0464159,-23.6344,-23.525
134,1,0.0895478,-23.6217,-23.525
135,0,0.510278,-23.6146,-23.525
136,0,0.435056,-23.648,-23.525
137,0,1,-23.5992,-23.525
138,1,0.0165732,-23.657,-23.525
139,0,0.843191,-23.5684,-23.525
140,0,1,-23.6721,-23.525
141,1,0.0464159,-23.5695,-23.525
142,1,0.00818648,-23.5762,-23.525
143,1,0.0358304,-23.6246,-23.525
144,1,0.0237188,-23.5982,-23.525
145,1,0.0251226,-23.6256,-23.525
146,1,0.0545607,-23.5199,-23.5199
147,1,0.0558446,-23.5762,-23.5199
148,1,0.055226,-23.5654,-23.5199
149,1,0.0557198,-23.5939,-23.5199
150,1,0.0769432,-23.634,-23.5199
151,1,0.102784,-23.6904,-23.5199
152,1,0.0558397,-23.6008,-23.5199
153,1,0.01,-23.6525,-23.5199
154,0,0.00321685,-23.6289,-23.5199
155,0,0.00278552,-23.6559,-23.5199
156,0,0.00413734,-23.7459,-23.5199
157,0,0.00199368,-23.7789,-23.5199
158,0,0.01,-23.7279,-23.5199
159,0,0.488264,-23.6393,-23.5199
160,1,0.0464159,-23.6451,-23.5199
161,1,0.01,-23.6094,-23.5199
162,1,0.0715513,-23.6807,-23.5199
163,1,0.0385983,-23.64,-23.5199
164,1,131.379,-23.817,-23.5199
165,1,0.0389407,-23.6152,-23.5199
166,1,0.0301226,-23.5877,-23.5199
167,1,0.0279572,-23.608,-23.5199
168,1,0.0314399,-23.5672,-23.5199
169,1,0.0329233,-23.6523,-23.5199
170,1,0.001,-23.7225,-23.5199
171,1,0.01,-23.6055,-23.5199
172,1,0.001,-23.692,-23.5199
173,1,0.00292571,-23.684,-23.5199
174,1,0.01,-23.6574,-23.5199
175,0,10.0649,-23.7754,-23.5199
176,0,0.240598,-23.7111,-23.5199
177,0,1,-23.5799,-23.5199
178,1,0.01,-23.6139,-23.5199
179,0,1000,-23.8016,-23.5199
180,1,0.0556323,-23.5951,-23.5199
181,0,0.0848934,-23.6559,-23.5199
182,0,1,-23.608,-23.5199
183,1,0.0556141,-23.5393,-23.5199
184,1,0.0558949,-23.5715,-23.5199
185,1,0.055461,-23.5639,-23.5199
186,1,7.58633,-23.8055,-23.5199
187,1,0.0547427,-23.5828,-23.5199
188,1,0.0767412,-23.6143,-23.5199
189,1,0.0464159,-23.6104,-23.5199
190,1,0.0554475,-23.5846,-23.5199
191,0,0.0464159,-23.7768,-23.5199
192,0,1.61338,-23.6021,-23.5199
193,0,0.810012,-23.6285,-23.5199
194,1,0.01,-23.7299,-23.5199
195,1,0.263223,-23.7887,-23.5199
196,0,1.18597,-23.6281,-23.5199
197,1,0.828386,-23.7768,-23.5199
198,0,0.316199,-23.6684,-23.5199
199,0,0.133346,-23.6898,-23.5199
200,0,0.0277317,-23.7563,-23.5199
201,0,98.3144,-23.817,-23.5199
202,0,0.00641171,-23.7293,-23.5199
203,0,0.0850288,-23.685,-23.5199
204,1,0.0494367,-23.6016,-23.5199
205,1,0.0549842,-23.6152,-23.5199
206,1,0.0557722,-23.5975,-23.5199
207,0,1,-23.6021,-23.5199
208,1,0.395733,-23.7559,-23.5199

Best eval with params:
eval (mc_estimate_expected_utility) = -23.5199
bias = 0.0545607
adaptive_bias = 1
