env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
slippy_frozen_lake_(map=8x8,sparse),uct,50000,10000,1024,5,16

hp_opt_iter,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,MIN
MAX,10000,MAX
0,9879.66,0.000585938,0.000585938
1,4694.53,0.00117187,0.00117187
2,5799.27,0.000585938,0.00117187
3,7605.18,0.000390625,0.00117187
4,6973.01,0.00078125,0.00117187
5,2639.25,0.000195313,0.00117187
6,1775,0.000390625,0.00117187
7,3233.83,0.000585937,0.00117187
8,8243.86,0.000195313,0.00117187
9,81.4086,0.000390625,0.00117187
10,4505.53,0.00117188,0.00117188
11,4508.95,0.000585938,0.00117188
12,5026.3,0.000976562,0.00117188
13,5013.21,0.000976562,0.00117188
14,4162.47,0.00078125,0.00117188
15,5026.34,0.000390625,0.00117188
16,6414.93,0.000195313,0.00117188
17,4015.82,0.000585938,0.00117188
18,9260.56,0.000390625,0.00117188
19,910.693,0.000585938,0.00117188
20,4553.54,0.00078125,0.00117188
21,5288.58,0.000195313,0.00117188
22,3913.87,0.000390625,0.00117188
23,0.01,0.000390625,0.00117188
24,10000,0.000585938,0.00117188
25,1172.85,0.000976562,0.00117188
26,1208.08,0.00078125,0.00117188
27,800.954,0.000976562,0.00117188
28,1439.17,0.000976562,0.00117188
29,856.19,0.00136719,0.00136719
30,588.609,0,0.00136719
31,4999.85,0.000390625,0.00136719
32,588.511,0.000195313,0.00136719
33,8792.11,0.000390625,0.00136719
34,7203.94,0.000195313,0.00136719
35,1136.27,0.000390625,0.00136719
36,2150,0.000390625,0.00136719
37,9579.17,0.000390625,0.00136719
38,1491.01,0.000195313,0.00136719
39,3523.1,0.000585938,0.00136719
40,6042.53,0.000585938,0.00136719
41,10000,0.000390625,0.00136719
42,0.01,0.000390625,0.00136719
43,10000,0.00117187,0.00136719
44,10000,0.00078125,0.00136719
45,10000,0.000390625,0.00136719
46,10000,0.00078125,0.00136719
47,0.01,0.000585938,0.00136719
48,10000,0,0.00136719
49,0.01,0.000195313,0.00136719
50,0.01,0.000976562,0.00136719
51,0.01,0.000390625,0.00136719
52,10000,0.000976562,0.00136719
53,858.528,0,0.00136719
54,10000,0.000195313,0.00136719
55,10000,0.00078125,0.00136719
56,10000,0,0.00136719
57,0.01,0.000390625,0.00136719
58,0.01,0.000585938,0.00136719
59,10000,0.000195313,0.00136719
60,0.01,0.000390625,0.00136719
61,10000,0.000976562,0.00136719
62,10000,0.0015625,0.0015625
63,10000,0.000390625,0.0015625
64,10000,0,0.0015625
65,0.01,0,0.0015625
66,10000,0.000390625,0.0015625
67,0.01,0.00078125,0.0015625
68,10000,0,0.0015625
69,0.01,0.000195313,0.0015625
70,10000,0.00117187,0.0015625
71,10000,0.000390625,0.0015625
72,0.01,0.000390625,0.0015625
73,10000,0.000585938,0.0015625
74,0.01,0.000390625,0.0015625
75,3176.04,0.000585938,0.0015625
76,0.01,0.000976562,0.0015625
77,0.01,0.000585938,0.0015625
78,10000,0.00117188,0.0015625
79,10000,0.000195313,0.0015625
80,0.01,0.00078125,0.0015625
81,0.01,0.000585938,0.0015625
82,10000,0.00078125,0.0015625
83,10000,0.000195313,0.0015625
84,0.01,0.0015625,0.0015625
85,0.01,0.000585938,0.0015625
86,0.01,0.000976562,0.0015625
87,0.01,0.000390625,0.0015625
88,10000,0.00078125,0.0015625
89,10000,0.000585938,0.0015625
90,0.01,0.000195313,0.0015625
91,10000,0.000585938,0.0015625
92,0.01,0.000976562,0.0015625
93,10000,0.000390625,0.0015625
94,0.01,0.000976562,0.0015625
95,0.01,0.000585938,0.0015625
96,10000,0.000976562,0.0015625
97,2311.35,0.000976562,0.0015625
98,10000,0.000585938,0.0015625
99,0.01,0.000195313,0.0015625
100,10000,0.000390625,0.0015625
101,0.01,0.000195313,0.0015625
102,10000,0.000585938,0.0015625
103,10000,0.000195313,0.0015625
104,0.01,0.000195313,0.0015625
105,10000,0.000195313,0.0015625
106,0.01,0.000195313,0.0015625
107,10000,0.000390625,0.0015625
108,0.01,0.000195313,0.0015625
109,10000,0.000585938,0.0015625
110,0.01,0.00078125,0.0015625
111,10000,0,0.0015625
112,0.01,0.000585938,0.0015625
113,0.01,0.000585938,0.0015625
114,10000,0.000585938,0.0015625
115,0.01,0.000390625,0.0015625
116,10000,0.000585938,0.0015625
117,0.01,0,0.0015625
118,10000,0.000585938,0.0015625
119,8188.05,0.000195313,0.0015625
120,10000,0.000585938,0.0015625
121,0.01,0.00078125,0.0015625
122,10000,0.000585938,0.0015625
123,0.01,0.000390625,0.0015625
124,10000,0.000390625,0.0015625
125,0.01,0.000976562,0.0015625
126,0.01,0.000195313,0.0015625
127,10000,0.000195313,0.0015625
128,0.01,0.000390625,0.0015625
129,10000,0.000390625,0.0015625
130,0.01,0.000976562,0.0015625
131,10000,0.000390625,0.0015625
132,0.01,0.000585938,0.0015625
133,0.01,0.00078125,0.0015625
134,10000,0.000195313,0.0015625
135,0.01,0.000976562,0.0015625
136,0.01,0.000585938,0.0015625
137,10000,0.000390625,0.0015625
138,0.01,0.00078125,0.0015625
139,0.01,0.00117187,0.0015625
140,0.01,0.000390625,0.0015625
141,2301.9,0.00078125,0.0015625
142,0.01,0.000390625,0.0015625
143,10000,0.000976562,0.0015625
144,10000,0,0.0015625
145,0.01,0.000195313,0.0015625
146,10000,0.00078125,0.0015625
147,10000,0.00078125,0.0015625
148,10000,0.000195313,0.0015625
149,10000,0.000390625,0.0015625
150,10000,0.000976562,0.0015625
151,10000,0.000976562,0.0015625
152,10000,0.00078125,0.0015625
153,10000,0,0.0015625
154,515.3,0.00078125,0.0015625
155,515.3,0,0.0015625
156,10000,0.000195313,0.0015625
157,515.3,0.000585938,0.0015625
158,9999.21,0.000585938,0.0015625
159,515.3,0.000585938,0.0015625
160,9999.64,0.00078125,0.0015625
161,515.3,0.000195313,0.0015625
162,9999.72,0.000195313,0.0015625
163,752.749,0.000976562,0.0015625
164,9999.96,0.000195313,0.0015625
165,515.3,0.000585938,0.0015625
166,9999.57,0.000390625,0.0015625
167,515.3,0.000976562,0.0015625
168,515.3,0.0015625,0.0015625
169,515.3,0.000976562,0.0015625
170,515.3,0.000390625,0.0015625
171,9999.59,0.000390625,0.0015625
172,515.3,0.000390625,0.0015625
173,9998.16,0.000390625,0.0015625
174,515.3,0.000390625,0.0015625
175,9999.44,0.000585938,0.0015625
176,515.3,0.000585938,0.0015625
177,9999.22,0.00078125,0.0015625
178,515.3,0.00117188,0.0015625
179,515.3,0.00117187,0.0015625
180,515.3,0.000585938,0.0015625
181,9999.9,0.000390625,0.0015625
182,515.3,0.000585938,0.0015625
183,515.3,0.000390625,0.0015625
184,9999.75,0.000976562,0.0015625
185,7768.23,0.000195313,0.0015625
186,9999.26,0.000585938,0.0015625
187,515.3,0.000976562,0.0015625
188,515.3,0.000390625,0.0015625
189,9998.98,0.000585938,0.0015625
190,515.3,0.00175781,0.00175781
191,87.5925,0.000195313,0.00175781
192,87.0464,0.000585938,0.00175781
193,86.2296,0.000195313,0.00175781
194,88.5082,0.000390625,0.00175781
195,85.5885,0.000585938,0.00175781
196,88.9072,0.000976562,0.00175781
197,89.0608,0.00136719,0.00175781
198,87.9491,0.00078125,0.00175781
199,86.8111,0.000390625,0.00175781
200,89.1399,0.000390625,0.00175781
201,9901.38,0.000195313,0.00175781
202,89.1451,0.00136719,0.00175781
203,87.7655,0.00078125,0.00175781
204,88.862,0,0.00175781
205,9901.38,0.000585938,0.00175781
206,9901.38,0.000390625,0.00175781
207,537.443,0.000585938,0.00175781
208,9901.38,0.000585938,0.00175781

Best eval with params:
eval (mc_estimate_expected_utility) = 0.00175781
bias = 515.3
