env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
slippy_frozen_lake_(map=4x4,sparse),uct,50000,10000,1024,5,16

hp_opt_iter,adaptive_bias,bias,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0,0.001,MIN
MAX,1,1000,MAX
0,1,0.129879,0.0259766,0.0259766
1,0,5.70062,0.0177734,0.0259766
2,1,0.0361011,0.0234375,0.0259766
3,1,28.6228,0.0173828,0.0259766
4,0,435.06,0.0117188,0.0259766
5,1,0.00150323,0.0197266,0.0259766
6,1,0.0116295,0.0201172,0.0259766
7,0,88.1624,0.0158203,0.0259766
8,0,1.2773,0.0179688,0.0259766
9,0,0.87495,0.0224609,0.0259766
10,0,0.0665658,0.0310547,0.0310547
11,0,0.0538925,0.0298828,0.0310547
12,0,0.0537803,0.0285156,0.0310547
13,0,0.054203,0.0314453,0.0314453
14,0,0.0297518,0.0251953,0.0314453
15,0,0.001,0.0214844,0.0314453
16,0,0.112143,0.0318359,0.0318359
17,0,0.11994,0.0316406,0.0318359
18,0,0.119851,0.0296875,0.0318359
19,0,0.11927,0.0255859,0.0318359
20,0,0.132493,0.0302734,0.0318359
21,0,0.129944,0.0318359,0.0318359
22,0,0.129534,0.0332031,0.0332031
23,0,0.196089,0.0253906,0.0332031
24,1,0.112872,0.01875,0.0332031
25,0,0.058061,0.0330078,0.0332031
26,0,0.0580485,0.0296875,0.0332031
27,0,0.0609743,0.0314453,0.0332031
28,0,0.0296278,0.0314453,0.0332031
29,0,0.056361,0.0328125,0.0332031
30,0,0.0472781,0.0296875,0.0332031
31,0,8.84514,0.0177734,0.0332031
32,0,0.0473547,0.0306641,0.0332031
33,0,0.0483079,0.0320313,0.0332031
34,0,0.0490279,0.0308594,0.0332031
35,0,0.0256742,0.0308594,0.0332031
36,0,0.071623,0.0349609,0.0349609
37,0,0.0289032,0.0294922,0.0349609
38,0,0.10141,0.0265625,0.0349609
39,0,0.00980423,0.0244141,0.0349609
40,1,0.001,0.0238281,0.0349609
41,1,1000,0.0169922,0.0349609
42,1,0.858858,0.0253906,0.0349609
43,0,0.0834746,0.034375,0.0349609
44,0,0.0831135,0.0298828,0.0349609
45,0,0.0489835,0.0244141,0.0349609
46,0,0.0125288,0.0197266,0.0349609
47,0,0.132966,0.0314453,0.0349609
48,0,0.130557,0.0326172,0.0349609
49,0,0.124136,0.0289063,0.0349609
50,0,0.0806328,0.0333984,0.0349609
51,0,0.0704913,0.0349609,0.0349609
52,0,0.0705294,0.0302734,0.0349609
53,1,13.6104,0.0232422,0.0349609
54,0,0.0705286,0.0302734,0.0349609
55,0,0.0705577,0.0273438,0.0349609
56,1,1.6681,0.0257813,0.0349609
57,0,0.0157591,0.0230469,0.0349609
58,1,0.0145013,0.0197266,0.0349609
59,1,0.267326,0.0195312,0.0349609
60,1,938.042,0.0179687,0.0349609
61,0,0.0708199,0.0324219,0.0349609
62,0,0.0674095,0.0300781,0.0349609
63,0,0.0707703,0.0339844,0.0349609
64,0,0.0713305,0.0302734,0.0349609
65,0,0.071807,0.0332031,0.0349609
66,0,0.0702332,0.0283203,0.0349609
67,0,0.0639677,0.0322266,0.0349609
68,0,0.0794906,0.0324219,0.0349609
69,0,0.0812454,0.0322266,0.0349609
70,0,0.0697387,0.0335937,0.0349609
71,0,0.168982,0.0300781,0.0349609
72,0,0.0669663,0.0296875,0.0349609
73,0,0.0579981,0.0224609,0.0349609
74,1,100,0.0197266,0.0349609
75,1,1.95817,0.0275391,0.0349609
76,1,100,0.0177734,0.0349609
77,1,4.64159,0.0304688,0.0349609
78,1,3.00169,0.0275391,0.0349609
79,1,4.64159,0.0253906,0.0349609
80,1,2.15653,0.0339844,0.0349609
81,1,2.14192,0.0275391,0.0349609
82,1,1,0.0277344,0.0349609
83,1,4.64159,0.0279297,0.0349609
84,1,0.420199,0.0220703,0.0349609
85,0,0.001,0.0279297,0.0349609
86,0,0.00309717,0.0246094,0.0349609
87,0,0.0989923,0.0308594,0.0349609
88,0,0.140479,0.0300781,0.0349609
89,0,0.179905,0.0255859,0.0349609
90,0,0.218449,0.0271484,0.0349609
91,0,0.0687994,0.0332031,0.0349609
92,0,0.0583436,0.0310547,0.0349609
93,0,0.0728673,0.0304687,0.0349609
94,1,4.64159,0.0277344,0.0349609
95,1,4.13064,0.0296875,0.0349609
96,1,0.00312974,0.0244141,0.0349609
97,1,0.0291556,0.0253906,0.0349609
98,1,0.0642701,0.0189453,0.0349609
99,1,1.6681,0.0308594,0.0349609
100,0,0.0358825,0.0310547,0.0349609
101,1,1.6681,0.0226563,0.0349609
102,0,0.001,0.0234375,0.0349609
103,0,0.0040363,0.0238281,0.0349609
104,0,3.10921,0.0175781,0.0349609
105,0,0.0717381,0.0339844,0.0349609
106,0,0.0715796,0.0296875,0.0349609
107,0,0.0697528,0.0324219,0.0349609
108,0,0.0686037,0.0246094,0.0349609
109,0,0.049011,0.0271484,0.0349609
110,0,0.166282,0.03125,0.0349609
111,0,0.171024,0.0273438,0.0349609
112,1,100,0.0193359,0.0349609
113,1,4.64159,0.0310547,0.0349609
114,1,4.64159,0.0306641,0.0349609
115,1,2.17929,0.0208984,0.0349609
116,0,0.0464159,0.0304687,0.0349609
117,0,0.0464159,0.028125,0.0349609
118,0,0.0464159,0.0333984,0.0349609
119,1,0.0933441,0.021875,0.0349609
120,0,0.0464159,0.0306641,0.0349609
121,0,0.016681,0.0210938,0.0349609
122,0,0.0641905,0.0316406,0.0349609
123,0,0.085693,0.0347656,0.0349609
124,0,0.0680037,0.0302734,0.0349609
125,1,0.00302269,0.0216797,0.0349609
126,0,0.253818,0.0275391,0.0349609
127,1,4.64159,0.0287109,0.0349609
128,0,0.293733,0.0220703,0.0349609
129,0,0.0435739,0.0294922,0.0349609
130,0,0.00275602,0.0263672,0.0349609
131,0,0.0710157,0.0236328,0.0349609
132,0,0.0687596,0.0294922,0.0349609
133,1,4.64159,0.0248047,0.0349609
134,0,0.0429168,0.0261719,0.0349609
135,1,1,0.0267578,0.0349609
136,0,0.138202,0.0255859,0.0349609
137,0,0.15202,0.0318359,0.0349609
138,1,0.194861,0.0263672,0.0349609
139,0,0.022655,0.0277344,0.0349609
140,0,0.00112921,0.025,0.0349609
141,1,0.151109,0.0195312,0.0349609
142,0,0.094316,0.0361328,0.0361328
143,1,0.00215443,0.0236328,0.0361328
144,0,0.0949425,0.0357422,0.0361328
145,0,0.0976664,0.0357422,0.0361328
146,0,0.0960214,0.0328125,0.0361328
147,0,0.09618,0.0359375,0.0361328
148,0,0.0965957,0.0320312,0.0361328
149,0,0.0939351,0.0335938,0.0361328
150,0,0.0960305,0.0316406,0.0361328
151,0,0.0957348,0.0345703,0.0361328
152,0,0.0951202,0.0289063,0.0361328
153,0,0.0970123,0.0255859,0.0361328
154,0,0.0584397,0.0296875,0.0361328
155,0,0.219045,0.0232422,0.0361328
156,1,13.8104,0.0195313,0.0361328
157,0,0.00383386,0.0181641,0.0361328
158,0,0.0944149,0.0367188,0.0367188
159,1,0.803994,0.0265625,0.0367188
160,0,31.6222,0.0193359,0.0367188
161,0,1,0.0197266,0.0367188
162,1,3.77745,0.028125,0.0367188
163,1,0.0745518,0.0240234,0.0367188
164,1,3.77707,0.0294922,0.0367188
165,0,25.2227,0.0164063,0.0367188
166,1,5.37999,0.0320313,0.0367188
167,1,3.88879,0.0279297,0.0367188
168,1,4.06785,0.0314453,0.0367188
169,0,0.101503,0.0300781,0.0367188
170,0,0.0397786,0.0267578,0.0367188
171,0,0.567267,0.0191406,0.0367188
172,1,0.001,0.0208984,0.0367188
173,1,0.00520155,0.01875,0.0367188
174,0,0.130529,0.0275391,0.0367188
175,0,2.60601,0.0154297,0.0367188
176,0,0.0951289,0.0289063,0.0367188
177,0,0.0943038,0.0279297,0.0367188
178,0,0.0935433,0.0310547,0.0367188
179,0,0.104752,0.0382813,0.0382813
180,0,0.001,0.0238281,0.0382813
181,0,0.00229662,0.0294922,0.0382813
182,0,0.00579407,0.0265625,0.0382813
183,0,0.0022712,0.0232422,0.0382813
184,0,0.01,0.0207031,0.0382813
185,0,0.768215,0.0201172,0.0382813
186,0,0.01,0.0261719,0.0382813
187,1,0.00375496,0.0216797,0.0382813
188,1,370.401,0.0158203,0.0382813
189,1,1,0.0320313,0.0382813
190,1,1,0.0248047,0.0382813
191,0,292.259,0.0158203,0.0382813
192,1,0.0464159,0.0255859,0.0382813
193,0,0.0464159,0.0357422,0.0382813
194,0,0.0214357,0.0285156,0.0382813
195,0,0.0464159,0.0263672,0.0382813
196,1,0.00767059,0.025,0.0382813
197,1,0.01,0.0269531,0.0382813
198,1,19.6288,0.0212891,0.0382813
199,1,124.592,0.0134766,0.0382813
200,0,0.001,0.0255859,0.0382813
201,0,0.0069315,0.0263672,0.0382813
202,1,6.73921,0.0302734,0.0382813
203,1,8.31745,0.0222656,0.0382813
204,1,0.334439,0.0195312,0.0382813
205,0,0.001,0.0191406,0.0382813
206,0,0.00588019,0.0224609,0.0382813
207,1,0.00856632,0.0263672,0.0382813
208,0,0.0041508,0.0310547,0.0382813

Best eval with params:
eval (mc_estimate_expected_utility) = 0.0382813
bias = 0.104752
adaptive_bias = 0
