env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,czt,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,5,MIN
MAX,100,100,MAX
0,87.089,15,1.04886,1.04886
1,41.0454,84,2.28668,2.28668
2,1.35602,57,3.22763,3.22763
3,50.3336,79,2.63808,3.22763
4,14.4998,99,2.87471,3.22763
5,67.4344,40,1.8349,3.22763
6,91.8552,33,1.58395,3.22763
7,38.5707,14,1.5204,3.22763
8,26.5755,67,2.64386,3.22763
9,76.4503,45,1.87309,3.22763
10,0.01,99,2.23789,3.22763
11,100,99,2.12566,3.22763
12,0.01,64,2.16974,3.22763
13,0.0100002,99,1.99625,3.22763
14,0.01,38,1.90888,3.22763
15,60.5801,99,2.62169,3.22763
16,100,99,2.24936,3.22763
17,0.0196657,74,1.76491,3.22763
18,0.01,5,1.99931,3.22763
19,49.7498,99,2.75599,3.22763
20,99.9967,77,1.97693,3.22763
21,47.2115,99,2.45122,3.22763
22,0.01,99,1.9347,3.22763
23,0.21411,48,2.33968,3.22763
24,53.1225,74,2.31661,3.22763
25,100,99,2.08962,3.22763
26,50.4914,99,2.48294,3.22763
27,0.155614,61,1.81754,3.22763
28,1.30747,9,3.57917,3.57917
29,0.01,5,2.49614,3.57917
30,1.6358,5,3.55014,3.57917
31,1.63216,5,3.29403,3.57917
32,1.48397,5,3.76241,3.76241
33,1.80239,68,3.32973,3.76241
34,1.32115,5,3.52648,3.76241
35,1.52526,5,3.70242,3.76241
36,1.52395,5,3.0937,3.76241
37,1.17439,5,3.58071,3.76241
38,1.18001,5,2.82857,3.76241
39,1.95997,5,3.52284,3.76241
40,2.13312,5,3.68065,3.76241
41,2.12457,5,3.26643,3.76241
42,1.8545,99,3.48125,3.76241
43,1.83684,99,3.46605,3.76241
44,2.33102,99,2.37608,3.76241
45,1.73831,5,2.95378,3.76241
46,1.73567,5,3.49417,3.76241
47,1.73255,5,3.35255,3.76241
48,13.3221,99,2.63698,3.76241
49,15.6868,99,2.05148,3.76241
50,3.33879,5,3.49184,3.76241
51,3.85014,5,3.88642,3.88642
52,3.96968,5,4.01108,4.01108
53,4.11769,5,3.77829,4.01108
54,3.88503,5,3.58313,4.01108
55,4.31459,5,3.58605,4.01108
56,3.74308,5,3.722,4.01108
57,4.18747,5,3.58703,4.01108
58,3.69058,5,3.61733,4.01108
59,4.50856,5,3.73718,4.01108
60,4.80951,5,3.71088,4.01108
61,4.73392,5,3.85773,4.01108
62,4.5536,5,3.95632,4.01108
63,4.94071,5,3.43307,4.01108
