env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,smbts,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,MIN
MAX,0.5,100,100,0.5,1,100,MAX
0,0.375154,72,83.5328,0.107324,0,90.4264,5.90852,5.90852
1,0.31947,81,99.6091,0.0870039,1,67.2009,6.2143,6.2143
2,0.286694,95,59.6848,0.374957,0,10.6164,5.61883,6.2143
3,0.0683104,31,41.4093,0.181445,1,42.3541,6.26929,6.26929
4,0.220808,16,76.3885,0.407274,1,25.4548,6.74203,6.74203
5,0.0274234,63,2.34939,0.488623,0,55.1493,5.92006,6.74203
6,0.132918,6,61.4523,0.238753,1,82.5893,6.50331,6.74203
7,0.171781,50,19.5629,0.282946,0,32.1208,6.0885,6.74203
8,0.466,49,39.8789,0.0434583,1,2.89083,5.97535,6.74203
9,0.413822,21,22.3144,0.308361,0,77.0214,5.94131,6.74203
10,0.0001,1,100,0.5,1,100,6.43383,6.74203
11,0.5,1,100,0.5,1,0.01,5.91793,6.74203
12,0.0001,1,0.01,0.0001,1,100,0.0620007,6.74203
13,0.000100359,1,100,0.5,0,0.01,5.8758,6.74203
14,0.5,99,100,0.5,1,0.01,5.71077,6.74203
15,0.499994,21,99.9997,0.499992,0,0.0193753,5.6379,6.74203
16,0.000143355,60,99.9995,0.499989,1,99.9981,6.53405,6.74203
17,0.499999,53,99.9987,0.499989,1,99.9987,6.15152,6.74203
18,0.000142358,59,100,0.49999,1,0.0182988,5.79682,6.74203
19,0.0001,1,100,0.0001,0,100,5.89205,6.74203
20,0.000143762,1,83.8987,0.300721,1,99.9985,6.68576,6.74203
21,0.000143632,1,79.4744,0.253027,1,0.019982,5.84195,6.74203
22,0.000124187,1,67.3572,0.499991,1,99.9976,6.51155,6.74203
23,0.000143626,1,44.4437,0.499988,1,99.9981,6.5941,6.74203
24,0.499999,1,56.3298,0.391069,1,99.9982,6.37195,6.74203
25,0.00014061,1,73.5933,0.41035,0,99.9983,5.86626,6.74203
26,0.000144495,1,37.3305,0.499989,1,0.0200941,5.49165,6.74203
27,0.499993,99,80.7495,0.325075,1,99.9977,6.11978,6.74203
28,0.499993,1,60.2024,0.241274,1,99.9985,6.33185,6.74203
29,0.0001,1,72.5523,0.5,1,100,6.69559,6.74203
30,0.00012975,99,69.7028,0.5,1,99.9951,6.13801,6.74203
31,0.49999,1,55.634,0.499996,0,99.9989,6.05771,6.74203
32,0.00137647,1,64.2118,0.328295,1,99.8598,6.59618,6.74203
33,0.0001,1,65.8644,0.330405,1,100,6.53431,6.74203
34,0.0001,1,79.1625,0.367473,1,100,6.83933,6.83933
35,0.262983,77,95.5121,0.484675,0,34.6663,6.08648,6.83933
36,0.0001,3,71.6086,0.363706,1,100,6.56508,6.83933
37,0.0001,1,75.2302,0.42263,1,100,6.47206,6.83933
38,0.000143929,99,60.0739,0.269275,0,99.9982,5.91717,6.83933
39,0.0001,1,97.7958,0.302776,1,99.9952,6.74596,6.83933
40,0.499991,1,85.8342,0.319925,1,99.9974,6.41747,6.83933
41,0.000144209,1,82.2632,0.344776,1,66.196,6.64606,6.83933
42,0.000146697,1,81.5731,0.347623,1,66.8033,6.63954,6.83933
43,0.212052,1,77.2441,0.353,1,65.811,6.43607,6.83933
44,0.000155987,1,97.1524,0.318199,1,72.7733,6.72702,6.83933
45,0.000164963,1,94.3956,0.324082,1,72.7469,6.56265,6.83933
46,0.416881,1,77.7805,0.343685,1,65.7864,6.69358,6.83933
47,0.0299058,1,75.1408,0.376126,1,67.5166,6.59828,6.83933
48,0.424578,1,88.5669,0.302687,1,66.4478,6.33095,6.83933
49,0.00014022,1,70.4017,0.391505,1,67.394,6.62707,6.83933
50,0.000134549,1,89.3519,0.382102,1,78.1608,6.54996,6.83933
51,0.000149138,1,67.6649,0.369477,1,65.8984,6.58576,6.83933
52,0.000298566,1,100,0.334161,1,99.9577,6.71108,6.83933
53,0.000142917,1,88.4139,0.283107,1,73.352,6.47567,6.83933
54,0.000143163,1,96.8403,0.322377,0,78.6554,5.71939,6.83933
55,0.000143022,99,77.6226,0.359043,1,73.4152,6.38424,6.83933
56,0.49999,1,68.3977,0.395918,1,69.4002,6.546,6.83933
57,0.317735,79,7.88677,0.0995727,0,63.8724,5.8642,6.83933
58,0.499994,1,70.826,0.405816,1,71.6813,6.48615,6.83933
59,0.499994,1,63.9929,0.32867,1,60.7433,6.68003,6.83933
60,0.499993,1,63.4816,0.345684,1,63.1241,6.33981,6.83933
61,0.000544507,1,97.884,0.403414,1,99.9045,6.67984,6.83933
62,0.000134275,1,77.8067,0.140653,1,99.9974,6.34681,6.83933
63,0.000142806,1,76.4852,0.499999,1,99.9973,6.47102,6.83933
64,0.000143277,1,85.3538,0.499981,1,99.9981,6.65759,6.83933
65,0.000141379,1,64.3387,0.499972,1,99.9969,6.53694,6.83933
66,0.000139713,1,85.4532,0.000156671,1,99.9982,4.05583,6.83933
67,0.000141602,1,58.7386,0.499986,1,99.9983,6.60843,6.83933
68,0.000143054,1,59.2428,0.499984,1,99.9983,6.50456,6.83933
69,0.000146904,1,60.4248,0.49999,1,99.9967,6.55698,6.83933
70,0.231046,1,62.7719,0.499999,1,99.9948,6.68963,6.83933
71,0.000144268,1,55.1077,0.499989,1,99.9975,6.79493,6.83933
72,0.00014444,1,99.9979,0.388681,1,98.0976,6.58757,6.83933
73,0.000144651,1,51.7531,0.413527,1,99.9981,6.75995,6.83933
74,0.000144821,1,58.5697,0.414515,1,99.9972,6.86165,6.86165
75,0.00014411,1,99.9982,0.337272,1,98.7983,6.49714,6.86165
76,0.000173522,1,23.2936,0.415215,1,99.9975,6.46289,6.86165
77,0.000144088,1,99.9982,0.423222,1,99.9976,6.7739,6.86165
78,0.000143706,1,99.9976,0.419147,1,84.0913,6.51579,6.86165
79,0.00116436,1,46.2279,0.349276,1,99.904,6.65792,6.86165
80,0.000144216,99,64.8963,0.415585,1,99.9975,6.0705,6.86165
81,0.00014192,32,99.9968,0.253951,1,91.7826,6.47881,6.86165
82,0.499993,1,99.9984,0.409726,1,99.9977,6.43898,6.86165
83,0.499993,1,99.9981,0.24877,1,72.2241,6.32755,6.86165
84,0.000147405,1,60.5447,0.417947,1,73.8059,6.75265,6.86165
85,0.000141108,1,63.5807,0.357382,1,74.402,6.67814,6.86165
86,0.00013627,1,61.7784,0.428023,1,75.6792,6.61289,6.86165
87,0.000518526,1,4.96778,0.400366,1,99.9733,6.28833,6.86165
88,0.000583971,1,100,0.363165,1,99.964,6.74503,6.86165
89,0.487611,13,85.9834,0.0933222,0,2.61577,5.92288,6.86165
90,0.000144897,99,99.9976,0.234911,1,73.9977,6.35744,6.86165
91,0.000144377,1,99.9975,0.359109,1,70.2879,6.75011,6.86165
92,0.000143273,1,99.9985,0.418177,1,73.1336,6.64174,6.86165
93,0.000145244,1,99.9974,0.340155,1,73.7216,6.57469,6.86165
94,0.000137905,1,62.1337,0.319382,1,99.9955,6.53405,6.86165
95,0.000137368,1,78.3124,0.432113,1,99.9994,6.68732,6.86165
