env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,smdents,20,50,1024,5,16

hp_opt_iter,sm_l_inf_thresh,sm_split_visit_thresh,smbts_search_temp,smbts_epsilon,smbts_use_search_temp_decay,smbts_search_temp_decay_visits_scale,smdents_entropy_temp_init,smdents_entropy_temp_visits_scale,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.0001,1,0.01,0.0001,0,0.01,0.001,0.01,MIN
MAX,0.5,100,100,0.5,1,100,100,100,MAX
0,0.352744,60,26.4024,0.350814,1,25.2579,98.8629,70.3722,6.06264,6.06264
1,0.186993,24,74.4612,0.148642,0,57.527,23.6673,36.0287,6.18288,6.18288
2,0.414131,17,48.3074,0.0862692,1,13.5001,18.6923,27.0488,6.02737,6.18288
3,0.320019,90,61.3547,0.460838,1,93.248,9.44663,11.2527,6.05632,6.18288
4,0.116581,79,11.2419,0.20587,0,0.278179,64.1187,45.4431,5.83182,6.18288
5,0.0509185,6,34.7033,0.15761,1,34.1057,30.5128,63.2597,6.58186,6.58186
6,0.259511,87,80.8472,0.00230748,1,73.1603,78.0795,98.4779,5.20333,6.58186
7,0.458925,33,51.25,0.436215,0,61.8505,82.542,89.7874,5.45836,6.58186
8,0.23897,67,94.0604,0.337914,0,46.1025,49.1147,5.31605,5.92702,6.58186
9,0.000851951,50,9.42473,0.262475,0,86.0694,57.4345,58.5249,5.56021,6.58186
10,0.000148436,1,0.0192681,0.00014808,1,99.9976,29.4459,99.9978,1.68595,6.58186
11,0.5,99,100,0.5,0,0.01,0.001,0.01,5.99816,6.58186
12,0.5,99,99.9963,0.499984,0,0.0201085,28.7748,0.0139788,5.99486,6.58186
13,0.000142602,99,99.9992,0.499986,0,0.0170326,13.8598,0.0183546,5.58461,6.58186
14,0.0512063,7,22.4986,0.100545,1,0.01,0.001,76.2263,5.99138,6.58186
15,0.499987,1,99.9982,0.499987,0,0.0188215,42.3075,99.9975,5.56405,6.58186
16,0.0001,1,0.01,0.5,1,0.01,100,0.01,6.66613,6.66613
17,0.0001,1,0.01,0.5,1,0.01,100,0.01,6.64522,6.66613
18,0.00014285,1,0.0193495,0.499991,1,0.0158405,91.7895,0.01888,6.6054,6.66613
19,0.0001,1,0.01,0.5,1,0.01,100,0.01,6.74652,6.74652
20,0.000124898,1,0.01,0.5,1,19.9599,99.9951,0.0188204,6.64544,6.74652
21,0.000144378,1,0.0187523,0.40743,1,15.1997,0.00950272,0.0189836,6.50175,6.74652
22,0.000149763,1,0.0190934,0.378464,1,11.5431,99.9985,0.0195947,6.38717,6.74652
