env_id,alg_id,search_runtime,max_trial_length,rollouts_per_mc_eval,num_repeats,num_threads
deep-sea-treasure-v0,chmcts,20,50,1024,5,16

hp_opt_iter,czt_bias,czt_ball_split_visit_thresh,eval(mc_estimate_expected_utility),best_eval_so_far
MIN,0.01,5,MIN
MAX,100,100,MAX
0,18.7844,44,5.45032,5.45032
1,57.659,90,6.08832,6.08832
2,39.2943,17,5.91014,6.08832
3,62.2895,12,6.15775,6.15775
4,43.5366,35,5.98207,6.15775
5,20.4922,67,5.20772,6.15775
6,75.2916,24,5.63134,6.15775
7,95.7251,93,5.55037,6.15775
8,3.24911,72,4.16597,6.15775
9,89.8743,53,6.07672,6.15775
10,59.5805,99,6.14785,6.15775
11,58.2384,5,6.17489,6.17489
12,58.2383,5,5.98097,6.17489
13,59.7699,99,5.79569,6.17489
14,56.9228,5,6.03878,6.17489
15,57.2882,5,5.43199,6.17489
16,70.681,99,6.01803,6.17489
17,70.0453,99,5.51569,6.17489
18,100,5,5.69156,6.17489
19,49.668,99,5.88667,6.17489
20,48.9817,99,5.98887,6.17489
21,48.8122,5,5.51423,6.17489
22,76.9255,5,6.12059,6.17489
23,76.5453,5,5.66289,6.17489
24,54.9763,99,6.0778,6.17489
25,60.6981,99,5.08578,6.17489
26,100,5,6.23882,6.23882
27,100,5,6.01343,6.23882
28,100,99,5.67285,6.23882
29,87.6809,5,5.68903,6.23882
30,100,5,6.06666,6.23882
31,100,5,5.78361,6.23882
32,81.5738,5,6.01354,6.23882
33,100,99,5.67997,6.23882
34,72.3986,5,5.9746,6.23882
35,100,5,5.87813,6.23882
36,81.9471,99,6.00158,6.23882
37,82.1732,5,5.99401,6.23882
38,69.1271,5,6.13732,6.23882
39,69.1326,5,5.80112,6.23882
40,81.6232,99,6.0609,6.23882
41,84.2061,5,5.6913,6.23882
42,80.8191,99,5.95627,6.23882
43,46.6549,5,5.87749,6.23882
44,100,5,5.44961,6.23882
45,77.3998,99,5.14091,6.23882
46,43.2919,99,5.36469,6.23882
47,62.5929,5,5.64913,6.23882
48,53.6377,48,6.04876,6.23882
49,62.6373,5,5.65307,6.23882
50,45.9048,5,5.96573,6.23882
51,63.5037,5,6.24337,6.24337
52,63.5583,5,5.88425,6.24337
53,51.3475,5,5.7954,6.24337
54,69.7325,5,6.0523,6.24337
55,69.5316,5,5.62929,6.24337
56,42.4146,5,5.98421,6.24337
57,100,99,5.90048,6.24337
58,42.2958,5,6.21358,6.24337
59,42.5058,5,6.00727,6.24337
60,51.6862,5,5.79702,6.24337
61,41.6715,99,5.61758,6.24337
62,100,5,5.96627,6.24337
63,86.4419,5,5.94394,6.24337
64,37.5444,5,5.9193,6.24337
65,100,5,6.10719,6.24337
